Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
CRHR1,0,0,0,0.301600234,1.123816248,0,0,0.372012474,0.442494352,0,0,0.599766426,0.663261464,1.702830406
CRHR2,0.703390242,0.177325074,0,0,0.049189022,3.872697145,0.715400438,0.101682189,0.046326194,0,0,0,0.096147472,0.509961395
CRIM1,4.031485884,3.931267124,4.208257147,3.860404229,5.018942199,6.647508791,3.871962048,3.739452485,4.498402512,2.686698225,4.203913474,4.224800036,4.355409342,5.401435102
CRIP1,7.531094058,4.529990876,4.509873608,5.3531678,6.145320219,7.872426324,6.644902767,5.426171384,7.34744117,4.56437365,4.415078962,6.105091542,5.702189966,6.804007675
CRIP3,0.409062478,0.408128502,0.115644602,0.661090008,0.668675869,0.073537465,0.279744216,0.343913387,1.031553007,1.328067661,0.367913316,0.921042771,0.710681801,0.467730062
CRIPT,6.5329265,5.652660582,5.94269741,5.945041186,5.765853758,5.878648486,6.090347668,5.910273597,5.749495535,5.933675,6.042082594,5.895379274,5.853492764,5.784431072
CRISP2,0.149616054,0,0,0.158667125,0.096756081,0.143507655,0,0.062204703,0.046326194,0,0,0,0.017569482,0.137966628
CRISPLD1,0.252451853,0.60704981,0.115644602,0.054850966,0.391930706,1.745546217,0.341956768,0.576740769,0.17699666,0.119453828,0.081471877,0,0.361566716,0.194133941
CRISPLD2,5.340916459,7.343891823,2.606679315,7.357123412,8.095608466,6.690508395,7.444516042,6.840232428,8.771045222,7.347076091,6.768983557,7.954876128,8.831089503,8.271707646
CRK,7.268426327,7.71106266,7.77310367,7.835390524,7.723749033,8.03485109,7.897141503,7.63460133,7.72746557,7.927420214,7.795554239,7.668722511,7.808025322,7.710108066
CRKL,5.929891061,5.885917911,5.9190132,6.018460634,6.03823276,6.217626184,6.002190419,6.135910603,6.101791706,6.053833234,6.020295255,5.834995963,6.163270489,6.117762931
CRLF1,3.827296926,1.62880406,1.625960468,2.800698247,4.533720584,3.732163527,2.340736864,2.878252968,5.134757283,1.960451719,2.373782737,3.580429409,3.395312772,4.295366429
CRLF2,4.108904127,3.334794292,3.388547757,3.714719302,3.613217651,4.368938902,3.584145173,3.821452172,3.849173307,3.631652099,3.125469208,3.718648776,3.588094473,4.292011481
CRLF3,4.649326059,4.094793087,4.335967469,4.213702032,4.525053543,5.080677382,4.129545077,4.331900837,4.449682856,3.897055273,4.105096406,4.159717196,4.267964901,4.49416731
CRLS1,5.096740995,5.043388847,5.419976168,5.020877975,4.725600602,4.757144761,5.181098248,4.965279587,4.779498317,5.154442835,5.207972351,4.82549756,4.888607225,4.757653448
CRMP1,0.603171775,0.177325074,0.115644602,0.588587091,1.028918538,2.314500332,0.458869493,0.527428475,0.574808569,0.380876088,0.15858777,0.663755104,0.566551496,0.872774743
CRNKL1,5.058223427,5.383345933,5.387265877,5.213995392,5.518701796,5.291840121,5.217853139,5.151996473,5.576794385,5.075387876,5.166566465,5.160965472,5.360131324,5.320972131
CRNN,0,0,0.115644602,3.667102033,4.704645572,0.335104354,0.03808137,1.583417116,2.689196691,0.060962895,0.081471877,3.495063085,3.856785517,4.782642041
CROCC,2.604368192,2.179894428,2.702279876,1.965833929,2.225402188,2.982358855,1.959297226,2.018654375,2.156717179,2.126516182,1.965266943,2.033097737,2.436477064,2.457750455
CROCC2,0.348442688,0.177325074,0,0.512246829,2.079132889,2.119953296,0.214727532,0.32266882,1.163508729,0.060962895,0,0.946991414,1.005389532,1.845138826
