Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
KIN,4.322917033,4.731646628,3.88874029,4.129964098,4.312347612,3.782373981,4.102843676,4.06839612,4.705646116,4.280219421,4.04543391,4.168014934,4.26556375,4.079579691
KIRREL1,4.03869811,2.577692893,2.546122461,3.337235993,5.465338007,6.73297282,3.030038973,4.124665111,4.311887331,2.262503877,2.638937825,4.978007704,4.474156847,5.573457058
KIRREL2,0,0.091385254,0,0.054850966,0.049189022,0.073537465,0.181086352,0,0.2968085,0.229768854,0.081471877,0.228755571,0.137181829,0.020293567
KIRREL3,3.787892355,2.299701823,3.62160634,2.938343813,3.086029195,1.789856644,2.875612314,2.837177258,3.153309377,3.074475182,3.236349265,2.715253975,2.202275401,2.343652549
KISS1R,1.633909504,2.608957745,1.482522629,2.458174065,2.214662403,1.206232644,2.546286806,2.218896392,1.701152957,3.067064136,2.81600304,2.737726363,2.29665184,2.429150167
KIT,5.445008511,7.347951194,8.667060796,6.186006668,6.57182897,5.474309153,6.505755121,5.812618099,5.90292913,5.606942896,7.241792618,6.381496165,6.304423236,6.566406835
KITLG,6.477391414,6.404334557,4.772483458,6.31729759,6.105179702,6.581294584,6.302233741,7.035616403,6.109312366,6.226757807,5.835966814,5.644966423,6.219941885,5.797989207
KIZ,5.140974377,4.841021955,4.326996643,4.638644767,4.263683977,4.792964441,4.887185432,4.764471237,4.122166582,4.723682991,4.499021816,4.494844115,4.638080773,4.383837792
KL,0,0,0,0,0,0.143507655,0.11135503,0.062204703,0,0,0,0,0.027154925,0
KLB,0.113641384,0.091385254,0,0.158667125,0.230714179,1.676419374,0.214727532,0.235110685,0.218049484,0.229768854,0.081471877,0.310983631,0.088045777,0.059244301
KLC1,6.175952248,6.123659818,6.06013359,5.924937501,6.197387862,6.880491992,5.945086324,6.054504638,6.897156407,5.89443436,6.024164067,5.944508204,6.01237019,6.328279913
KLC2,5.145435387,4.804351935,5.117589018,4.676303312,4.710390832,5.183905747,4.801220297,4.696220842,5.043490957,4.960090508,4.790069197,4.494844115,4.964426832,4.939531525
KLC3,6.001154257,6.85911346,6.563757652,6.262278181,5.881555025,3.557349848,6.725877726,6.152491749,6.373409628,6.873786027,6.68919578,6.609306795,6.217939601,6.331752988
KLC4,6.365691331,5.877918848,5.823378556,5.932280386,5.32009335,5.104994679,6.178763425,5.64956212,5.613797463,6.212553568,5.737291639,5.739864366,5.66561695,5.623032852
KLF1,0.576990294,0,0.585687692,0.389582602,0.096756081,0.335104354,0.247602099,0.216659543,0.334632228,0,0.231789928,0.228755571,0.161299097,0.162943355
KLF10,4.661835888,5.698798735,5.873529278,5.523274355,5.943845312,6.400209893,5.103532156,5.402491412,6.524751326,5.415970339,5.418585849,5.753713462,5.640015071,6.166167979
KLF11,4.443745995,5.769681654,4.641126447,5.307311397,4.939638681,4.594914101,5.232296854,5.334237997,5.674971873,5.546939806,5.250426508,4.987415599,5.231869525,4.769454456
KLF12,2.52442194,1.905540356,1.756418034,1.766642278,2.575236935,3.00132664,1.662909022,2.728547867,2.14612036,1.577944119,1.515562935,2.327881421,2.376636965,2.707854288
KLF13,5.670679433,5.860163216,5.717523185,5.814039078,6.246323999,6.427637999,5.772291944,5.561841745,6.882866855,5.866957019,5.703913291,5.887025968,6.277910657,6.752606144
KLF14,0.379070953,0.258432086,0.058980731,0.107692669,0,0.835443866,0.181086352,0.315160187,0,0.119453828,0,0.04874501,0.07089407,0.426815798
KLF15,0.252451853,3.03442584,5.330047219,3.070662783,2.277933631,3.976989698,3.683597888,1.67482584,2.268417183,3.2614091,4.338431806,2.767155187,1.081891523,1.758285808
KLF2,4.140533279,2.280412166,1.370566944,2.575367862,3.304347922,5.254777019,1.969186409,3.088441143,3.499744881,2.467797291,1.544584628,2.450859409,2.633566688,3.624595306
KLF3,6.335262822,7.129538633,6.931908211,7.049683378,7.17684369,6.951090998,6.920963877,6.956736462,7.166913048,6.8927749,6.884861975,6.932747366,7.184990159,7.37415202
KLF4,3.426630299,3.485588587,4.243645599,4.98954428,6.293654537,5.847541384,4.05024206,3.755126421,6.783378046,3.77044816,3.481166296,5.496932006,5.89882722,7.351595326
KLF5,5.568079044,6.067092105,5.033694391,5.613965305,5.844590191,3.57644832,5.57027537,5.24050602,6.394827998,5.591528911,5.524351056,5.594556171,6.203314186,6.143353499
KLF6,6.520530319,7.532007954,6.679872898,6.775873902,6.987545825,7.847093142,6.699759137,6.66243435,7.655972301,6.806954187,6.514105154,7.010170958,7.107752394,7.315179327
KLF7,3.047317751,5.604998021,4.12444635,5.347686456,5.777759272,5.604059108,4.927052551,5.541086413,5.544880452,5.209332909,5.354474448,5.585292256,5.913461218,5.777552383
KLF8,1.323381902,0.477528123,1.370566944,1.236531026,1.296716842,1.97395979,1.011784185,1.254433512,1.413719369,0.994739417,0.550679978,1.496376209,1.621327346,1.572912645
KLF9,5.008889755,5.780019988,6.629686389,5.652265048,5.577515482,6.398422302,6.094871313,5.660360131,5.446831061,6.322454387,5.973041735,5.466981078,5.431778146,5.165163844
KLHDC1,3.280157423,2.755860637,4.314948106,2.51796063,2.424942295,4.060749449,2.755037664,2.85409198,2.924415658,2.607173602,2.570036408,2.547308955,2.384178925,2.505649038
KLHDC10,6.279022991,6.406560436,6.941735993,6.4421386,6.292378286,6.327859583,6.522222075,6.422934321,6.302413849,6.61702116,6.485393167,6.336193042,6.431734836,6.281736668
KLHDC2,6.556147892,6.04440089,8.032143514,6.349877889,6.151668466,6.191024859,6.376567118,6.490692598,6.42033713,6.353246703,6.281776513,6.289421075,6.292477198,6.089475691
KLHDC3,7.190702218,6.830386519,6.823929255,6.651817399,6.508937337,6.941302191,6.664055291,6.653403269,6.851004141,6.935625236,6.793369271,6.575916715,6.636888248,6.489647138
KLHDC4,5.105925741,5.102249094,4.70484092,5.010508842,4.619679039,4.711802021,5.009628391,5.004846444,4.744801662,4.590454924,4.450011568,4.394695697,5.080610258,4.373979585
KLHDC7A,7.273529961,7.820699487,5.996493833,7.820628359,6.966494835,4.954968695,7.862740798,7.653269894,5.561922588,7.562009441,7.585571007,7.232173249,7.319384098,6.962349637
KLHDC8A,0.285163603,0.091385254,0.875457924,1.163535671,1.942614792,1.206232644,0.59282931,0.732214524,2.575327359,0.229768854,0.431443182,1.614419986,1.732869004,3.059951669
KLHDC8B,4.246074298,3.967902417,3.79209433,2.886363965,3.210168533,3.595297266,2.865058024,2.965497244,3.679511564,3.067064136,3.245215816,3.103431986,3.037823055,3.000129128
KLHDC9,0,0.091385254,0,0.107692669,0,0,0.03808137,0.060854435,0,0.060962895,0,0.141556047,0.113299179,0.22403158
KLHL10,0.678980706,0.258432086,0.73783578,0.346262012,0.272738469,0.450016744,0.14664195,0.622532105,0.47672784,0.175665483,0.231789928,0.350404423,0.398581988,0.227572303
KLHL11,1.671512773,2.179894428,3.461408554,3.197964152,2.849655343,3.092595997,3.121557014,3.352298077,2.583204726,2.456496926,3.458471547,3.008051701,3.246692017,2.903190964
KLHL12,5.033165757,5.66758594,5.647188994,5.28167054,4.941268233,4.67388198,5.306328912,5.238718255,5.339305051,5.297471933,5.649849675,5.167877595,5.195739978,4.978459809
KLHL13,4.992888436,5.205571333,5.253205279,4.987783404,5.413450697,5.530884669,5.428736861,5.756411759,4.349322848,5.401311191,4.8923868,4.716576846,5.33814904,4.610156184
KLHL14,0,0,0.058980731,0,0,0,0,0.020860466,0,0,0,0.141556047,0,0
KLHL15,3.284208743,3.543372707,3.256188028,3.191858925,3.378390934,2.72146653,3.435137248,3.272057903,3.255437389,3.559545764,2.851274893,3.165529486,3.365554547,3.256944355
KLHL18,5.457619521,5.643253209,5.002106578,5.859041191,5.958403142,5.372361997,5.843911704,5.69321468,5.984751016,6.238351311,5.694233039,5.926687923,6.314379563,6.125134596
KLHL2,4.486569397,4.669982404,5.368444019,5.048170084,5.349844976,5.318553121,5.215777896,5.060732085,5.296822741,5.325694301,4.955877409,5.244420437,5.455809946,5.332373123
KLHL20,4.203924523,4.89592169,4.501924327,4.691528518,4.967093808,5.297606121,4.607464945,4.604534157,4.875642325,4.653666993,4.875354025,4.594658349,4.848096813,4.871439838
KLHL21,5.50872162,5.641364351,5.791125337,5.871508842,6.108084216,6.079425309,5.800952645,5.659886009,6.062884802,5.752650184,5.854917068,6.018263246,6.135078891,6.264404562
KLHL22,5.072349084,4.860637763,5.604519328,5.200375042,4.998738939,5.911607762,4.85953885,4.873770427,4.825053179,4.985865335,4.74389533,5.117354932,4.880517825,4.929168659
KLHL23,4.551876014,4.384006303,4.411463162,4.702306124,4.588821704,3.804140841,4.692002225,4.793732841,3.956171393,4.426388064,4.532002272,4.438796982,5.032179328,4.460093196
KLHL24,6.207760586,7.080891359,6.932894008,6.936026778,6.654120687,6.6209268,6.914580807,6.926292295,6.621637939,6.853467313,6.837277573,6.485856351,6.903776962,6.686078797
KLHL25,4.498823811,4.83111312,4.181963685,5.450987745,5.299912513,3.967375629,5.028668071,4.819991279,5.340467442,5.436246085,5.205702937,5.556084785,5.378792936,5.428107661
KLHL26,5.381190896,5.355964828,5.218053416,5.212488355,4.929822526,4.854237667,5.120270412,5.233031685,5.368087497,5.373041655,5.08495688,5.263906087,5.054670856,5.040106701
KLHL28,3.846602826,4.647573607,4.317969687,4.533938623,4.75369381,4.927961387,4.325112014,4.355519499,5.061930112,4.598188242,4.51743729,4.294671644,4.775635802,4.669995157
KLHL29,0.75100421,0.408128502,0.369725108,1.060082107,2.043163297,3.056778109,1.049559787,0.852593405,1.611557302,0.473481327,0.660809899,0.99752917,1.336659815,1.769534121
KLHL3,2.194947717,2.513054064,2.566591811,2.363575304,2.288214226,3.092595997,2.526330979,2.251984112,1.548578301,2.771217536,1.655163407,2.700075528,1.732869004,2.348669928
KLHL30,2.124388445,0.408128502,0.170166772,0.207901806,0.81805621,5.080677382,1.366308104,0.877976267,0.257966373,0.42792161,0.763125878,0.663755104,0.450405535,1.515768194
KLHL31,0.727393645,0,0.115644602,0,0.049189022,6.187923672,2.153942001,0.080821723,0,0,0,0,0.104799116,0.859508685
KLHL32,0.654151057,0.543741997,0.939639833,0.389582602,0.391930706,0,0.59282931,0.61211355,0.724772272,0.175665483,0.71287473,0.498125184,0.292476114,0.381052176
KLHL33,1.027228443,0.408128502,0.170166772,0.255511563,1.123816248,4.471119858,1.939313145,0.719644898,0.807796492,0.229768854,0.550679978,0.632115502,0.585097051,1.192966366
KLHL34,0.947726646,0,0,0,0,2.402745605,0.513954823,0.672779962,0.091210978,0.175665483,0.15858777,0.141556047,0.247540024,0.180734235
KLHL35,0.18471545,0.091385254,0.369725108,0.107692669,0.187428942,0.450016744,0.214727532,0.081924547,0.257966373,0.281916388,0.231789928,0.270455357,0.157013602,0.112102134
KLHL36,4.395873017,3.861586389,4.246820099,3.917016588,3.502785632,3.867537706,4.118479488,4.018049804,3.751187237,4.081228044,3.855840403,3.529818077,3.827315908,3.617199342
KLHL38,0,0.781837516,0,0.696019351,0.272738469,1.331429017,0.828368498,0.631964525,0.371489597,0.517646222,0.71287473,0.783799982,0.511374655,0.246241987
KLHL4,1.732085589,0.543741997,1.223635383,0.827848159,1.296716842,3.686016008,1.122267167,1.289502284,1.225220308,0.930848614,0.660809899,0.663755104,0.947692219,1.363329538
KLHL40,1.708160773,0,0.970690868,0.054850966,0,6.010882497,1.998453629,0.118072358,0,0,0,0,0.08385724,1.081901268
KLHL41,3.324108257,0.408128502,0.170166772,0.512246829,0.502022617,7.660199655,3.491118721,0.411318068,0.542850187,0.642565661,0.231789928,0.228755571,0.626309233,2.089554873
KLHL42,5.514768473,5.213220952,5.566913193,5.28740802,5.070481572,4.6797811,5.100161075,5.342636702,5.192543995,5.102827889,5.400840604,5.192490571,4.773540619,4.8683643
KLHL5,5.537008897,5.573646299,4.477810252,5.653376262,5.495597629,5.803643532,5.700644864,5.659996903,5.537804166,5.786888402,5.511546732,5.667576586,5.694022124,5.637454209
KLHL6,2.9384227,2.410318291,2.060546593,2.527688542,3.210168533,4.41917175,2.450703144,2.762252737,2.606581998,2.338340484,2.183936286,2.80311662,2.768432779,3.282557098
KLHL7,4.685003398,4.783950161,5.745846356,4.545955038,4.733145776,5.335468206,4.828638706,4.825102321,4.547545045,4.790457713,4.085481783,4.307247526,4.468004285,4.606555864
KLHL8,3.637665253,3.598931259,3.515053728,3.47433451,3.74594322,4.728972983,3.698536256,3.227770706,3.845902962,3.570069953,3.657571181,3.312495857,3.685160539,3.675272829
KLHL9,6.854377378,7.060539667,6.905033856,6.766661275,6.97566792,7.124931733,6.951839083,7.03558268,6.729828224,6.831765459,6.759731589,6.916422956,6.952364824,6.816324981
KLK10,7.518252144,5.360564586,0.222703262,6.964060425,7.640936398,2.329587832,4.891092048,4.331183539,6.785940071,4.264105829,4.162389238,6.960081854,8.214346353,8.818017238
KLK11,4.427353734,0.781837516,0.058980731,1.862003734,2.849655343,0.073537465,0.214727532,0.842279701,2.746441291,0.42792161,0.492293075,2.080755247,2.448633573,3.647986521
KLK12,0.038883608,0,0,1.005433476,1.100670585,0,0,0.119817113,0.807796492,0.119453828,0.081471877,0.498125184,0.859542873,1.557683318
KLK13,2.177628777,0.091385254,0,2.406386718,3.050233279,0.073537465,0.311185811,0.512756892,2.718102898,0.060962895,0.904160241,1.838893675,3.106264907,2.872878454
KLK14,2.194947717,3.18724367,0.322363253,5.655596126,6.520974308,0.702679493,2.512872073,2.74381886,5.576794385,2.467797291,2.652331852,5.753713462,6.21470585,7.597956581
KLK15,0,0,0,2.657410331,3.541976039,0.143507655,0,0.982615908,0.5101678,0,0,1.093584932,1.735019141,2.732569713
KLK3,0,0,0.273393639,0,0,0,0,0,0,0.060962895,0,0.04874501,0.034721188,0.040031806
KLK3,0,1.62880406,1.416396934,0.389582602,0.187428942,0.073537465,1.273584553,0.259138569,0.407428758,1.469694459,2.048667762,0.663755104,0.095002509,0.148126029
KLK3,0,0.667695961,0.625255245,0.107692669,0,0.274022962,0.567013997,0.020860466,0.218049484,0.517646222,0.15858777,0.185814524,0,0.020293567
KLK3,0.113641384,0.091385254,0.058980731,0.389582602,0.272738469,0.274022962,0.11135503,0.061449292,0.134741349,0.720214061,0.081471877,0.270455357,0.639219228,0.773935699
KLK3,0,0,0,0,0,0,0,0,0,0,0.081471877,0,0.08385724,0.074175606
KLK3,0,0,0.170166772,0,0,0,0,0,0,0,0,0,0,0
KLK3,0.379070953,0.335221017,0,0.763438993,0.873730751,0.792532404,2.100956407,0.061449292,0.407428758,0.119453828,0,0.725025781,0.202496406,1.082339529
KLK4,0,0,0,0,0.049189022,0.143507655,0.03808137,0,0.091210978,0,0,0,0.017569482,0.054437367
KLK5,0.113641384,0,0,1.877302018,2.452628279,0,0.03808137,0.312972231,2.156717179,0,0.081471877,1.7532483,2.142428469,3.403616181
KLK6,4.078900037,1.854277625,0.460024984,7.157779507,8.155446962,2.011866408,3.20343115,3.476393158,7.247815564,3.153578822,3.961840407,7.01247675,7.947206109,9.207136995
KLK7,0.18471545,0.258432086,0.369725108,6.373670636,7.301341577,1.173159117,1.745786312,2.560224581,6.574007802,1.025654177,2.678752529,5.812235901,7.150495278,8.157422458
KLK8,0.819602415,0.835691276,0.875457924,3.879522915,4.7939322,1.578775357,1.174489729,1.358869768,4.369961145,1.577944119,1.806600634,4.48159004,4.661908491,6.038190217
KLK9,0.18471545,0.177325074,0,1.862003734,2.203842068,0,0.03808137,0.201770477,2.05842137,0.119453828,0.231789928,1.46079605,1.694990137,2.77350876
KLRB1,0.18471545,0.477528123,0.058980731,0.588587091,0.789391952,0.274022962,0.372085099,0.425396881,0.257966373,0.119453828,0.367913316,0.694715686,0.316875251,1.020257545
KLRB1,0.252451853,0.091385254,0.058980731,0.054850966,0.142804739,0.143507655,0.11135503,0.250381743,0,0,0.492293075,0.350404423,0.121172173,0.325507125
KLRB1,0.49546833,0.781837516,0,1.435670653,1.432678158,1.104646681,1.030795623,0.666872412,0.666643692,1.639198083,0.231789928,2.045160516,1.140218456,2.018991016
KLRC1,0.113641384,0.408128502,0.058980731,0.431640214,0.466250707,0,0.311185811,0.557627636,0.046326194,0.175665483,0.301456492,0.566675328,0.237551348,0.831103726
KLRD1,0.576990294,1.854277625,0.170166772,1.260064522,1.100670585,0.748305355,1.366308104,1.022303374,0.2968085,0.681912194,1.224182787,1.308992246,0.532187538,1.267487663
KLRG1,0.603171775,0.335221017,0.058980731,0.389582602,0.604305789,0.21024071,0.214727532,0.452707048,0.218049484,0.281916388,0.231789928,0.42615466,0.226097187,0.467730062
KLRG2,0.603171775,0.887606882,1.274293587,1.750117376,2.137158346,0.702679493,0.972992808,1.109727201,2.035637563,0.720214061,0.948265803,1.723531469,2.002138606,2.627031938
KMO,0.906270111,0.667695961,0.273393639,1.112736003,2.225402188,3.074798207,0.738712807,1.287402835,0.47672784,0.175665483,0.550679978,1.646445754,1.264282898,1.960407395
KMT2A,5.61145059,6.453604529,6.359699987,5.959488074,6.405307851,6.093856567,6.009396743,6.443434143,6.38415856,5.766443129,6.308459999,6.089158798,6.242079543,6.164548555
KMT2B,6.083664099,6.828727574,6.445783793,6.63504042,6.710153161,6.279148258,6.557063593,6.453655839,6.86883721,6.594000663,6.722912409,6.501809447,6.855627739,6.811757381
KMT2C,4.843029842,6.238065452,6.775843322,6.004595169,6.303824106,5.93522596,5.935660553,6.162655594,5.899778529,5.813705718,6.252392986,6.0236077,6.17222592,6.035447508
KMT2D,5.20755003,6.614375973,6.605160219,5.988835559,6.477836775,6.087213919,5.899916646,6.082523567,6.723605189,5.907979242,6.452274438,6.344758325,5.991225767,6.401274362
KMT2E,5.313428338,6.70487766,7.146817367,6.519132137,6.635620064,6.51272106,6.453875589,6.614350601,6.622593795,6.647775803,6.641300065,6.370752449,6.546244196,6.650160719
KMT5A,7.42958763,7.853702344,7.972990721,7.980356015,7.670710179,7.152768116,8.032990202,7.635705304,7.82224496,8.046195924,8.229777753,7.754104206,7.759022593,7.531038434
KMT5B,6.112431444,6.592057692,6.523096827,6.265915281,6.318945298,5.878648486,6.316829214,6.449805037,6.313702857,6.334850291,6.388675358,6.041782676,6.288815378,6.120220996
KMT5C,5.662143234,6.361376948,5.723232477,5.861927919,5.850672636,5.425991801,5.600811665,5.552216905,6.517575368,6.041596312,5.939291763,5.760131157,5.811866407,5.692515763
KNDC1,0.113641384,2.863481771,0.545004278,2.341683572,2.236062613,0.39370436,2.880860645,1.503098249,1.852222215,2.097709906,3.288749155,2.149413709,1.699866261,1.312089391
KNG1,1.225650793,3.575381944,0,4.397353138,3.688887079,3.638343451,3.40994529,3.342955463,2.652229932,2.926711067,4.138793102,3.521207506,2.284481726,3.267984535
KNG1,0,1.688561133,0.058980731,2.603236974,1.432678158,0.702679493,1.208283291,1.32966231,1.076892588,1.143086025,2.555852259,1.496376209,1.380686659,1.620261686
KNL1,4.2829841,4.445916542,4.739058591,4.434024571,4.779429578,3.947953126,4.307680621,4.695783147,4.481642507,4.121137293,4.756353575,4.222146069,4.738701841,4.323685544
KNOP1,5.971940163,6.970127181,6.804132752,7.262349098,7.054949761,6.24573564,7.043030481,6.833331901,6.823834287,7.036307737,7.101751283,7.01247675,7.16207816,6.924333892
KNSTRN,5.644129921,5.430046925,5.561824154,5.732266822,5.440203957,4.98386581,5.737274859,5.696381726,5.49355713,5.741054467,5.863580086,5.456857647,5.666785926,5.280251577
KNTC1,4.658718585,4.18572949,4.629012332,4.407926151,4.704645572,4.173747565,4.330875987,4.682238466,4.618255979,4.477596349,4.699424239,4.307247526,4.775964299,4.291465918
KPNA1,6.016455956,5.936087729,5.799796943,6.170566763,6.188496378,6.905879662,6.271094021,6.171594291,6.236510437,6.041596312,6.116451202,5.966081919,6.274196391,6.266250497
KPNA2,6.90754282,6.77546971,7.021285089,7.029712346,7.184775661,6.666943119,7.097582445,6.921111265,7.425099107,7.04999982,7.351070787,7.223574137,7.266082482,7.058912748
KPNA3,5.963122496,6.306412371,6.459530633,6.420763081,6.529665817,6.963838832,6.368650148,6.444751485,6.233385209,6.312303697,6.407557606,6.34170513,6.52644736,6.447213706
KPNA4,6.300683177,6.424244913,6.585234584,6.704229114,6.804043943,7.353863204,6.596676279,6.67847668,6.75358302,6.553472281,6.634567188,6.517588063,6.757094925,6.760368314
KPNA6,6.878025295,6.705781722,6.716399304,6.827980409,6.75067789,6.949871023,6.897851433,6.925646831,6.461518841,6.887525235,6.950711517,6.62093905,6.848783969,6.74823167
KPNA7,0,0,0,0,0,0,0,0.020860466,0.091210978,0,0,0,0.051474527,0.020293567
KPNB1,8.300081163,8.650773295,8.833740871,8.716187229,8.821237157,8.664645551,8.561037363,8.802170422,8.81967948,8.479598661,8.909362216,8.577306361,8.883507351,8.589478319
KPRP,0,0.091385254,0,3.562150827,4.138586977,0.274022962,0.075183341,1.009220804,3.544814231,0,0.081471877,3.143256603,3.378140958,5.377415674
KPTN,4.813900456,4.356637848,5.046502755,4.292845071,4.029448149,3.804140841,4.555899343,4.407022662,4.347011372,4.257609659,4.383301355,4.317229895,4.22708694,4.032508257
KRAS,5.885246512,6.211576859,5.854926454,6.27388477,6.450634901,6.622459037,6.28353161,6.056767464,6.586798413,6.338702269,6.266615332,6.307686474,6.435864536,6.452292967
KRBA1,5.223461039,5.479518633,5.196872007,4.825722818,4.643898347,4.743127635,4.59952832,4.999382061,4.94911002,4.832588456,4.909220826,4.718461245,4.693980538,4.518520626
KRCC1,6.276483128,6.458976531,5.953424078,6.437630789,6.129683656,6.177537972,6.508300764,6.307767813,5.897411055,6.608750513,6.169815225,6.279243737,6.285069055,6.145803188
KREMEN1,5.176282089,4.921051338,5.316514296,6.022766404,6.492915407,6.965650791,5.215777896,5.508222217,7.087447267,5.336522276,5.021860273,5.85825741,6.348969387,6.838602515
KREMEN2,0.113641384,0.177325074,0.222703262,1.892439779,2.33854621,0.21024071,0.341956768,0.85052598,2.583204726,0.060962895,0.367913316,1.56500756,2.01086243,2.987792958
KRI1,4.009630319,5.650784008,5.234137788,5.254101502,5.193176338,4.971895607,4.898873686,5.194845073,5.616678734,5.427591349,5.241592021,5.267771833,5.017848995,5.031365877
KRIT1,4.514428067,5.471035813,5.105399078,5.03969663,5.249505638,5.491180549,4.856877999,4.992514143,5.432730953,4.896702768,4.925860689,4.930025373,5.114976236,5.065773786
KRR1,5.066480193,6.249270498,6.940266087,6.107099706,6.055639161,5.410111144,5.978518122,5.973800836,6.045883761,5.99939153,6.297845754,6.0825898,6.042880263,5.772507126
KRT1,1.10257705,0.091385254,0.322363253,3.17338668,4.613560146,0.39370436,0.075183341,0.470531981,5.350887027,0,0.081471877,4.686086828,2.909419249,6.107970643
KRT12,0,0,0,0,0,0,0.279744216,0,0,0,0,0,0,0
KRT13,0,0,0,0.207901806,0.096756081,0,0,0,0.091210978,0,0,0,0.044724407,0.180734235
KRT14,7.153260207,5.30437524,2.791937231,7.502022934,8.923500128,3.444072667,6.026664845,5.886460085,9.448269127,5.398361402,5.459161826,7.594992482,8.569406213,9.595009326
KRT15,0.968016578,3.644907147,0.115644602,5.397611436,4.860896148,0.957013528,3.807278934,2.97093621,5.736309266,2.607173602,2.792000092,4.032192681,5.049603217,4.625330864
KRT16,1.225650793,0.258432086,1.030857182,7.019837614,8.270750938,1.628423297,1.122267167,2.754439281,8.138852937,0.793895867,2.202265176,7.232502962,7.367978027,9.036495245
KRT17,2.531255965,2.684278188,3.770199322,6.10466451,7.208989775,2.732860237,3.70742559,4.024062272,6.835835624,3.828580776,3.867372219,5.812235901,6.807742975,7.866648951
KRT18,9.458679818,9.781265968,9.365393373,9.455686677,8.978398851,6.164975629,9.370067499,8.373274673,9.288213858,9.820227506,9.912304096,9.993989741,9.412834566,9.238033802
KRT19,4.129316588,7.930732288,1.249186823,7.889441115,8.075159605,4.856843585,7.753431084,7.23295275,9.275355963,7.539426233,6.962184502,7.791060043,8.766730944,8.176188937
KRT20,0.149616054,0.091385254,0.875457924,0.054850966,0.272738469,0.792532404,6.656042177,0.138932824,0.17699666,0,0,0.185814524,0,0.392502667
KRT222,0.252451853,0.177325074,0,0.054850966,0.35328387,1.553295625,0.11135503,0.156860762,0.134741349,0.060962895,0,0.185814524,0.149430929,0.096199118
KRT23,5.717121182,3.725569778,7.457146756,4.793830178,5.917596356,0.995362132,2.772085169,4.727396473,6.657988768,1.577944119,3.575582701,4.623102788,5.903584071,6.573811881
KRT24,0,0,0,0,0.049189022,0,0,0,0.046326194,0,0,0,0.120546609,0.020293567
KRT25,0.252451853,0.408128502,0.503140234,5.579305831,6.587522917,0.917617671,0.181086352,2.148947683,4.862755925,0.119453828,0.367913316,5.733355675,5.128352779,7.993133168
KRT26,0,0,0,5.215500858,6.278264498,1.41867537,0.14664195,2.690409078,5.333479008,0,0.15858777,4.134533729,5.220057444,6.205568142
KRT27,0.076746668,0,0.058980731,6.348506379,7.718294453,2.119953296,0.341956768,3.292813418,6.020725831,0.119453828,0.231789928,6.093521571,6.639450325,7.968810286
KRT28,0.149616054,0,0.115644602,5.414750398,6.652629443,1.032717721,0.075183341,2.86983036,7.274819066,0.060962895,0.15858777,4.269186154,5.919111625,6.958115511
KRT31,0.285163603,0.335221017,0.322363253,6.720754979,8.485465964,1.895021023,0.458869493,3.860655433,7.474377144,0.119453828,0.15858777,5.694632145,6.737288412,8.052928562
KRT31,0.038883608,0.091385254,0.115644602,6.197479116,7.728475441,1.206232644,0.311185811,3.310996016,5.996596813,0.119453828,0.15858777,5.212685408,5.834663239,6.966784749
KRT31,0.285163603,0.335221017,0.222703262,6.252045249,7.65043141,1.553295625,0.247602099,3.346792053,7.416582168,0,0.231789928,5.165116719,6.092553315,7.497756353
KRT32,0.076746668,0,0.058980731,3.370050136,3.387982322,0.274022962,0.341956768,1.071362266,2.867495926,0,0,2.5725316,1.501729697,3.885672019
KRT34,0.317150059,0,0.222703262,6.59164448,8.166634993,1.745546217,0.401597099,3.578694592,6.961653426,0,0.15858777,5.165116719,6.38880088,7.583723811
KRT35,0.149616054,0.091385254,0.115644602,4.849187983,5.16973603,0.655563437,0.075183341,2.267973474,4.579400733,0,0.081471877,4.561448518,4.095719419,6.387862479
KRT36,0.18471545,0.177325074,0.115644602,5.496279905,6.927564635,0.556447634,0.075183341,2.01678362,7.540099084,0.060962895,0,3.538377561,4.459277981,5.650139497
KRT39,0.038883608,0,0.058980731,2.923682544,4.487626446,0.143507655,0.03808137,1.201543607,3.89735919,0,0,1.958522989,2.716859208,3.299978501
KRT4,0.149616054,0.177325074,0,0.661090008,0.846162028,0.504213422,0.214727532,0.512751402,1.12085059,0.380876088,0.081471877,0.566675328,1.043601561,1.632928881
KRT40,0.038883608,0,0,0.431640214,0.604305789,0,0,0.121956314,0.046326194,0,0,0.095896736,0.017569482,0.564893897
KRT5,0.409062478,5.939166162,0.970690868,7.260162537,8.354770886,3.161669566,6.351739996,5.887523492,9.167573503,5.205962789,5.016691287,7.33155284,8.160454958,8.822351982
KRT6B,0.149616054,0.258432086,0.115644602,5.826900007,7.080684002,0.450016744,0.458869493,1.719417411,7.028808056,0.332244572,1.853742023,6.30455372,6.243687883,8.166178039
KRT6B,0,0.477528123,0.369725108,6.64568847,8.506256769,1.767871541,1.574979017,2.728211624,8.36101521,1.055920354,3.339312352,6.865886289,7.619439778,9.291954217
KRT7,7.180413851,6.797687908,6.810046626,6.257170788,6.867982839,4.005453372,5.931872934,5.80531394,7.016497817,5.674337648,5.666447581,7.683026902,7.419624278,8.36689966
KRT71,0.113641384,0.835691276,0.115644602,6.097334163,7.081423119,1.41867537,1.4534304,2.842459073,3.540774704,1.469694459,0.71287473,5.724943978,6.266258054,6.68359746
