gene_id,MCF7_1,MCF7_2,MCF7_3,TamR_1,TamR_2,TamR_3
NLRP4,0,0,0,0,0,0
NLRP5,0,0,0,0,0.028569152,0.163498732
NLRP6,0.111031312,0,0,0.097610797,0.028569152,0
NLRP7,0,0,0,0.014355293,0,0
NLRP8,0.014355293,0.137503524,0.124328135,0.056583528,0,0.070389328
NLRP9,0.137503524,0.176322773,0.070389328,0.042644337,0.084064265,0.028569152
NLRX1,2.485426827,2.565597176,2.472487771,2.849999259,2.831877241,2.889473543
NMB,4.921245889,4.404630684,4.702657543,4.783980414,4.736604875,4.670727054
NMBR,0.111031312,0,0,0,0.201633861,0
NMD3,8.031273878,7.422905743,7.609252626,7.873321063,7.540476801,7.552822772
NME1,8.964196447,9.315783575,9.198273136,9.022007094,9.341051748,9.331611176
NME1-NME2,2.680324357,3.054848477,3.502075956,2.028569152,2.780310099,1.182692298
NME2,11.07422845,11.19406735,11.19869672,10.86142039,10.96029884,10.8932636
NME3,7.228049048,7.229395653,7.471756491,7.439041288,7.50191678,7.494975554
NME4,7.567195561,7.759888183,7.694044413,8.21159632,8.281559166,8.259178313
NME5,1.056583528,0.250961574,1.014355293,0.214124805,0.286881148,0.344828497
NME6,4.673556424,4.745775149,4.683134985,4.737686761,4.909773104,4.928844037
NME7,4.093391153,3.72900887,3.905928478,3.789729251,3.592158002,3.684818738
NME8,0,0,0,0,0,0
NME9,0.214124805,0.23878686,0.056583528,0.124328135,0.042644337,0
NMI,5.744968348,5.331633567,5.444932049,5.167518504,4.882643049,4.974070367
NMNAT1,2.748461233,2.572889668,2.684818738,3.023255352,2.885574364,2.780310099
NMNAT2,0.124328135,0.111031312,0.111031312,0.084064265,0.028569152,0.097610797
NMNAT3,1.448900951,1.731183242,0.98550043,1.014355293,1.195347598,1.007195501
NMRAL1,6.390254956,6.584962501,6.54303182,6.43812648,6.633285887,6.583910152
NMRK1,3.710393192,3.473786912,3.548436625,3.691534165,3.697106574,3.519793486
NMRK2,0,0,0,0,0,0
NMS,0,0,0,0,0,0
NMT1,5.687060688,5.757289992,5.735251376,5.492494152,5.439623138,5.549669171
NMT2,2.857980995,2.6622055,2.589763487,3.231125158,2.929790998,3.065227623
NMU,1.480265122,0.739848103,1.084064265,1.3950628,1.070389328,1.40053793
NMUR1,0.124328135,0,0,0.189033824,0.084064265,0.189033824
