Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9,WT10,Mut3,Mut4,Mut5,Mut6,Mut7,Mut8,Mut9,Mut10
FGF16,1.683832502,0.335221017,0,1.456191442,0.187428942,0.274022962,0.401597099,2.792445394,0.269496023,0.134741349,0.930848614,0.081471877,0.99752917,0.505020742,0.507906079,0.542522719,0.133488473
FGF17,0.076746668,0,0.115644602,0.054850966,0,0,0,0,0.12170887,0.780649185,0.229768854,0,0.095896736,0.035138963,0,0.118488601,0
FGF18,0.379070953,0.091385254,0.058980731,0.107692669,0.760146612,3.153214075,0.11135503,0.122898584,0.12170887,0.752981232,0,0,0.185814524,0.401108008,0.157155981,0.935862787,0.867117538
FGF19,0,0,0,0,0.049189022,0,1.366308104,0,0.041720932,0.134741349,0,0,0,0.035138963,0,0.040587134,0.0682876
FGF2,1.941530687,1.033005438,0.808287244,2.296877606,4.23208119,5.6301894,1.888107242,3.02560955,2.369163654,3.55285951,1.376837822,1.655163407,2.521637485,2.830776115,3.122807508,3.490968515,3.975935145
FGF20,0.076746668,0,0.058980731,0.158667125,0.049189022,0.21024071,0.11135503,0.161643446,0,0.218049484,0,0.081471877,0.04874501,0.102949054,0.05430985,0,0.133488473
FGF21,0.149616054,0,0.058980731,0.054850966,0.3135732,1.603812885,0.03808137,0.122898584,0.041720932,0.134741349,0.229768854,0,0,0.102949054,0.157155981,0.118488601,0.133488473
FGF22,0.038883608,0.091385254,0,1.922246969,3.001080461,0.073537465,0,0.199374936,1.624432086,2.930603646,0.060962895,0.081471877,1.614419986,2.644231185,2.456381465,2.951145447,3.013789907
FGF23,0.628886581,0,0,0.696019351,3.645563486,0.606856548,0,0.984133684,0.304192831,0.334632228,0.175665483,0,1.268407196,0.77821694,1.446945169,3.479942841,2.789420214
FGF3,0.076746668,0,0,0.158667125,0.049189022,0,0,0,0,0.046326194,0,0,0,0.102949054,0.05430985,0.262705273,0.133488473
FGF4,0,0,0,0,0.142804739,0.143507655,0,0,0,0.046326194,0,0,0,0,0,0,0.0682876
FGF5,0,0,0,0,0,0.143507655,0,0,0,0,0,0,0,0,0.05430985,0.080063611,0
FGF6,0.038883608,0,0,0,0,1.104646681,0.075183341,0,0,0,0,0,0,0,0,0.329744656,0
FGF7,1.708160773,1.827946612,0.369725108,1.188280101,3.126698603,4.540841225,1.011784185,1.504716801,1.268054523,2.781099004,0.863996719,0.991062888,1.662195927,1.793084969,2.078073386,3.372757432,3.230443396
FGF8,0,0.091385254,0,0.107692669,0,0,0.03808137,0.042140224,0.12170887,0.134741349,0,0.081471877,0,0,0,0,0.0682876
FGF9,0.18471545,0.408128502,0.369725108,0.588587091,0.927336368,2.119953296,0.401597099,0.559973838,0.197494002,0.218049484,0.229768854,0.367913316,0.725025781,0.798809899,0.620184378,1.610854674,1.531262767
FGFBP1,1.755620114,0.986148759,0.663766518,2.153451756,2.640887794,0.274022962,2.294290867,2.278942313,1.510192319,3.588518175,0.681912194,1.360992759,1.478695813,1.957801439,2.30781102,3.637084103,3.967019429
FGFBP3,1.027228443,1.286075998,1.586412518,0.696019351,0.873730751,1.206232644,0.892133379,0.470221369,1.080627814,1.245217849,1.025654177,0.763125878,0.946991414,1.042775404,0.821502186,1.155030246,0.941825873
FGFR1,8.929306191,7.792892041,7.772277773,7.156604452,7.597676472,8.517182342,7.363413529,8.661972567,7.91030626,8.125597321,7.616967663,7.286501974,7.213587974,7.116091359,7.099586119,7.633829861,7.46839464
FGFR1OP,4.697208946,5.205571333,5.000226756,4.885577825,4.886496719,4.457448898,4.891092048,4.586788794,4.913395306,4.99116336,4.839129634,5.210238201,4.83595066,4.887544655,4.660113394,4.676173217,4.735598304
FGFR1OP2,6.589680183,6.784055712,6.51126581,6.596852133,6.500119664,6.444194613,6.655276697,6.639546443,6.58196311,6.437277133,6.550153708,6.476949267,6.424842956,6.458775738,6.372691978,6.312745443,6.499500349
FGFR2,3.042542273,2.713338745,2.78321811,3.917016588,4.527225189,2.329587832,2.977114241,4.026297249,4.02301541,4.529312196,1.992101915,2.238238822,3.748465318,4.081293849,4.473418628,4.918654896,4.877954227
FGFR3,2.77529728,0.887606882,1.323233176,3.331693666,3.498364692,2.577224417,2.450703144,3.500135865,3.716678716,3.884666165,1.735840677,1.655163407,3.567942054,3.768038599,4.399295737,3.907791611,3.865128045
FGFR4,0.218981154,0.986148759,0.322363253,0.512246829,1.296716842,2.119953296,1.224887793,0.306986896,1.418154514,2.268417183,0.829372028,0.763125878,0.812312901,0.692773441,0.34316424,0.892173168,0.255664923
FGFRL1,6.754248071,5.182376058,5.563098098,5.231958113,5.925850574,5.137507603,4.945954626,7.094791656,5.122263523,4.74830912,5.485722745,4.771776602,6.414418394,6.198452975,6.18157912,6.54912167,6.070647426
FGG,0.038883608,0.258432086,0.73783578,0.158667125,0.391930706,0.450016744,0.214727532,2.159596302,0.79370768,0.807796492,0.060962895,0.367913316,0.310983631,0.135695168,0.298861858,0.677331251,0.36829767
FGGY,3.767778981,2.824058633,2.834759502,2.458174065,2.29842208,3.518377268,2.485571626,3.353053399,2.524373276,2.381152215,2.140706462,2.665602672,2.621691327,2.416669712,2.446262026,2.701934572,2.819450191
FGL1,0.18471545,0,0.058980731,0.431640214,0.049189022,0,0.247602099,0.272000591,0.744024947,0.134741349,0.119453828,0.081471877,0,0.229696944,0.205954255,0.080063611,0.195869645
FGL2,2.571593924,2.741825468,2.47210227,4.110676669,4.901641806,5.890142876,3.864033487,4.308994133,3.757939285,2.591039315,2.209636816,3.4660762,4.608950669,3.744346715,3.539325768,5.201950056,5.134381648
FGR,3.183691714,1.827946612,1.197623232,3.097037564,4.004724412,4.64401904,1.867104916,3.297597347,3.280104584,2.614290995,1.619067687,2.048667762,3.261709299,3.21861204,2.989787283,4.530604593,4.410142502
FH,7.071231296,6.545348122,6.994623743,6.599737172,6.499013655,7.065905674,6.855159074,6.7951162,6.719664168,6.439990859,6.666286634,7.033654952,6.57383648,6.706050187,6.608752552,6.469605455,6.433880757
FHAD1,0.576990294,0.543741997,0.115644602,0.696019351,0.760146612,0.450016744,0.430517479,0.439018661,0.555281434,0.752981232,0.281916388,0.431443182,0.663755104,0.670597782,0.34316424,0.542522719,0.828260676
FHDC1,4.502306038,6.307603901,5.327050854,6.085033536,6.022154435,4.544078707,6.056540387,4.489252131,6.114292042,5.79004892,6.396020397,6.167484938,6.211950176,6.029046078,6.266704708,5.865954398,5.880768833
FHIT,2.388017568,2.026253073,2.692999906,2.273941753,1.862319815,1.390175498,2.221691883,2.543828754,2.109537006,2.047074443,1.911635166,1.782439421,2.138195148,1.872945214,1.618972465,1.857970563,1.45679185
FHL1,4.899581409,1.62880406,1.249186823,2.916295655,4.183339825,9.972661282,6.265085676,4.144650689,3.262568376,3.607954214,1.619067687,1.360992759,2.912516078,3.804136292,3.803892745,6.01342987,4.386933192
FHL2,3.624943137,3.079764467,2.001631168,3.07730182,4.356983455,5.534144546,3.067345691,2.792445394,4.0204093,4.369961145,2.433627137,2.730185181,4.237997129,3.821851992,4.160225885,4.814255082,4.505587181
FHL3,4.823675747,4.445916542,1.955809948,3.764933409,4.242692557,6.409114771,4.31545392,3.650725566,3.948203606,4.983743178,4.613531618,3.873103743,4.276879184,4.338517257,4.473418628,4.674562254,4.194111763
FHL5,0.149616054,0.335221017,0.115644602,0.827848159,1.469281671,2.85258896,0.486675053,0.698168025,0.639211897,0.371489597,0.229768854,0.858663663,0.532807366,0.839134427,0.655749193,1.408643816,1.047100183
FHOD3,1.323381902,2.963628972,2.924720063,3.245897582,4.258464687,3.544475612,2.957377128,1.9542317,3.425082822,3.520405647,2.262503877,2.007569934,2.700075528,3.19937884,3.425461112,4.133296184,4.46500067
FIBCD1,0,0,0,0.054850966,0.142804739,0,0.075183341,0,0.041720932,0.134741349,0,0,0,0,0,0.040587134,0
FIBIN,3.4229603,0.887606882,1.986518555,1.30601026,3.992201821,7.379915051,1.824160155,3.377946809,2.83435916,4.0976278,1.303050063,1.628303102,2.677004169,2.429932377,3.510477376,3.666558094,3.718782243
FIBP,5.808562374,6.147810571,5.378609368,5.60939187,5.19043834,5.058209339,5.70212806,4.994807864,5.560184885,5.732772477,5.859468977,5.511546732,5.788214147,5.578078649,5.493130818,5.64356762,5.430342295
FICD,3.860236276,3.781524415,4.020704261,3.8054834,3.231635013,3.952833321,3.497966102,3.802477367,3.690688311,3.163853715,4.280219421,3.855840403,3.230356442,2.908631557,2.982803129,3.434977685,3.365485602
FIG4,5.277298991,5.385604406,5.647188994,5.523274355,5.195909149,5.069487099,5.599220504,5.400177754,5.266701807,4.956710012,5.680421545,5.610933869,5.214021732,5.518798925,5.332097501,5.252497152,5.175596981
FIGN,1.10257705,0.335221017,3.394284951,0.301600234,0.90078252,1.527357787,0.311185811,0.470221369,0.269496023,0.334632228,0.602115872,0.606795547,0.42615466,0.317946715,0.05430985,0.702844681,0.52230006
FIGNL1,4.575210176,4.546233396,4.217994951,4.444333164,4.700802649,3.760273674,4.427290864,4.919093725,4.465722834,4.403715475,4.302480306,4.619845982,4.322195297,4.773824722,4.529612362,4.213143433,4.342813825
FIGNL2,2.704506401,3.527097766,2.001631168,3.185727752,3.086029195,3.267305889,3.048812918,2.536476976,3.456270527,3.39175512,2.851058173,2.862843114,3.322442101,2.655566106,3.037751977,3.307732336,3.146064985
FILIP1,1.555628399,0.543741997,1.197623232,0.88950425,1.623393155,4.954968695,1.745786312,1.276632115,1.250370326,1.431282419,0.897809856,0.660809899,1.139316318,1.110235752,1.07895508,2.182059199,1.89313001
FILIP1L,4.859414891,3.861586389,3.601908108,3.837122261,5.135981726,7.226155602,3.535056571,4.942923367,4.0204093,5.216799163,3.901228911,3.50350956,4.354060419,4.402146128,4.567451538,5.305502533,5.334812473
FIS1,6.47074121,6.564413189,6.652007772,6.663997695,6.258793166,6.525061547,6.711221229,5.882059584,6.558801686,6.519629286,6.715703604,6.597829594,6.673368698,6.369531429,6.283853759,6.648069722,6.339456675
FITM1,1.084105609,0.477528123,0,0.919371528,0.571010675,5.551943382,2.221691883,0.749940585,0.976914558,0.574808569,1.492003935,1.073026915,1.386889872,0.935274215,0.690458329,1.295810296,0.421479443
FITM2,4.884983206,5.541598099,5.324048253,5.927695464,5.237618846,5.779124055,5.933136579,4.910588398,5.106377101,4.946058778,6.052895609,6.195202995,5.392219247,5.239780998,5.147685537,5.086756863,5.136371213
FIZ1,5.607414185,5.547661616,5.635125892,5.480087945,5.362062659,5.026154376,5.608741253,5.404222494,5.716480558,5.937139102,5.795883009,5.616069771,5.610879892,5.592894198,5.652357454,5.538554431,5.336544129
FJX1,1.528561466,2.158922287,2.546122461,2.262335625,2.532634355,2.709982124,1.845792322,1.204245176,1.921204218,3.121205928,1.619067687,1.544584628,2.337722517,2.170272222,1.911531508,2.72702032,2.422887443
FKBP10,5.928597515,2.914424184,4.078861311,3.594908294,5.591073448,8.261710959,3.14791743,4.556215905,4.380901514,5.228147659,2.868216092,3.076630014,5.021395657,4.12067688,4.646919274,5.751420764,5.564948851
FKBP11,5.353502922,5.110465041,5.41151429,5.461176264,5.494488147,5.727375061,5.470239948,4.956759116,5.548474503,4.543513167,5.84978403,6.240248204,5.466981078,4.70184555,4.529612362,4.589922243,4.264932058
FKBP14,4.175851656,3.767737893,3.655444032,3.204043651,4.385991468,6.212548493,3.076523558,4.154288964,3.748521814,3.974256378,3.426876405,2.96298349,4.184468595,3.321821775,3.613548332,4.303469291,4.307933306
FKBP15,5.483396822,6.067092105,5.825503347,5.798051218,5.909294641,6.614781527,5.990099307,5.441108357,6.06961304,5.607052034,6.080762638,5.890674749,6.055265208,5.911050055,6.024659492,6.046813257,6.116723206
FKBP1A,7.959514501,7.168096249,6.830820793,7.376094011,7.630621204,8.339931803,7.248080556,7.513052559,7.506665716,7.685773736,7.382959595,7.296133488,7.470256301,7.442189852,7.468279978,7.650930079,7.391348938
FKBP1B,1.514835156,1.397702568,0.773491516,1.592202597,1.639543054,2.499308112,1.289458262,1.068110642,1.678329552,1.413719369,1.328067661,1.360992759,1.958522989,1.686610952,1.582477677,2.368969243,2.212681383
FKBP2,6.336238735,6.037236065,5.891895279,5.653376262,5.348617498,5.192183767,5.636932225,5.688351166,5.520160063,5.503968899,5.721125296,5.584976471,5.335640422,5.259415416,5.333470755,5.38152889,5.039762414
FKBP3,5.595236766,6.159736013,6.012435752,6.378382459,6.11025877,6.22470506,6.3592801,6.596890156,6.287940743,6.479040735,6.298921031,6.408544596,5.938053541,6.320971269,6.028055933,5.747595097,5.84228284
FKBP4,8.399019799,8.197544944,8.616572052,8.543847563,8.25740436,7.420555491,8.368864921,8.185753184,8.361053918,8.671799285,8.522902513,8.524467563,8.302780895,8.470488148,8.439544243,8.050521947,7.946057776
