Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9,WT10,Mut3,Mut4,Mut5,Mut6,Mut7,Mut8,Mut9,Mut10
GUCA2A,0,0,0.322363253,0.107692669,0.096756081,0.335104354,5.312168267,0.042140224,0,0,0,0,0,0,0.05430985,0.080063611,0.133488473
GUCA2B,0.038883608,0,0.369725108,0.107692669,0.049189022,0.21024071,5.178969416,0,0,0,0,0,0.095896736,0,0,0.227979997,0.195869645
GUCD1,4.607903318,5.026120928,4.772483458,4.891240603,4.689212075,5.911607762,5.316048081,4.438880214,5.018997358,4.5333839,5.003443469,4.974658832,4.944588374,4.901893298,5.088731172,5.056152484,4.861209965
GUCY1A1,3.06626314,1.566464468,2.031389601,1.682057322,2.648888011,4.092053074,2.162586782,2.40539951,1.704541539,1.163508729,1.492003935,1.943641011,1.86634837,1.618738241,1.926168285,2.352943404,2.151038584
GUCY1A2,0.317150059,0.177325074,1.223635383,0.512246829,0.604305789,1.853870531,0.247602099,0.374512653,0.23394415,0.218049484,0.229768854,0.492293075,0.350404423,0.57832075,0.546311307,0.484862554,0.52230006
GUCY1B1,2.655305953,1.20655153,2.031389601,1.516058543,2.54125611,3.952833321,2.036575303,2.120795676,1.195978695,1.532394401,1.51397367,2.202265176,1.69318963,1.948615712,1.772655192,2.209018189,2.328587106
GUCY2C,0.149616054,0.091385254,0.415581427,0.661090008,0.69981497,0,3.571217327,0.272000591,0.639211897,0.442494352,0.681912194,0.15858777,0.921042771,0.692773441,0.157155981,0.597966673,0.472770285
GUCY2D,0,0.091385254,0.369725108,0,0.096756081,0.143507655,0.03808137,0,0.12170887,0.091210978,0,0,0,0.135695168,0.205954255,0.080063611,0
GUF1,3.979964799,5.498424556,4.90698741,4.665328944,4.838335477,4.588656776,4.749080227,4.24728759,4.886456936,4.856269302,4.772343652,4.780951892,4.501425768,4.772523894,4.660113394,4.633692194,4.57764225
GUK1,5.609837383,5.551689849,6.320313425,5.698214451,5.284589441,5.539020592,5.803718567,5.391035414,5.705165764,5.53272834,5.745703944,6.066050011,5.810470163,5.574350866,5.389997938,5.577866213,5.261963282
GULP1,3.103423496,1.62880406,3.317860578,1.766642278,3.166252908,4.622740986,2.136495467,3.23539071,2.29347256,1.377938528,1.808748424,1.360992759,2.495500926,2.247210033,2.827737536,2.857698181,2.594795151
GUSB,6.414559428,6.973884608,6.527019037,7.573618896,7.629105458,7.823973184,7.332862302,6.615762161,7.173819434,6.988965648,7.896916861,7.306230806,7.308281057,7.351880652,6.983673927,7.722059967,7.822681201
GXYLT1,4.706295816,5.427857016,5.569450997,5.285975788,5.609638122,5.759761009,5.151004889,5.370509265,5.352088113,5.253051424,4.972043828,5.472437453,5.333182887,5.258486478,5.384708817,5.255732988,5.438427987
GXYLT2,2.425182342,0.477528123,1.955809948,1.086649255,3.822210967,6.214581715,0.784236992,1.740527073,1.864210252,2.924415658,0.42792161,0.367913316,2.317972734,2.185991531,2.940172924,3.627124092,3.476451227
GYG1,6.13110843,5.268112092,6.31578605,5.294547932,5.099960473,7.17955722,5.682726543,5.905077156,5.318537554,4.93686614,5.204274772,5.715125431,5.120208648,4.970436763,4.807717067,5.390388577,5.51382839
GYPC,2.270408649,1.534254533,1.116648499,1.535474623,2.904146202,5.448626251,1.675044132,2.140326426,1.610637119,1.890818245,0.930848614,1.073026915,2.414124164,1.872945214,1.772655192,3.168168759,2.896602214
GYS1,6.344992374,6.184592811,6.903023106,6.452389583,5.805759047,7.763457175,6.11394012,5.676694562,6.006487375,6.298232372,6.407068989,6.347067373,6.167119164,6.1038755,5.922514491,5.965487815,5.936638712
GYS2,0.038883608,0,0,0.054850966,0,1.069130428,0.181086352,0.940238037,0.041720932,0.046326194,0.332244572,0,0.228755571,0.069442376,0.05430985,0.393806682,0
GZF1,5.344800925,5.13751845,5.85804363,5.396284582,5.117362951,5.434739435,5.352395066,5.588799974,5.314288338,4.882042617,5.075387876,5.267934823,5.062033419,5.1221495,5.149245937,5.081903581,5.138358039
GZMA,1.120814979,0.408128502,0.369725108,0.107692669,0.230714179,0.450016744,0.618190796,0.559973838,0.526183327,0.046326194,0.229768854,0.431443182,0.350404423,0.373916747,0.583720624,0.455144605,0.195869645
GZMH,2.468552073,0,0,0.472506407,2.443458525,3.092595997,0.341956768,0.749940585,2.007955491,2.97319197,0,0.081471877,1.328864505,1.042775404,1.969208186,2.098021041,2.559643077
GZMH,2.948668969,0.091385254,0,0.207901806,1.100670585,2.329587832,0.03808137,1.328634241,1.932337721,2.05842137,0.060962895,0,0.840273205,0.453999736,0.789840153,1.408643816,1.047100183
GZMH,2.769528918,0,0,0,0.049189022,0.21024071,0,1.474259151,2.007955491,0.046326194,0,0,0.840273205,0,0,1.059513317,0
GZMH,2.538057769,0.408128502,0,0.625293958,0.230714179,0,0.311185811,1.778415808,2.3191467,0.046326194,0.332244572,0.301456492,0.946991414,0.479735772,0.34316424,1.039626918,0.313080188
GZMK,0.076746668,0,0,0,0.230714179,0,0,0.042140224,0.082269181,0,0,0,0,0.035138963,0.253155817,0,0
GZMM,1.323381902,0.477528123,0.808287244,0.88950425,0.760146612,1.500945069,0.761654457,1.166642517,1.080627814,1.099039004,0.863996719,0.763125878,0.599766426,0.714613391,0.620184378,0.914183354,0.828260676
H1-0,7.678046689,7.94688077,9.024769298,8.090906683,7.652919746,7.414377148,7.978646603,7.072407898,7.905194429,7.82286886,8.271272446,8.330072422,8.288264039,8.0480295,7.507131858,8.177371326,8.084910697
H2AC11,0,0,0.273393639,0,0,0,0.03808137,0,0,0,0,0,0,0,0,0.080063611,0
H2AJ,4.804058478,5.70785191,6.207531031,5.956790279,5.709595086,5.171398971,6.256025979,6.092204732,6.569092051,6.077598123,5.953907091,5.697467012,6.075990755,5.994314656,5.825327672,6.39085566,5.983810704
H2AX,6.498032404,5.407996792,5.575776043,5.26867717,5.362062659,5.02383725,5.488404848,6.181519529,5.756181188,5.67220481,5.396884242,5.306568527,5.542320523,5.649972022,5.55329859,5.839600443,5.446468615
H2AZ1,8.493466849,7.744001397,8.1812467,7.913988051,7.852514599,7.127631769,7.944434755,8.188980449,7.909426201,7.921119771,7.723335165,7.982140542,7.827747639,7.971299906,7.939251889,7.918427632,7.709303674
H2AZ2,6.094663369,5.555706866,6.061937,5.536584502,5.352296804,5.258723541,5.743770614,5.451895001,5.470425865,5.362376763,5.600540404,5.726251106,5.60478012,5.542651278,5.545024656,5.672910786,5.395878664
H2BC17,0.218981154,0.091385254,0.625255245,0,0.230714179,0,0.11135503,0.161643446,0.041720932,0.046326194,0.119453828,0,0.141556047,0.102949054,0.05430985,0.080063611,0.0682876
H3-3A,7.572265069,8.304063158,8.949319948,8.62609495,8.440516934,8.153795577,8.570406613,8.555185162,8.477144193,8.50972635,8.592306667,8.661594171,8.575877899,8.655812252,8.514858843,8.736603553,8.681873811
H3-3A,9.903958553,9.816638056,10.10064329,9.685500953,9.370063453,8.627929569,9.67019202,9.737364688,9.93778938,9.719840943,9.740724815,9.76643669,9.88684302,9.605716667,9.44129136,9.580518144,9.475691831
H3-5,0.438443198,0.543741997,0.273393639,0.346262012,0.230714179,0.39370436,0.513954823,0.439018661,0.403540953,0.371489597,0.281916388,0.431443182,0.42615466,0.625196913,0.620184378,0.542522719,0.52230006
H3C14,0.438443198,0.477528123,0.585687692,0.472506407,0.604305789,0.556447634,0.430517479,0.407126153,0.304192831,0.606074328,0.473481327,0.367913316,0.498125184,0.259717353,0.386146615,0.677331251,0.661437314
H4C13,0.49546833,0.258432086,0.369725108,0.207901806,0.096756081,0.073537465,0.214727532,0.775146416,0.082269181,0.091210978,0.281916388,0.081471877,0.185814524,0.135695168,0.298861858,0.329744656,0.0682876
H4C4,0.076746668,0.091385254,0.222703262,0.158667125,0.096756081,0,0.11135503,0.439018661,0.082269181,0.046326194,0.060962895,0.301456492,0.04874501,0.069442376,0,0.155916668,0.36829767
H6PD,7.822764542,2.445382743,5.44782926,4.017093686,5.686462622,7.488507686,3.350656241,8.135393204,4.282103178,4.275886771,2.91023882,3.363944566,4.821996294,4.31190044,4.407142642,5.977950092,5.85562852
HAAO,0.467237498,0.835691276,0.115644602,1.163535671,0.953410294,0.835443866,0.618190796,0.407126153,0.466164964,0.47672784,0.681912194,0.301456492,1.205305141,0.736127646,0.75746763,1.173397551,1.20709921
HABP2,0.218981154,0,0,0.054850966,0.096756081,0.143507655,0.715400438,0,0,0.442494352,0,0,0,0.035138963,0.05430985,0.040587134,0
HABP4,4.235651739,5.026120928,5.365526429,4.634149023,4.460610264,5.24883692,4.820467758,4.317597786,4.61483373,4.808348265,4.707091079,4.753249085,4.292143259,4.402146128,4.264691982,4.44058464,4.272188531
HACD1,5.19469366,4.437233225,4.894897105,4.586078031,4.46514824,4.874954392,4.746207438,4.663035291,4.488530251,4.399260267,4.753999261,4.550004124,4.456970057,4.443602929,3.989552859,4.390435653,4.049573332
HACD2,4.762553838,5.606935065,4.876569522,5.501225705,5.71722421,5.012195465,5.499536236,4.951240729,5.653121462,5.276318343,5.549601191,5.354474448,5.523042886,5.645004691,5.446933354,5.570089086,5.573785035
HACD3,7.228774438,6.627793883,6.551615102,6.676622636,6.84596861,5.809036172,6.819730027,6.795886102,6.867642035,6.353972513,6.798588026,6.744960204,6.920930614,6.751986328,6.687648172,6.817490807,6.836401574
HACD4,4.759646951,4.999825223,2.834759502,5.083224929,5.125986099,6.341878939,5.20221556,5.165367819,4.996631219,3.431568971,5.302214168,4.595784042,5.185695647,5.094306515,4.916174608,5.355624307,5.440039702
HACE1,4.401478588,4.496946726,4.52040497,4.225704425,4.505360205,4.173747565,4.237816019,4.515664175,4.292941074,4.430161612,4.280219421,4.309134321,4.032192681,4.453377777,4.532006609,4.346596385,4.615219775
HACL1,0.379070953,0.177325074,0.585687692,0.207901806,0.391930706,0.335104354,0.567013997,0.530672401,0.583804238,0.2968085,0.473481327,0.431443182,0.42615466,0.529870185,0.583720624,0.727914746,0.313080188
HADH,7.547408787,7.381153695,7.245730852,7.321216492,6.787832868,6.699972912,7.597396425,7.051928989,7.192461113,6.851411896,7.434265142,7.313099003,6.994704109,7.082104704,6.966517466,6.885914142,6.735012791
HADHA,7.795704228,7.542672843,7.650820828,7.898138724,7.599999514,7.75020254,7.802308574,7.685816787,7.828869282,7.72746557,7.998294624,7.753447907,7.710980503,7.955337194,7.87445587,7.58041835,7.658291267
HADHB,6.586812901,6.803611727,6.541956162,7.298667345,7.048916263,7.434142673,7.34999386,6.854706853,7.072106029,6.809635424,7.292513104,7.153887127,6.948487777,7.431926716,7.072292144,7.0248393,7.11236794
HAGH,5.861717635,4.917933966,5.711791209,5.477580665,5.301182119,5.312870399,5.556402307,5.405231909,5.360355243,5.451141976,5.503676071,5.308684808,5.431808244,5.237897041,5.274638104,5.521629017,5.363971617
HAGHL,4.363690014,4.86388129,4.405794009,4.375971776,3.877728445,3.531485454,4.256106865,3.710743995,4.242398451,4.119460571,4.364253091,4.138793102,4.216823443,4.204097612,4.037525219,4.402164183,4.155392955
HAL,3.426630299,2.356069967,1.56622443,4.13951197,4.430760294,7.129249368,2.340736864,3.151255071,3.352343206,3.448917356,2.42205484,3.262787098,4.18719272,4.469523441,3.356890903,5.447159012,5.901974392
HAND1,0,0,0,0.107692669,0.230714179,0,0.311185811,0,0,0.091210978,0,0,0.04874501,0.035138963,0.106649177,0.080063611,0.0682876
HAND2,0,0,0,0,0.096756081,0.073537465,0.214727532,0.042140224,0,0,0,0,0,0.035138963,0,0.393806682,0
HAO1,0.149616054,0,0.170166772,0.207901806,0.272738469,0.073537465,0.11135503,0.161643446,0.160099005,0.17699666,0.060962895,0,0.095896736,0.199038556,0.298861858,0.455144605,0.0682876
HAP1,3.821733168,5.41464729,4.779076499,4.663124017,3.982738026,2.252521196,4.589946375,3.570212376,4.339683684,4.583333688,4.81278507,4.8923868,4.902109834,4.29206453,4.054278829,4.392397041,3.879453371
HAPLN1,0.409062478,0,1.876050883,0.054850966,0,0.274022962,0.14664195,1.147467154,0,0.218049484,0,0,0,0,0,0.080063611,0.0682876
HAPLN2,0.038883608,0,0,0,0,0,0,0.083084411,0,0.780649185,0,0,0,0,0,0,0
HAPLN3,1.084105609,0.408128502,1.00108765,0.512246829,0.730296142,0.835443866,0.11135503,0.984133684,0.865163986,0.636676851,0.175665483,0.231789928,0.270455357,0.55429885,0.821502186,1.408643816,0.977777648
HAPLN4,0.348442688,0.258432086,0.058980731,0.948633001,1.191105296,0.957013528,0.372085099,0.439018661,0.49648623,2.035637563,0.642565661,0.492293075,0.663755104,0.625196913,0.298861858,0.455144605,0.472770285
HARBI1,3.827296926,4.692048451,4.641126447,4.472307773,4.083574451,3.726475169,4.47838771,4.240516884,4.30369816,4.148951145,4.60075683,4.457660827,4.111773309,4.347281511,4.006869538,3.990398818,3.971484174
HARS1,7.370556815,7.164154981,6.936830471,7.196791332,6.861542863,6.325980001,7.157733491,7.364238486,7.170297143,6.990077082,7.201947997,7.378026307,7.061180265,6.912066777,6.958084696,6.822954811,6.752629683
HARS2,5.402778622,5.702426825,5.211569119,5.436859998,5.408746888,4.922996183,5.487545019,5.348637806,5.482784439,5.539829506,5.410124542,5.436115476,5.364808876,5.45859734,5.353914224,5.282419725,5.225046263
HAS1,0.628886581,0,0,0.255511563,0.69981497,4.350566119,0.075183341,0.306986896,0.12170887,2.606581998,0.380876088,0,0.185814524,0.453999736,0.427885374,0.935862787,0.421479443
HAS2,1.778776876,0.887606882,1.060024828,2.967226801,3.894648475,5.462380673,0.933129516,1.790827444,1.932337721,4.156890496,1.424013082,1.032626902,3.312495857,3.418138326,3.520157743,4.02620919,4.508662434
HAS3,0.628886581,0.177325074,0.545004278,3.239992277,3.723390811,0.748305355,0.401597099,0.161643446,2.222686871,4.453985271,0.380876088,0.431443182,2.385945555,3.584524794,2.903659489,3.411958404,3.642440217
HASPIN,3.764882613,3.606696376,3.645856832,3.75254278,3.734711083,3.373032544,3.770992408,3.694321115,3.644047058,3.758162777,3.543614117,3.766282081,3.653165452,3.897793251,3.86214159,3.534247422,3.476451227
HAT1,6.663074908,5.94223804,6.222926719,6.204319049,6.075066345,5.270498742,6.153507835,6.536444627,5.872737472,5.900566825,5.9265262,6.317946507,6.049288521,6.241399763,6.227357378,5.76435267,5.790159854
HAUS1,4.740608062,4.927265947,4.371303149,4.695849227,4.550900011,3.709274275,4.778904098,4.537924479,4.002033515,4.464685507,4.723682991,5.008902916,4.553025222,4.818630176,4.640276686,4.372662118,4.370123495
HAUS2,4.898260386,5.328053983,5.508599567,5.689574273,5.316330884,5.085129305,5.581600919,5.591463022,5.50346075,4.867601823,5.401311191,5.364681575,5.380365631,5.547983148,5.319679041,5.15419873,5.303281904
HAUS3,4.46888053,4.534068682,3.940632222,4.161547636,4.522878622,3.952833321,3.931342004,4.62714712,4.224394967,4.702033256,4.221348253,4.235403557,4.299715159,4.520007836,4.229720598,4.10247569,4.30085485
HAUS4,5.0874974,4.677375316,4.320984952,4.123563563,4.188837568,4.047122852,4.51934767,4.563468031,4.320744387,4.156890496,4.471995477,4.334282701,4.492643541,4.491828045,4.57443721,4.309709799,4.268564857
HAUS5,2.704506401,2.220945688,1.756418034,1.750117376,1.834530052,0.995362132,1.613321342,1.965224719,1.755578655,2.035637563,1.790863986,1.853742023,1.58166712,1.547514086,1.723224535,1.891641119,1.691394559
HAUS6,4.604667142,4.742260132,4.695577461,4.704452017,4.984584464,4.524543934,4.62633658,5.095796758,4.74049676,5.036335744,4.62871353,4.834810971,4.842877552,5.111899832,5.077301461,4.685801405,4.887435841
HAUS7,5.0343689,4.496946726,4.926915448,4.472307773,4.098256033,4.447109986,4.379888697,4.388728515,4.271183248,4.494230729,4.524345782,4.43070908,4.297195606,4.234649808,4.27901685,4.496362432,4.275803126
HAUS8,5.451327796,4.175323852,4.611879841,4.07794664,4.266286559,4.078720318,4.274168716,5.044891004,4.266792028,4.490046847,4.264105829,4.480368232,4.200736719,4.456621397,4.367474228,4.188521479,4.155392955
HAVCR2,2.326487758,3.112857218,2.535777837,3.8565499,3.947496429,3.674244738,3.535056571,3.442302822,3.739042465,3.142687406,3.096482598,3.44314092,3.576278955,3.760184455,3.471092983,4.627044186,5.132389334
HAX1,6.526955433,5.781735864,6.238159845,6.22090362,5.958403142,5.720237393,6.17502986,6.137249459,6.048663402,6.074108537,6.095407847,6.170978958,6.100041093,6.093494707,5.983265991,5.992246878,5.979384002
HBA1,9.799432456,3.022865003,7.811397002,6.097334163,6.328316189,7.223633956,4.183634623,4.581440442,4.173694652,7.340486517,6.41073313,3.396146654,6.317044125,6.625842048,7.137422238,5.187338062,6.42251214
HBA1,0.576990294,0,0,0,2.937186596,0,0,0,0,0.134741349,0,0,0,0.069442376,0,0,0
HBB,5.815577322,0.60704981,4.436702226,3.037001442,3.825744107,4.309303018,1.650670973,1.778415808,1.678329552,3.72650377,2.705912839,1.187852468,3.176538294,3.659628137,3.925433178,2.295408112,3.561831635
HBB,9.856622129,2.837319738,8.134880661,6.804164875,7.273475434,7.728667391,4.672463125,5.085758292,4.670747185,7.600290849,6.415847343,4.257482951,6.999361599,7.409087481,7.555006011,5.858879048,7.216188635
HBEGF,4.316997103,3.460097447,3.243530721,3.75254278,4.385991468,4.90799721,3.292768847,4.28287097,3.834115641,4.968787331,3.306163544,3.086531016,4.450181952,4.284783314,4.154021633,4.448147459,4.632238549
HBP1,5.682238902,7.565264108,7.488326986,7.661568397,7.264391306,6.974676605,7.623657095,7.720291731,7.526775441,7.757146522,7.726572767,7.513549048,7.32352773,7.568988991,7.419974497,7.45980705,7.534761436
HBQ1,0.18471545,0,0.170166772,0.054850966,0.049189022,0,0,0,0,0,0.119453828,0,0,0.035138963,0.106649177,0.040587134,0.0682876
HBS1L,6.5329265,6.619182423,6.890899393,6.392426292,6.357900446,6.023694913,6.574983544,6.603061674,6.593405858,6.819255812,6.63530197,6.746522228,6.189708801,6.423986242,6.344364146,6.242176106,6.318580849
HCAR1,0.149616054,0,0.115644602,0.301600234,0.502022617,2.431000644,0.372085099,1.427332006,0.041720932,0,0.175665483,0.081471877,0.840273205,0.199038556,0,0.542522719,0.133488473
HCAR2,4.459954095,2.071845241,0.625255245,3.179570412,2.741582269,2.15425467,2.064519726,2.608361393,2.942934341,1.940724135,3.415249612,2.611770846,3.684351679,3.454284903,2.88879137,3.558906588,3.87469405
HCCS,4.467099656,4.56628272,4.711749688,4.616024624,4.7939322,5.206556984,4.769031153,4.595658888,4.620007269,4.656092145,4.598188242,4.74389533,4.546675318,4.736950702,4.743053735,4.601837701,4.662927587
HCFC1,6.772388093,7.423534957,7.482279299,7.249547184,7.452969264,7.195086234,7.231999071,7.540644873,7.41315407,7.40718283,7.27050005,7.479669565,7.307029288,7.469741754,7.666537176,7.217759043,7.35763594
HCFC1R1,7.276075023,6.418741764,6.287548842,6.564139277,5.983135675,6.540542805,6.312466055,6.022214549,6.157628837,6.318429822,6.686377927,6.093313275,6.112275937,6.221516915,5.901373264,6.305477568,6.119743228
HCFC2,5.349641847,4.821135758,5.641170051,4.853062005,4.63788153,5.431246744,5.170422535,5.512165996,4.822071709,4.709249951,5.06798153,5.207972351,4.573991961,4.617417042,4.567451538,4.444371005,4.612363691
HCK,3.080310679,4.251596079,2.335644176,4.346045211,4.483158736,4.622740986,4.28013943,3.79325369,4.161919062,3.189882244,3.779545527,4.090410496,4.773878215,4.140980881,4.040891542,4.950953942,4.709108141
HCLS1,4.35022665,4.015345775,3.655444032,4.695849227,5.154363273,6.228734592,4.266169131,4.691447627,4.488530251,4.248903436,4.009581624,4.134027207,4.990537981,4.700478142,4.495668869,5.684963124,5.746540764
HCN1,0.18471545,0.091385254,0.170166772,0,0.096756081,0.606856548,0.14664195,0.042140224,0.082269181,0,0,0,0.462588667,0,0,0.040587134,0.133488473
HCN2,5.155422507,1.20655153,0.460024984,1.554632863,1.255395263,1.628423297,1.122267167,4.58322543,1.285524573,0.807796492,1.447034569,0.660809899,1.386889872,1.28096812,1.297347444,1.261882113,1.176487542
HCN3,0.18471545,0.177325074,0.875457924,0.207901806,0.502022617,0.073537465,0.311185811,0.199374936,0.12170887,0.257966373,0.380876088,0.367913316,0.228755571,0.199038556,0.298861858,0.296614329,0.313080188
HCN4,0.038883608,0,0.115644602,0.054850966,0.466250707,2.187759403,0.11135503,0.083084411,0.041720932,0.134741349,0.119453828,0.231789928,0.095896736,0.069442376,0.298861858,0.484862554,0.421479443
HCRTR1,0,0.667695961,0,0.730122965,0.571010675,0.21024071,0.513954823,0.042140224,0.79370768,0.442494352,0.281916388,0.550679978,0.725025781,0.916551968,0.157155981,0.776784606,0.616532853
HCST,0.988025108,1.20655153,0.663766518,1.086649255,1.028918538,1.628423297,0.953198841,0.799919418,0.933247478,0.542850187,0.42792161,0.550679978,1.226647302,0.798809899,0.583720624,1.800045538,1.506863773
HDAC1,6.779221934,6.282372752,6.3165416,6.440852091,6.361556184,6.114692086,6.458270855,6.555209495,6.314776543,6.685235116,6.404130962,6.359370024,6.280519837,6.61535903,6.656715434,6.483932935,6.477695556
HDAC10,5.341888556,4.677375316,4.888813744,4.006697219,3.818669153,4.619675483,4.109565499,4.563468031,4.0204093,3.91930676,4.518923829,4.524738161,4.097363519,3.935478499,3.903410642,3.966899423,3.543956411
HDAC11,4.718323291,5.498424556,7.248504913,5.760386256,4.696949461,3.589041607,5.760239205,5.327494981,5.384876137,5.40522181,5.605664669,6.015120649,5.394578328,5.079655052,4.199915933,4.85749386,4.719762645
HDAC2,6.872317767,6.642033067,6.597720319,6.68098815,6.865410298,6.383137685,6.441053069,6.81195985,6.537086763,7.09469849,6.534789175,6.472236768,6.492479041,6.905850881,6.853327349,6.614855591,6.721823132
HDAC3,7.494626124,8.004591886,7.744193005,7.509712724,7.196421874,6.458849066,7.69018964,7.033115494,7.420585446,7.454384357,7.889845671,7.552467186,7.343812651,7.543475838,7.472337257,7.271765861,7.136424853
HDAC4,4.887648436,4.509427145,4.969811637,4.685023094,4.84705446,5.181828799,4.577070641,4.926143395,4.682334069,5.224374737,4.751689724,4.837744993,4.716576846,4.779016337,5.080576343,5.0660167,5.213784399
HDAC5,7.287472568,6.96937452,6.196080775,6.687511752,6.506187599,6.490238639,6.926050078,6.537365671,6.733255434,6.885258298,7.155532544,6.924041198,6.731444177,6.692357595,6.799690605,6.836344867,6.717842606
HDAC6,5.960593232,5.818977848,5.521763368,5.349058746,5.383797089,4.811889815,5.399780404,5.694970039,5.492219513,5.626241623,5.449131613,5.270108498,5.062033419,5.38559938,5.60879071,5.246003623,5.234364457
HDAC7,6.329883466,5.220830225,3.631355507,4.919225805,5.18906739,6.80895358,4.924513459,5.602066326,5.543945078,5.742477859,5.344207088,5.203429947,5.763785634,5.094306515,5.244296922,5.630332156,5.171722051
HDAC8,4.787028718,4.814445641,4.657917114,4.479844,4.104087085,3.57644832,4.514290821,4.664722184,4.424921128,4.105853857,4.62619428,4.790069197,4.514499677,4.336757999,4.414947097,4.265448515,4.103453141
HDAC9,0.797096826,0.986148759,0.939639833,1.496377589,1.747796963,4.03336632,1.030795623,1.345559923,1.3698358,1.825905684,0.963147668,0.904160241,1.971222897,1.28096812,1.251592631,2.135976912,2.103014048
HDC,0.774234587,0.091385254,0.170166772,1.573540023,2.664756571,4.005453372,0.59282931,1.563768398,1.864210252,4.304758729,0.473481327,0.550679978,1.548153373,1.823552942,2.091121593,3.018731838,2.86815151
HDDC2,5.828812477,6.068498525,5.177040014,6.01500674,5.750135276,4.148445559,6.04021477,5.193686062,5.678965219,5.620511499,6.071533308,5.624589186,5.942897243,5.973520181,5.870488621,6.200244736,6.062299867
HDDC3,4.593283015,5.220830225,4.855928689,5.071634364,4.400279644,4.98386581,5.375817678,5.775241313,5.091555803,4.514970048,5.257335113,5.674675471,4.742737051,4.715448809,4.399295737,4.528822494,4.314977202
HDGF,8.804316159,8.584980697,8.447872884,8.636528051,8.416847413,7.887160502,8.512833581,8.471885117,8.443980318,8.708386789,8.575755804,8.711033456,8.488716285,8.558124648,8.419317115,8.361601683,8.297200206
HDGFL2,6.454654523,5.908082182,5.735713952,5.688490603,5.629989172,5.654357666,5.419750243,5.439138455,5.691305992,6.014913324,5.514614243,5.641478559,5.442108351,5.473884881,5.550939446,5.606028944,5.306819525
HDGFL3,1.307546251,0.667695961,1.503907731,0.859005552,2.170885452,4.368938902,1.104430949,1.443144598,1.3698358,1.580411433,0.332244572,0.904160241,1.513842551,1.251391199,1.672039979,1.788176124,2.227689161
HDHD2,0,0.091385254,0,0.054850966,0,0,0,0,0,0.046326194,0,0.15858777,0,0.035138963,0.05430985,0,0.0682876
HDHD2,2.15125419,2.624339708,2.428034929,2.478379464,2.549826645,3.219509784,2.565970359,2.03991615,2.204434144,2.218713785,2.31350193,2.570036408,2.385945555,2.269513426,2.329995283,2.454063957,2.435869498
HDHD3,5.708856171,5.445283916,4.851764847,5.340805361,4.631839515,3.732163527,5.575949258,5.284256443,5.110058756,4.691140073,5.737557499,5.410726008,5.320832023,5.059529894,4.795811402,4.715873545,4.32896265
HDHD5,4.715325809,4.628629999,5.107146816,4.602280319,4.419113053,4.30549264,4.652655761,4.285066058,4.397064476,4.610568196,4.695121788,4.993198892,4.456970057,4.504420399,4.443207563,4.451914053,4.167118095
HDLBP,9.603058497,9.646978393,9.941200449,9.559950352,9.417811018,9.686132015,9.553539669,9.590516526,9.670043616,9.561444669,9.913508374,9.931829211,9.483939963,9.422695643,9.55800465,9.214288239,9.393441291
HDX,0.348442688,0.177325074,0.058980731,0.255511563,0.69981497,1.853870531,0.181086352,0.161643446,0.666137645,0.860605056,0.175665483,0.081471877,0.532807366,0.289125792,0.298861858,0.227979997,0.704986193
HEATR1,5.195769411,5.635682892,5.923979576,5.724886242,6.136100929,5.766706254,5.538248595,5.608215789,5.890685403,6.109312366,5.468949773,5.95694025,5.777408064,5.967279795,5.917029186,5.625337385,5.801488686
HEATR3,6.209359373,6.076908377,6.050174338,6.051709716,5.943845312,5.867061781,6.180360571,6.441237285,6.178818644,5.607052034,5.94584827,6.219026997,5.977929369,6.092452507,6.02380913,5.739142748,5.830042333
HEATR4,0.038883608,0,0.115644602,0.054850966,0,0,0.03808137,0.042140224,0,0,0.119453828,0.15858777,0.095896736,0,0,0,0
HEATR5A,5.121859674,5.349037575,5.70488264,5.467507743,5.826187464,7.00729638,5.528249436,5.686691692,5.726908281,5.817021564,5.561517042,5.690991801,5.506779049,5.688417108,5.935233009,5.769644063,6.111675744
HEATR5B,5.452228295,4.892749482,5.382944115,5.029462352,5.088241095,5.272451965,4.81225027,5.503708485,4.92319453,4.893175256,5.032272627,5.133519676,4.942977503,4.934828705,5.124074713,4.952284169,5.198630511
HEATR6,5.479868597,5.416857328,5.242113224,5.234930275,5.280733108,5.064986568,5.175770266,5.594121163,5.279836392,5.479908514,5.278345559,5.439982191,5.163734297,5.242602328,5.216284472,5.100019814,5.067137627
HEATR9,0.038883608,0.091385254,0,0.054850966,0.096756081,0.143507655,0.11135503,0,0.041720932,0,0,0,0.04874501,0,0,0.040587134,0
HEBP1,6.789234221,6.031478475,4.323993929,6.076774465,5.39929301,5.823762831,6.105558464,5.778361097,5.649752807,5.292024329,6.234221461,6.047161561,6.003656273,5.633586156,5.395267738,5.668061517,5.716267728
HEBP2,5.184975634,4.85412875,4.385774681,4.801869678,4.808290485,3.36573228,4.965847551,3.856614327,4.825061497,4.665398149,4.841303452,4.740763886,5.105883283,4.960189165,4.817563948,5.25680999,5.303281904
HECA,5.434110634,6.230546779,6.021731716,5.926776729,5.793181235,5.636269529,5.996761956,5.612592269,5.835416403,5.827836765,6.079842358,5.970370603,5.71836747,5.872105462,6.046594765,5.854617121,6.24211714
