"","SUM44_P1","SUM44_P2","SUM44_P3","SUM44_TamR1","SUM44_TamR2","SUM44_TamR3"
"MTO1",7.53367,7.37272,7.40322,7.5371,7.61992,7.26574
"MTOR",7.46091,7.38749,7.63694,7.44829,7.54928,6.82662
"MTR",6.37109,6.31152,7.11137,6.26606,6.3798,6.23031
"MTREX",8.83021,9.1542,9.252,8.74629,8.48151,8.92233
"MTRF1L",4.93136,4.81188,4.90546,4.96638,4.80548,4.99941
"MTRR",7.69344,7.34318,7.66978,7.0336,7.35839,7.26151
"MTSS1",8.57732,8.52699,8.15377,8.64017,9.1069,8.98905
"MTSS2",4.84881,5.0517,4.93398,5.07449,4.97456,5.41874
"MTTP",3.84629,3.80228,3.84045,3.88079,3.95424,4.00554
"MTUS1",8.56365,8.68074,8.39409,7.78634,7.6963,7.96279
"MTUS2",4.44477,4.30452,4.42032,4.42745,4.5948,4.56655
"MTX1",9.31627,9.22142,9.12726,9.7743,9.58489,9.14005
"MTX2",9.16733,9.22025,9.52214,9.08713,9.08645,9.17832
"MUC1",9.03495,8.59558,7.65206,7.17866,7.11189,6.90157
"MUC13",4.78751,4.66882,4.59958,4.78669,4.76671,5.10431
"MUC2",6.18307,6.2317,6.14476,6.24626,6.11091,6.76172
"MUC3A",6.01476,5.87976,6.07486,6.03701,6.14747,5.83092
"MUC3B",6.00778,5.89576,5.77061,5.91596,5.93247,6.1922
"MUC4",4.54276,4.42489,4.31161,4.3728,4.32406,4.51688
"MUC5AC",6.95217,6.90788,6.98141,6.94745,6.76036,6.7215
"MUC5B",5.13768,5.13576,5.08339,5.19127,5.12625,5.26523
"MUC6",5.44936,5.33867,5.40371,5.5441,5.56794,5.87401
"MUC7",4.15907,4.12404,4.11118,4.07464,4.14439,4.13284
"MUC8",7.52041,7.43259,7.44495,7.62214,7.4759,7.45331
"MUL1",8.54442,8.24548,8.1798,8.53477,8.65133,8.29371
"MUS81",8.09764,7.96661,8.11723,7.6248,7.66999,7.12913
"MUSK",4.08071,4.1582,4.11962,4.11971,3.97035,4.78305
"MUTYH",7.22292,7.2764,7.0042,7.57331,7.33722,7.07909
"MVD",6.09257,6.06842,6.11272,6.4592,6.3168,5.93277
"MVK",7.94022,8.17632,8.13202,8.26972,8.19787,8.13016
"MVP",7.49467,7.17877,6.88313,7.72094,7.45996,7.44434
"MX1",5.54185,6.68793,5.64049,5.15465,5.1529,5.30048
"MX2",5.25659,5.353,5.25242,5.05902,5.0549,5.03308
"MXD1",5.10569,5.02928,5.02925,5.01953,5.1235,5.262
"MXI1",8.0927,7.79724,7.57412,6.18022,6.40766,6.18125
"MXRA5",4.66904,4.51231,4.46764,4.71916,4.50971,4.67536
"MXRA7",10.2903,10.2781,10.6286,10.8927,10.6545,10.0725
"MXRA8",5.83624,5.89334,5.84926,5.78653,5.85965,5.90515
"MYB",9.82267,10.0578,10.2332,8.82345,9.04391,9.65277
"MYBL1",5.5331,6.55387,7.19692,5.39217,5.01719,4.98817
"MYBL2",6.99157,7.55385,8.16614,7.67774,7.67674,7.52714
"MYBPC1",4.2668,4.01883,4.04884,4.08427,3.99379,4.18637
"MYBPC2",4.86659,4.83524,4.69416,4.96954,5.11865,5.45976
"MYBPC3",6.83222,6.78,6.87416,6.90897,6.89999,7.44429
"MYBPH",5.31429,5.3796,5.212,5.61152,5.40718,5.4463
"MYC",7.97115,7.38981,7.28393,7.19238,7.59547,6.58345
"MYCBP2",7.44319,7.22339,6.98467,6.47441,6.3531,6.75178
"MYCL",5.45896,5.23244,5.51121,5.40211,5.54402,5.50536
"MYCN",8.46778,8.89398,8.83285,8.15699,8.27595,8.31844
"MYCNOS",5.77032,5.54377,5.58635,5.53362,5.75832,5.975
"MYD88",9.31245,9.44397,9.45003,9.24349,9.08744,8.46883
"MYDGF",9.18958,9.24082,9.16509,9.62506,9.52478,9.26463
"MYF5",3.96475,3.84462,4.06895,3.85343,4.2753,3.68933
"MYF6",4.96702,4.88476,4.89539,5.02222,4.85346,5.25322
"MYH1",3.74729,3.63736,3.62629,3.7428,3.69818,3.76457
"MYH10",7.20357,7.22891,7.54029,6.52436,6.51893,6.39181
"MYH11",6.09966,5.98977,6.0015,6.23075,6.08631,6.39184
"MYH13",5.32363,5.03168,5.21081,5.2547,5.0801,5.63974
"MYH14",7.422,7.4171,7.37195,7.12764,6.95327,7.84043
"MYH15",4.42049,4.22843,4.3301,4.42501,4.34894,4.46589
"MYH2",4.46335,4.41087,4.39853,4.39631,4.43888,4.62781
"MYH3",3.99494,3.90149,3.91237,3.92945,3.93959,4.11067
"MYH4",3.8537,3.9269,3.86695,3.88106,3.96694,3.98175
"MYH6",4.42604,4.26128,4.35084,4.50424,4.42249,4.48766
"MYH7",4.66456,4.58445,4.73777,4.72908,4.70612,4.85467
"MYH7B",4.41731,4.49123,4.48178,4.41697,4.43369,4.57256
"MYH8",3.81623,3.94151,3.90246,3.9712,3.9004,4.10464
"MYH9",9.35691,9.44396,9.51752,9.91188,9.60549,9.10163
"MYL1",4.62142,4.66188,4.58872,4.51192,4.53173,4.74057
"MYL12A",8.50834,8.64557,8.44267,8.70217,8.70172,8.40746
"MYL2",4.59259,4.41083,4.49119,4.598,4.64686,4.61736
"MYL3",5.99495,5.82619,5.95157,6.15248,6.16863,5.98366
"MYL4",6.34864,6.51194,6.4421,6.65054,6.44141,6.56771
"MYL5",6.22054,6.16277,6.14714,6.7152,6.31733,6.48807
"MYL6",12.7107,12.7878,12.8187,12.9548,12.8416,12.7724
"MYL6B",8.68287,8.31397,8.22844,8.61387,8.84988,8.40137
"MYL9",4.25362,4.18286,4.43533,4.46793,4.23634,4.40836
"MYLK",5.27128,5.19091,5.20418,5.17626,5.1594,5.26593
"MYLK3",3.77081,3.73968,3.84619,3.91103,3.80374,3.83005
"MYLPF",6.46729,6.28632,6.17812,6.33979,6.51932,7.02332
"MYO10",9.45139,9.3081,9.24422,8.86146,9.10594,8.66333
"MYO16",6.40698,6.31877,6.05672,6.06962,6.49906,6.05824
"MYO1A",5.20309,5.54229,5.29633,5.4746,5.70477,5.28177
"MYO1B",8.36755,8.1798,7.05368,6.99104,6.4902,6.17492
"MYO1C",8.76,8.79757,8.81203,9.12479,9.00603,8.59578
"MYO1D",5.18747,5.25151,5.51368,5.48846,5.56606,4.47936
"MYO1E",6.32976,6.09966,6.30223,6.14359,6.33102,6.02458
"MYO1F",5.38051,5.25151,5.32289,5.64662,5.70111,5.87701
"MYO5A",5.74071,5.87653,5.6384,5.85174,5.8601,5.86486
"MYO6",9.52501,9.74735,9.66746,9.05798,9.15377,9.55249
"MYO7A",6.46051,6.19229,6.40309,6.29911,6.21764,7.23497
"MYO7B",4.83348,4.95205,4.71494,4.81976,4.71195,5.03816
"MYO9B",6.84123,6.56082,6.75937,6.83253,6.88628,7.12799
"MYOC",5.98162,6.05443,5.99057,5.96933,5.93833,6.23185
"MYOD1",5.90585,6.01428,5.96925,6.0062,5.9449,5.77511
"MYOF",9.4838,9.75983,9.36383,7.89902,7.9697,7.85303
"MYOG",5.73657,5.74257,5.70248,5.87026,5.73957,6.01675
"MYOM1",5.20771,5.02488,5.0158,5.36527,5.25527,5.35913
"MYOM2",4.87467,4.90509,4.90595,4.91749,4.89494,5.14092
"MYOZ2",4.16671,4.12636,4.2492,4.15862,4.22453,4.27135
"MYOZ3",6.3372,6.4634,6.34151,6.38633,6.3026,6.00303
"MYRF",5.47623,5.2364,5.32108,5.34567,5.30115,5.88882
"MYRIP",4.0262,3.9079,4.03939,3.73357,3.88512,3.68158
"MYT1",6.02145,5.92329,5.92513,6.08877,5.99449,6.4962
"MYT1L",3.93807,3.82634,3.92414,3.96974,3.9044,3.77746
"MZF1",7.81135,7.56367,7.66548,7.85544,8.03261,7.82845
"N4BP1",9.17191,9.2769,9.14782,9.23261,9.20896,9.20461
"N4BP2L1",5.48478,5.63811,5.73103,5.3753,5.42791,5.66049
"N4BP2L2",7.88977,7.86929,8.11393,7.62505,7.60743,7.89067
"N4BP2L2-IT2",4.13612,4.07419,4.11579,4.11823,4.1131,4.16098
"N4BP3",5.11181,5.06023,5.07243,5.00339,5.11259,4.74301
"NAA10",8.53079,8.09069,8.28882,8.54021,8.40342,8.16244
"NAA11",4.4038,4.42752,4.42922,4.49005,4.50279,4.51631
"NAA40",6.61687,6.60943,6.61161,6.59335,6.56729,6.18584
"NAA50",7.88936,7.83815,8.12641,7.48545,7.37593,7.82874
"NAA60",9.41159,9.41059,9.34982,9.8013,9.71695,9.35172
"NAA80",5.9984,6.01267,5.9372,6.22501,6.15743,6.21868
"NAAA",7.29897,7.277,7.26602,7.54358,7.79655,7.03919
"NAALADL1",4.76813,4.77382,4.86133,4.88403,4.68693,5.20712
"NAB1",7.27583,7.44775,7.55787,6.14225,6.08145,6.54636
"NAB2",7.3495,7.39156,7.49169,7.32903,7.3283,7.31906
"NACA",12.9936,12.8874,12.8375,12.6612,12.6424,12.7808
"NACA4P",10.2856,10.2239,10.1644,10.1365,10.1312,10.274
"NACAD",5.2056,5.08457,4.9478,5.2163,5.19094,5.15771
"NACC2",6.82073,6.54019,6.03546,6.06378,6.14473,5.34584
"NADK",9.24853,9.16103,9.36047,9.24391,9.21433,8.91808
"NADSYN1",8.26858,8.17604,8.46175,8.55661,8.33054,7.93348
"NAE1",9.20631,9.59775,9.84703,9.47963,9.27735,9.62774
"NAGA",8.09918,8.22581,8.27515,8.34398,8.18552,8.01497
"NAGK",10.4998,10.521,10.4647,10.8708,10.7419,10.3276
"NAGLU",6.2702,6.17422,6.01964,6.59551,6.85683,6.62435
"NAGPA",6.55296,6.3884,6.30844,6.61445,6.77096,6.55451
"NAIP",4.9252,5.01451,4.98939,4.84379,4.76663,4.59916
"NAMPT",9.93497,9.76319,9.31846,8.48353,8.45233,8.64768
"NANS",9.04773,9.12768,9.61918,9.41855,9.34531,8.95132
"NAP1L1",11.2787,10.9946,11.0472,10.7085,10.9033,11.1193
"NAP1L3",3.76208,3.66226,3.70811,3.67628,3.788,3.71638
"NAP1L4",9.17973,9.18512,9.10714,9.02619,9.09281,9.10144
"NAPA",8.91207,9.42267,9.55079,9.71556,9.62055,9.18957
"NAPG",6.17272,6.21778,6.10668,6.26951,6.31348,6.15206
"NARS",10.9144,10.5906,10.6783,10.1049,10.3528,10.306
"NASP",7.79134,7.86892,8.06127,7.62987,7.62014,7.77696
"NAT1",10.3409,10.4399,10.0752,9.11918,9.19063,8.74617
"NAT10",8.53374,8.45857,8.51709,8.77207,8.58475,8.35378
"NAT2",6.44432,6.1855,6.28328,6.14421,6.40608,6.24632
"NAT8B",4.60902,4.51566,4.43125,4.59768,4.57759,4.65984
"NAT9",7.07283,6.95455,6.91927,7.12764,7.46877,6.7714
"NAV2",6.55481,5.98477,6.28363,6.25325,6.77488,6.28021
"NAV3",6.10598,6.12577,6.23144,5.75576,5.65229,5.70545
"NAXD",9.03985,8.75178,8.62352,9.20861,9.21622,8.85429
"NBAS",9.43915,9.21729,9.39265,9.38934,9.46102,9.39528
"NBEAL2",7.30549,6.65524,6.72762,7.30557,7.31893,6.72696
"NBL1",8.25402,8.37228,8.65981,8.85631,8.6824,8.91649
"NBN",8.23306,8.72988,8.64008,8.22595,8.22884,8.53987
"NBPF1",10.6284,10.624,10.6074,9.91881,9.93758,9.99357
"NBR1",7.81926,7.58963,7.2837,7.36695,7.66606,7.79224
"NBR2",5.57913,5.08889,5.42363,5.57879,5.52662,5.56074
"NCALD",6.00081,5.58811,5.05896,4.94288,5.09371,5.29363
"NCAM1",6.02376,5.84479,5.89107,6.23677,5.97283,6.66272
"NCAM2",4.5385,4.70213,4.96704,4.487,4.54689,4.85484
"NCAN",4.82081,4.7655,4.79314,4.90954,4.72718,4.8055
"NCAPD2",7.38016,7.68877,7.93845,7.38927,7.84188,7.44523
"NCAPD3",6.97957,7.15844,7.78667,7.23186,7.3143,7.40789
"NCAPG",6.29785,7.39009,7.76355,6.01948,6.07238,6.48125
"NCAPH",6.30303,6.74375,6.93606,6.31342,6.55119,6.52483
"NCAPH2",6.92455,6.74056,7.25968,7.23729,7.06795,6.83661
"NCBP1",7.23885,7.9582,8.08654,7.63303,7.66324,7.66258
"NCBP2",6.9826,7.12752,6.73876,6.6266,6.54281,6.70636
"NCDN",6.31688,6.44683,6.09049,6.70374,6.51798,6.4878
"NCF2",4.46808,4.5606,4.523,4.47142,4.61677,4.37165
"NCF4",5.01852,4.95534,5.02436,5.26152,5.36204,5.08005
"NCK1",6.35826,6.14444,6.40377,5.45579,5.80964,5.71127
"NCK2",8.23622,7.40608,6.81328,6.06388,6.17446,5.4228
"NCKAP1",9.07086,8.93839,8.97732,8.41198,8.17423,8.46227
"NCKAP1L",6.13986,6.05619,6.04605,6.09477,6.00208,6.25266
"NCKIPSD",7.56569,7.22869,7.32204,7.54856,7.5014,7.32984
"NCL",9.07295,8.87288,9.44993,8.96069,8.92613,9.23689
"NCLN",5.9478,5.97869,6.1795,6.44322,6.30861,5.701
"NCOA1",9.5312,9.74553,9.77573,9.42761,9.48773,9.5711
"NCOA2",8.07162,8.1559,7.99003,7.28764,7.16117,7.50355
"NCOA3",7.91198,7.46024,7.43641,7.38727,7.52841,7.72913
"NCOA4",11.2558,11.2446,11.2273,10.8025,10.9201,10.8553
"NCOA6",9.46481,9.07983,9.12321,9.17611,9.37669,9.10911
"NCOR1",7.88101,7.5903,7.41613,7.19736,7.40641,7.28503
"NCOR2",9.40771,9.20971,9.79145,9.95388,9.76895,9.60056
"NCR1",5.52287,5.57538,5.71551,5.60571,5.56578,5.79643
"NCR2",7.07606,7.13957,6.98458,7.19685,7.25275,6.99964
"NCR3",5.42847,5.35229,5.24942,5.40035,5.56497,5.42355
"NCS1",4.67379,4.80558,4.73781,4.82789,4.77929,4.90861
"NCSTN",8.72793,8.73874,8.59086,9.02945,9.02702,8.57642
"NDC1",4.89284,5.58506,5.76528,5.29267,5.54732,5.30325
"NDC80",4.55882,5.2516,5.55785,4.62735,4.76596,4.88084
"NDE1",7.45522,7.66669,7.51402,7.30339,7.33876,7.09337
"NDEL1",7.75664,7.44872,7.48464,7.61916,7.91483,7.54387
"NDFIP1",8.65558,8.51946,8.38281,8.57256,8.61148,8.1559
"NDN",5.55995,5.62661,5.56278,5.59729,5.67188,5.63247
"NDP",4.07927,4.10418,4.0979,4.00584,4.08776,3.9889
"NDRG1",9.37349,9.02801,8.84771,9.31291,9.05514,8.84382
"NDRG2",6.85038,6.66589,6.89617,6.37565,6.57436,6.44576
"NDRG3",9.40662,8.90768,9.04129,9.11687,9.11777,8.54735
"NDRG4",5.16521,5.04862,5.10219,5.14537,4.98585,5.07725
"NDST1",8.09445,7.59399,7.61534,7.79697,7.83035,7.28615
"NDST2",7.67082,7.45697,7.46817,7.53859,7.4719,7.26746
"NDST4",5.47268,5.07594,5.20522,7.65584,7.49691,7.66479
"NDUFA1",11.7687,11.6694,11.5211,11.6212,11.6502,11.5466
"NDUFA10",9.00526,8.89525,9.02795,9.03989,9.11984,8.55361
"NDUFA2",11.1851,11.2945,11.1732,11.3084,11.3055,11.0836
"NDUFA3",9.83392,10.146,10.1546,10.345,10.182,9.90333
"NDUFA4",12.0118,12.1222,11.9679,11.651,11.6214,11.4835
"NDUFA4L2",5.46498,5.3981,5.25832,5.53576,5.51509,6.16452
"NDUFA5",9.09824,9.33766,9.4653,9.00028,8.93008,9.18672
"NDUFA6",10.7215,10.7012,10.6298,10.5883,10.4462,10.4392
"NDUFA7",8.5349,8.77406,8.79668,9.2598,9.07342,8.7341
"NDUFA8",10.2809,9.86719,9.84104,10.4184,10.4175,10.0451
"NDUFA9",10.3426,10.3821,10.2611,10.5881,10.4764,10.296
"NDUFAB1",11.7434,11.8295,11.9295,12.1325,11.9574,11.9161
"NDUFAF1",8.65416,8.88061,8.6138,8.90881,8.74392,8.71205
"NDUFAF3",8.58948,8.76514,8.7884,8.96895,8.93072,8.41338
"NDUFB1",11.2661,11.4716,11.5355,11.7713,11.6401,11.757
"NDUFB11",11.2139,11.2344,11.204,11.4235,11.3385,11.1955
"NDUFB2",11.3418,11.5429,11.6843,11.9617,11.8289,11.7835
"NDUFB3",10.3156,10.2163,10.2218,10.2439,10.1504,10.3074
"NDUFB4",12.0865,11.9945,11.6172,11.3584,11.415,11.0116
"NDUFB5",10.2542,10.194,10.3082,10.1911,10.0758,10.0144
"NDUFB6",10.137,10.4337,10.6053,10.2009,10.2795,10.1982
"NDUFB7",8.454,8.36144,8.49626,8.99156,8.88192,8.67116
"NDUFB8",10.2915,10.3118,10.1789,10.4446,10.4677,10.3242
"NDUFC1",11.0277,11.0556,10.9119,10.8843,10.8538,10.7989
"NDUFS1",9.05735,9.28582,9.15907,8.68018,8.77498,8.6777
"NDUFS2",10.8944,10.7625,10.8192,11.0024,11.0372,10.8526
"NDUFS3",10.4663,10.3818,10.3919,10.7208,10.5812,10.3124
"NDUFS4",8.26509,8.38521,8.44551,8.36192,8.21629,7.98744
"NDUFS6",11.0924,10.9605,10.9776,10.706,10.6246,10.5482
"NDUFS7",9.37348,9.33419,9.66136,9.72535,9.73033,9.29031
"NDUFV1",11.3268,11.268,11.4918,11.1903,11.0503,10.8974
"NDUFV2",9.94266,9.82593,9.666,10.003,10.0831,9.7408
"NEB",4.53312,4.44239,4.37788,4.48272,4.37182,4.30517
"NEBL",9.72857,9.76983,9.60194,8.58075,7.98122,8.15694
"NECAB2",6.60245,6.48438,6.59947,6.99339,6.61015,6.91986
"NECAB3",7.48882,7.55712,7.52789,8.24702,8.06116,7.80859
"NECAP1",7.66927,7.98668,8.30155,8.02127,8.25985,7.73578
"NECTIN1",5.60464,5.51945,5.53935,5.82688,5.55567,5.74389
"NECTIN2",7.48635,7.55452,7.32653,7.7415,7.77937,7.49915
"NECTIN3",3.73524,3.65505,3.81665,3.75395,3.59841,3.84493
"NEDD4",9.21385,8.57407,8.40102,8.03093,8.03315,7.95112
"NEDD4L",8.99196,9.00458,8.83467,8.86613,8.97208,8.53178
"NEDD8",10.0559,9.75901,9.62838,9.5389,9.70976,9.34215
"NEDD9",9.30142,8.69962,8.2147,6.84836,7.3096,6.58957
"NEFH",4.12059,4.11667,4.03897,4.19995,4.40072,4.33914
"NEFM",4.16214,4.25336,4.3681,4.38448,4.1602,4.41092
"NEK1",6.73787,7.02345,6.93814,6.33323,6.21695,6.45744
"NEK2",7.1591,7.76783,7.99876,6.87095,7.16023,7.61928
"NEK3",5.90012,5.82518,5.81357,4.97657,4.8736,5.19167
"NEK4",6.47865,6.2154,6.65551,5.94221,5.9888,6.13601
"NEK7",9.88209,10.019,10.0455,9.54477,9.43621,9.61565
"NEK9",9.0643,8.92712,8.84836,8.85921,9.12932,8.80017
"NELFB",7.09034,6.96752,6.70248,7.10055,7.1118,6.50943
"NELL1",4.53235,4.51284,4.74489,4.57934,4.52145,4.54408
"NELL2",6.06066,6.49575,5.94668,5.43125,5.24816,5.41374
"NEMF",6.79442,6.93461,6.67271,6.42166,6.56661,6.53878
"NEMP1",7.88108,8.42835,9.19132,8.15766,8.05399,8.38857
"NENF",10.2533,10.05,9.95555,10.9003,10.9136,10.6171
"NEO1",8.28322,8.17983,8.22988,8.59237,8.81131,8.21799
"NES",5.84123,5.73891,5.62118,5.57979,5.74171,5.64681
"NET1",9.66724,10.4405,10.384,10.082,10.1059,10.186
"NEU1",8.70649,8.55265,8.21583,8.79113,8.72532,8.01456
"NEU3",5.87639,6.09668,6.00082,6.3821,6.09931,6.20063
"NEURL1",5.46999,5.37415,5.37428,5.57992,5.44949,5.46691
"NEUROD1",3.80093,4.07281,4.01545,4.00028,3.95219,3.74596
"NEUROD2",5.42659,5.33208,5.33477,5.26578,5.38863,5.68432
"NEUROG1",5.13966,4.85142,4.99201,5.2457,5.08003,5.40194
"NEUROG2",3.93316,3.92996,4.03738,4.07898,3.90957,4.19691
"NEUROG3",4.62683,4.6062,4.59072,4.60711,4.66843,5.17113
"NF1",6.15961,6.18292,6.10529,5.57307,5.54731,5.61186
"NF2",8.67078,8.71572,8.9246,9.16461,9.24989,8.69194
"NFASC",4.93772,4.94219,4.86132,5.12036,4.82889,5.03764
"NFAT5",4.78481,4.70529,4.61179,4.64473,4.62776,4.42477
"NFATC1",7.13617,6.84014,6.97791,6.98331,6.82204,6.3991
"NFATC2IP",7.86659,8.13851,8.27332,8.53161,8.29415,8.15231
"NFATC3",7.58139,7.55871,7.8225,7.70335,8.10635,7.20096
"NFATC4",6.50705,6.4399,6.26664,6.52466,6.42241,6.96136
"NFE2",4.65613,4.56714,4.44084,4.61173,4.50329,5.03294
"NFE2L1",9.08548,8.51606,8.60682,8.86963,8.99595,8.64649
"NFE2L2",9.15134,9.06492,9.04433,8.43497,8.28245,8.65073
"NFE2L3",6.56078,6.7047,6.44378,5.21746,5.3301,4.89031
"NFIB",10.1199,10.1016,10.1305,9.37309,9.34453,9.93275
"NFIC",7.44052,7.24829,7.54731,8.01698,7.77827,7.51827
"NFIL3",8.36703,7.82757,8.05302,8.80933,9.36166,8.95514
"NFIX",5.33511,5.31839,5.34771,5.70586,5.47842,5.57302
"NFKB1",9.10315,8.95214,8.9247,9.08032,9.01545,8.84313
"NFKB2",6.52032,6.52409,6.43809,6.4996,6.46872,6.53557
"NFKBIA",10.4565,10.5796,10.3674,10.0429,9.93723,9.72151
"NFKBIB",6.80211,6.59532,6.70064,6.83376,6.82097,6.37526
"NFKBIE",6.70453,6.86044,6.75215,7.01866,6.89756,6.42987
"NFKBIL1",6.76532,6.56592,6.47452,6.71061,6.85047,6.74085
"NFRKB",7.4404,7.42454,7.42334,7.57979,7.67895,7.61884
"NFS1",7.25821,7.20859,7.30459,7.21596,7.46921,6.89813
"NFX1",7.07968,7.06248,7.39712,7.34567,7.71158,6.97206
"NFYA",7.88228,7.6722,7.85339,7.13652,7.37424,6.79955
"NFYB",8.56368,8.37467,8.39641,7.48936,7.48642,7.50504
"NFYC",7.31433,7.06001,7.22302,7.57577,7.74567,6.99854
"NGDN",8.74008,8.53242,8.34295,8.11516,8.06215,7.72084
"NGF",5.28396,5.31308,5.37567,5.39946,5.2077,5.63514
"NGFR",4.89773,4.84624,4.79505,4.87403,4.94098,4.7539
"NGLY1",8.84426,8.68701,9.04265,8.63386,8.72445,8.64707
"NGRN",11.0856,10.7204,10.4709,10.9426,10.9155,10.6339
"NHLH1",6.11371,6.02943,6.00995,6.06952,5.90435,5.7461
"NHLH2",4.63617,4.59519,4.30817,4.82422,4.65149,4.9124
"NHP2",10.8478,11.0097,11.0648,11.096,10.9748,10.8144
"NIBAN1",7.34397,7.09118,7.6793,7.16082,7.13245,6.62306
"NID1",5.25649,5.6517,5.47103,5.46369,5.33865,5.38146
"NID2",4.11805,4.14559,4.16478,4.15418,4.10539,4.56347
"NIF3L1",8.99189,9.18656,9.10992,9.06523,8.97422,8.75245
"NINJ1",9.27732,8.93314,8.89949,8.94546,8.96366,8.5615
"NINL",5.46398,5.47016,5.20042,5.18757,5.44975,5.03854
"NIPA2",9.7431,9.7336,9.72661,9.56988,9.8829,9.62034
"NIPAL3",5.97638,5.99787,5.79845,6.44322,6.35145,6.23696
"NIPBL",8.25974,8.47558,8.22588,7.27273,7.46736,7.78172
"NIPSNAP1",10.001,10.129,9.96283,10.3004,10.3216,10.0198
"NIPSNAP2",9.09215,8.9796,8.61491,7.50724,7.76287,7.60895
"NISCH",8.3445,8.12501,8.37324,8.59179,8.59157,8.02907
"NIT1",8.72162,8.8061,8.79396,8.83264,8.81621,8.39216
"NIT2",8.6759,8.54876,8.80714,8.84003,8.70986,8.41107
"NKAPD1",5.78181,5.53957,5.73177,5.47336,5.64025,5.48428
"NKG7",4.58582,4.52852,4.48228,4.62014,4.35095,4.67988
"NKIRAS2",7.15904,7.02777,6.98573,7.55496,7.53348,7.40611
"NKRF",5.63447,5.75787,5.88248,5.31747,5.45308,5.58304
"NKTR",8.22712,8.56285,8.40954,8.16288,8.06359,8.77819
"NKX2-1",5.19167,5.38285,5.07348,5.33422,5.42403,5.18782
"NKX2-2",4.03026,3.8016,3.80698,4.02074,3.9448,4.04917
"NKX2-5",4.71342,4.68835,4.64885,4.92085,4.73727,5.12212
"NKX2-8",5.74652,5.39321,5.54079,5.89274,5.58876,6.27967
"NKX3-1",6.91481,6.90571,6.90653,7.19466,7.3035,6.91474
"NKX3-2",4.45605,4.55429,4.61977,4.47213,4.43047,4.51506
"NLE1",6.02315,6.12576,6.39611,6.63678,6.32334,6.27803
"NLGN1",3.56899,3.6308,3.66587,3.54073,3.54699,3.61112
"NLGN4Y",4.06618,4.06516,4.13213,4.07086,4.03395,3.94792
"NLK",4.58716,4.57995,4.60418,4.35726,4.47442,4.30635
"NLRP1",5.6793,5.40569,5.38412,5.37838,5.43672,6.21273
"NLRP3",4.48352,4.42816,4.44944,4.54341,4.51374,4.61763
"NMB",7.27442,7.195,7.31496,7.99263,7.74541,7.38188
"NMBR",3.9555,4.08087,4.30994,3.98344,4.17003,3.98737
"NMD3",6.9187,7.40687,7.06129,6.54234,6.46482,6.22402
"NME1",9.62719,10.1146,10.4449,10.44,10.3457,10.124
"NME3",9.10808,9.04317,9.08843,9.23276,9.21592,8.78719
"NME4",9.82656,9.87084,10.0235,10.4292,10.4896,9.86237
"NME5",4.30521,4.09668,4.52637,4.4226,4.45997,4.40231
"NME6",5.05554,4.88511,5.22508,5.20252,5.40001,5.03701
"NMI",7.56816,8.31044,8.13672,5.36552,5.09118,5.406
"NMNAT2",5.00452,4.98572,4.84511,4.911,4.90438,5.16498
"NMT1",7.19341,7.32747,7.34157,7.63795,7.761,7.35646
"NMT2",4.97241,5.29478,5.33618,5.00128,5.00886,4.88238
"NMU",5.63527,7.13482,6.98908,5.21945,5.45022,5.01061
"NNAT",6.65267,6.97955,6.7572,6.78942,6.68276,7.61329
"NNMT",4.66624,4.62867,4.65768,4.78781,4.68511,4.84934
"NNT",6.09674,6.07246,6.50213,5.23635,5.28133,5.19775
"NOC2L",7.76453,7.73928,8.01163,8.1511,7.84885,7.70697
"NOC4L",7.10514,7.20716,7.07914,7.57989,7.36782,7.12399
"NOL10",4.31664,4.06516,4.22306,4.20312,4.34253,4.39622
"NOL4",4.28917,4.20797,4.19462,4.22296,4.22732,4.0709
"NOL6",7.21006,7.18629,7.28084,7.60836,7.43216,6.97484
"NOL7",10.1912,9.90944,10.0417,9.65304,9.75193,9.68767
"NOL8",7.07265,7.19025,7.62168,7.05976,6.80419,7.10221
"NOL9",8.98104,8.95055,9.10286,9.19625,9.03624,8.77573
"NOLC1",8.5694,8.97755,9.2934,8.77357,8.58872,8.70831
"NONO",11.8424,11.8428,11.7905,11.8204,11.8648,11.6195
"NOP10",10.9826,11.0402,10.8803,11.395,11.2546,10.9727
"NOP14",7.37589,7.28223,7.35098,7.11501,7.13729,6.67084
"NOP14-AS1",4.98738,4.9001,4.9432,4.99565,4.85737,5.16714
"NOP16",8.7555,8.76623,8.92459,9.05147,8.83265,8.50648
"NOP2",8.09443,8.07946,8.15542,8.18579,8.05034,8.03294
"NOS1",5.7998,5.60711,5.73202,5.83236,6.01238,5.99196
"NOS1AP",6.40704,6.32756,6.28635,6.39734,6.24102,5.99372
"NOS2",5.15904,4.99898,5.205,5.24117,5.16146,5.21135
"NOS3",5.05556,4.71891,4.81535,4.56695,4.86665,5.225
"NOSIP",8.6287,8.4999,8.62159,8.9318,8.79722,8.50658
"NOTCH2",9.596,9.41877,9.44303,9.56917,9.65913,9.20773
"NOTCH2NLA",8.72986,8.96378,8.54019,8.23071,8.14467,8.69477
"NOTCH3",6.76415,6.92802,6.94912,7.24326,7.24548,6.70055
"NOTCH4",5.14538,4.94526,5.19939,5.1174,5.11368,5.18029
"NOVA1",7.20305,6.55471,6.4139,6.10067,6.31957,5.58057
