"","SUM44_P1","SUM44_P2","SUM44_P3","SUM44_TamR1","SUM44_TamR2","SUM44_TamR3"
"DDX3Y",3.95518,4.15328,4.08451,4.2365,4.10461,4.12271
"DDX41",9.04525,9.23265,9.22581,9.28775,9.133,8.65785
"DDX42",7.97614,7.9337,7.94466,7.78828,7.89104,8.07096
"DDX46",8.81657,8.79416,9.062,8.03495,8.07622,8.2309
"DDX49",8.64413,8.5792,8.78082,9.32887,9.17799,8.94228
"DDX51",5.79229,5.92003,5.86265,6.00278,5.82864,6.02012
"DDX52",6.1625,6.25913,6.32351,5.92372,5.93742,6.08747
"DDX56",9.3114,9.2648,9.40009,9.73986,9.41903,9.18737
"DDX6",4.13558,4.06176,4.12364,4.04744,4.11668,4.32103
"DEAF1",7.48319,7.13631,7.24775,7.10663,7.21369,6.82195
"DECR1",9.28114,9.3265,8.92927,9.02647,9.05056,8.64084
"DEDD",8.5477,8.44152,8.38789,8.54366,8.59321,8.1078
"DEFA4",4.76005,4.5062,4.57639,4.94943,4.72834,4.68503
"DEFA5",4.46721,4.83649,4.45469,4.64717,4.49742,4.52537
"DEFA6",5.35972,5.46159,5.47503,5.56947,5.48578,5.60162
"DEFB1",5.07328,5.06296,5.18271,5.3621,5.26862,5.35768
"DEGS1",8.7716,8.81424,8.86569,9.43054,9.62199,9.46033
"DEK",9.36587,9.98662,10.2965,9.31655,9.21562,9.8207
"DELE1",7.49014,7.42441,7.49336,7.65286,7.57342,7.59161
"DENND3",6.03976,6.08008,5.9562,6.01705,5.8569,6.01342
"DENND4A",4.0484,4.00928,3.99965,3.90679,4.05597,3.93006
"DENND4B",7.9932,7.83415,7.93021,8.03659,8.10833,7.96881
"DENND4C",4.80421,5.08934,4.92421,4.54492,4.59406,4.71475
"DENND5A",8.50168,8.6466,8.6015,8.92002,9.00333,8.86706
"DENND5B",3.6596,3.68131,3.70153,3.76049,3.69315,3.71164
"DEPDC5",6.49124,6.51829,6.59171,6.84275,6.86052,6.58317
"DEPP1",5.89147,6.03294,5.84504,6.0366,5.88672,6.005
"DEPTOR",6.89182,6.08243,5.91823,6.4776,7.23328,6.048
"DERA",8.55656,8.46021,8.84257,8.6557,8.69161,8.59157
"DERL1",9.67786,9.76781,9.50945,10.0822,10.1117,9.57667
"DERL2",7.59974,7.76598,7.57132,7.87418,7.85993,7.42439
"DES",5.66943,5.52785,5.61946,5.83631,5.68443,6.02899
"DESI1",8.08148,8.03118,8.19222,8.21557,8.02969,7.58984
"DESI2",9.13214,8.75959,8.66201,7.8766,8.27027,8.07276
"DEXI",7.61399,7.14328,7.12647,7.65144,7.64252,7.22205
"DFFA",7.66465,7.75014,7.80806,7.65924,7.83152,7.15494
"DFFB",5.87129,5.58812,5.84396,5.45828,5.21139,5.38885
"DGAT1",7.09986,6.85309,7.1313,6.74025,6.74626,6.53078
"DGCR11",6.43472,6.55344,6.53801,6.59198,6.47077,6.61103
"DGCR2",8.0257,7.89511,7.9752,8.14069,8.17089,7.688
"DGCR5",5.26294,5.16118,5.19754,5.44673,5.15742,5.44515
"DGCR6L",4.75058,4.69047,4.69559,4.6503,4.72811,5.1545
"DGCR9",5.51803,5.48876,5.52721,5.50215,5.50325,5.42925
"DGKA",7.16303,7.15935,6.81132,7.02414,7.17256,6.91893
"DGKB",3.79843,3.81748,3.79801,3.77787,3.87132,3.80894
"DGKD",9.44112,9.08146,9.08844,9.23758,9.3092,9.1438
"DGKE",3.80985,3.92935,3.86907,3.87071,4.03009,3.931
"DGKG",4.83644,4.81015,4.74369,5.02018,4.84986,4.95774
"DGKH",6.38107,6.46689,6.4394,6.39957,6.3582,6.12766
"DGKI",4.3745,4.34397,4.28164,4.28174,4.29241,4.54859
"DGKQ",5.27062,5.22835,5.06637,5.3394,5.40389,5.78551
"DGKZ",9.8138,9.53729,9.55654,10.7884,10.9893,10.7789
"DGLUCY",7.00253,7.01515,6.69013,5.72704,5.37441,5.86421
"DGUOK",9.77124,9.90907,9.61845,9.7351,9.78798,9.54063
"DHCR24",10.9814,10.668,10.6221,11.4923,11.0979,10.6457
"DHCR7",10.7254,10.4608,10.6179,10.4214,10.2643,9.67347
"DHDDS",6.66783,6.58035,6.52335,6.9395,6.97285,6.68994
"DHFR",6.03253,7.86602,8.60607,7.71272,7.59645,8.37288
"DHFRP3",3.42638,3.45694,3.5429,3.48336,3.53692,3.56507
"DHODH",6.32484,6.1547,6.6359,6.77834,6.80056,6.78172
"DHPS",9.07451,9.24423,9.66746,9.61268,9.73686,9.36795
"DHRS1",6.49021,6.93038,7.0986,7.53537,7.24898,7.64897
"DHRS11",4.35142,4.73248,4.78803,5.04673,4.89878,4.43022
"DHRS12",6.09272,5.94378,5.96322,6.12156,6.15796,6.16005
"DHRS2",7.05983,6.85966,6.72509,6.10833,6.17941,5.45581
"DHRS3",6.45449,6.36215,6.24183,6.32466,6.05922,6.8891
"DHRS7",9.43865,9.44265,9.7398,9.46211,9.52876,9.38839
"DHTKD1",8.67594,9.08523,9.25078,9.25242,9.35247,9.27238
"DHX15",11.9429,12.0342,12.0144,11.0729,11.0714,11.5905
"DHX16",8.54827,8.25343,8.57441,8.64285,8.74668,8.35842
"DHX29",7.33682,7.60906,7.73584,7.23256,6.92697,7.3547
"DHX30",7.72342,7.62949,7.79365,8.0919,8.03072,7.82479
"DHX32",9.08444,8.83427,8.67538,8.87808,9.04567,8.70351
"DHX34",6.30763,6.3239,6.02871,6.24904,6.33078,6.86121
"DHX35",6.19154,6.20367,6.20391,6.32274,6.30402,6.20112
"DHX38",7.43607,7.44046,7.54854,7.68928,7.81312,7.49249
"DHX40",6.65037,6.92618,6.65196,5.81555,5.83005,5.781
"DHX57",5.72145,5.84235,5.74729,5.58858,5.40471,6.00668
"DHX8",6.77404,6.94622,6.60587,6.94655,7.12286,6.41238
"DHX9",8.20055,8.37132,8.53856,8.1647,8.02242,8.50845
"DIAPH1",8.30006,8.21071,8.63459,8.7601,8.7997,8.54658
"DIAPH2",4.34015,4.18033,4.24854,4.3183,4.05461,4.78187
"DIAPH2-AS1",4.1887,4.12945,4.33486,4.29251,4.19561,4.23929
"DICER1",8.16141,8.4064,8.25914,7.77559,7.14298,7.86263
"DIDO1",7.78345,7.92959,8.09747,7.62186,7.40528,6.99308
"DIMT1",9.26397,9.39703,9.4008,9.35758,9.53039,9.03987
"DIO1",6.90212,6.26511,5.8413,5.83034,5.47873,5.16206
"DIO2",5.96028,6.21434,6.00313,6.18368,6.07625,6.0052
"DIO3",5.47949,5.54996,5.49337,5.55076,5.58037,5.92297
"DIP2A",7.64042,7.79517,7.6341,7.76482,7.58596,7.88899
"DIP2C",8.52885,8.48745,8.59268,8.20503,8.46674,8.00011
"DIPK1A",7.77912,7.30579,6.78978,7.3467,7.0536,7.05727
"DIRAS3",3.97627,4.02694,3.92218,3.89412,3.98118,3.87627
"DIS3",3.68075,3.76413,3.73436,3.61224,3.6694,3.66963
"DISC1",5.68205,5.68889,5.53744,5.73697,5.59405,6.53605
"DIXDC1",5.59766,5.89433,5.8782,5.80923,6.0512,5.43035
"DKFZP434A062",6.25223,6.3436,6.2205,6.4375,6.25237,7.08403
"DKFZP586I1420",8.74434,8.96095,8.83432,8.07034,8.04833,8.39867
"DKK1",4.00782,4.07026,3.83815,3.94934,4.07511,3.84493
"DKK3",3.9241,4.028,4.0587,3.96887,4.05208,4.24966
"DKK4",5.16208,5.08,5.09358,5.14366,5.13901,5.29252
"DLAT",7.6549,7.90287,7.98921,7.66952,7.69721,7.60421
"DLC1",6.29712,6.39733,6.50531,5.92437,5.83774,5.83737
"DLD",9.43199,9.45687,9.7005,9.21579,9.17013,9.42861
"DLEC1",6.64844,6.66036,6.4053,6.67093,6.40103,7.12499
"DLEU1",7.13338,7.18294,7.30098,7.3467,7.62014,7.27935
"DLEU2",4.67363,5.25151,5.36332,5.08965,4.93517,4.65338
"DLG1",9.01893,8.88218,8.96586,8.22959,8.2747,8.49916
"DLG2",4.7613,4.6865,4.73507,4.85676,4.88603,5.08791
"DLG3",8.22758,8.12111,8.08036,7.9294,8.25387,7.89708
