,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_TamR1,MCF7_TamR2,MCF7_TamR3
KCTD12,0.310340121,0.367371066,0.310340121,0.495695163,0.443606651,0.443606651
KCTD13,4.50589093,4.376429311,4.448240225,4.564378169,4.358255587,4.205548911
KCTD14,0.201633861,0.22650853,0.189033824,0.124328135,0,0.070389328
KCTD15,5.034743949,5.067380578,5.15704371,4.658211483,4.43162296,4.454833907
KCTD16,0.028569152,0.028569152,0.014355293,0.070389328,0,0.014355293
KCTD17,4.150559677,4.217230716,4.447579197,4.249445341,4.194559886,4.126807703
KCTD18,3.317593505,3.495695163,3.40599236,3.90014226,3.751677946,3.809414444
KCTD19,0,0,0,0.014355293,0,0.042644337
KCTD2,3.297191417,3.972692654,3.790772038,4.053111336,4.091699834,3.975446766
KCTD20,4.297191417,4.557655155,4.344828497,4.487357715,4.269033146,4.213347282
KCTD21,2.778208576,2.724650272,2.918386234,2.851998837,2.550900665,2.464668267
KCTD21-AS1,3.026800059,2.010779839,2.176322773,1.459431619,0.454175893,0.98550043
KCTD3,6.707497182,7.093391153,6.975332116,5.979110755,6.175324989,6.079164742
KCTD4,0,0,0,0,0,0
KCTD5,5.044831233,5.238404739,5.339850003,4.927896454,5.088311236,5.113950482
KCTD6,3.10433666,2.472487771,2.435628594,1.90303827,2.319039816,1.989139007
KCTD7,1.13093087,1.03562391,0.98550043,0.475084883,0.443606651,0.475084883
KCTD8,0,0,0,0,0,0
KCTD9,3.714795011,4.238022518,4.106850796,3.973611276,3.878725341,3.831877241
KCTD9P1,0,0.042644337,0,0.124328135,0,0
KCTD9P2,0,0.056583528,0.056583528,0.150559677,0,0
KCTD9P3,0,0,0,0,0,0
KCTD9P4,0,0,0,0,0,0
KCTD9P5,0,0,0,0,0,0
KCTD9P6,0.056583528,0,0,0,0,0
KDELC1,2.693765712,2.3950628,2.201633861,1.673556424,1.59454855,1.310340121
KDELC1P1,0,0,0,0,0.070389328,0
KDELC2,2.843983844,2.82984956,2.885574364,4.178714641,4.244887059,4.108524457
KDELR1,7.460005304,7.581727841,7.603626345,7.787576121,7.762681012,7.741871424
KDELR2,7.665833312,7.6121313,7.531381461,7.321386983,7.022811651,6.986638472
KDELR3,5.112283109,4.894332742,4.751142325,5.445925299,5.211012193,5.336283388
KDF1,3.724650272,3.949534933,4,3.805292456,3.885574364,3.969933275
KDM1A,5.966476612,6.19357464,6.264348763,6.157447996,6.361417467,6.34553831
KDM1B,4.261530815,4.121015401,3.956056652,4.712045449,4.079804755,4.03562391
KDM2A,5.763677142,5.93593114,5.889473543,5.765004246,5.587964989,5.534186139
KDM2B,5.268658955,5.557655155,5.462706751,5.204766751,5.225352061,5.202809492
KDM3A,3.889473543,3.983677695,3.784503983,4.786596362,4.328405659,4.304511042
KDM3B,5.001351893,5.275379596,5.159064009,5.463687842,5.338067798,5.269407241
KDM4A,4.040015679,4.203201156,4.003602237,4.795974694,4.386810946,4.341985747
KDM4A-AS1,2.13093087,1.937344392,1.794935663,0.82374936,0.704871964,0.97819563
KDM4B,3.423578171,3.54225805,3.555816155,3.714795011,3.46727948,3.49441561
KDM4C,3.017921908,2.931683057,2.803227036,3.021479727,2.711494907,2.813524689
KDM4D,0.731183242,0.613531653,0.790772038,0.389566812,0.367371066,0.565597176
KDM4E,0,0,0,0,0,0
KDM5A,3.407352751,3.549669171,3.364572432,3.753818443,3.619413011,3.568032105
KDM5B,5.837691,5.95373085,5.726013749,6.805163453,6.311612098,6.291493053
KDM5C,5.535119822,5.469885976,5.533251852,6.238977882,5.910492832,5.886550147
KDM5C-IT1,0,0,0,0,0.150559677,0
KDM5D,0,0,0,0,0,0
KDM6A,3.434294618,3.606442228,3.469885976,3.7473874,3.619413011,3.583759754
KDM6B,3.547203025,3.819668183,3.700439718,4.446917865,4.116863758,3.99095486
KDM7A,1.263034406,1.794935663,1.389566812,2.700439718,1.925999419,1.879705766
KDM8,2.384049807,2.12763328,2.289834465,2.100977648,1.700439718,1.887525271
KDR,0.028569152,0.028569152,0.028569152,0.137503524,0.028569152,0.111031312
KDSR,4.150559677,4.141596278,4.042644337,4.587364991,4.15704371,4.212569339
KEAP1,5.713970692,5.890689878,5.934752371,5.375387027,5.451540833,5.350497247
KEL,0.056583528,0.22650853,0.163498732,0.310340121,0.163498732,0.201633861
KERA,0,0,0,0,0,0
KF459411.1,0,0,0,0,0,0
KF511026.1,0,0,0,0,0,0
KGFLP1,1.070389328,1.117695043,0.98550043,0.963474124,0.918386234,1.618238656
KHDC1,3.35473424,2.965322548,2.759155834,2.430285273,2.46727948,2.211012193
KHDC1L,0.028569152,0.367371066,0,0,0,0
KHDC1P1,0,0,0,0,0,0
KHDC3L,0,0,0.056583528,0,0,0
KHDRBS1,6.715069679,7.025361072,6.85224859,6.652199648,6.854120356,6.845615497
KHDRBS2,0,0,0,0,0,0
KHDRBS3,1.691534165,2.272023189,2.070389328,3.427606173,2.769771739,3.017921908
KHK,4.026800059,4.12763328,4.183486514,3.221877081,3.237257771,3.432959407
KHNYN,5.309612772,5.412442825,5.383013015,6.377123749,5.971313624,5.860466259
KHSRP,7.513806537,7.733828833,7.818773885,7.620952902,7.748394142,7.614268135
KHSRPP1,0,0.084064265,0,0.042644337,0,0.028569152
KIAA0020,4.767654798,4.447579197,4.243364426,4.873321063,4.617651119,4.393690764
KIAA0040,3.297191417,3.622930351,3.329123596,3.100977648,2.543495883,2.565597176
KIAA0087,0,0,0,0,0,0
KIAA0100,6.057666877,5.985272714,5.966015097,6.532005194,6.334854269,6.312519967
KIAA0101,7.018812186,7.417599388,7.247073033,6.254556252,6.725877459,6.812626573
KIAA0125,0.86393845,0.333423734,0.695993813,0,0,0
KIAA0125P2,0,0,0,0,0,0
KIAA0141,6.040892431,6.120808102,6.09085343,6.158660175,6.023033519,6.0725346
KIAA0195,6.302319051,6.135042286,6.165107985,7.115407855,6.486070744,6.487840034
KIAA0196,5.803227036,5.924812504,5.792855352,5.69849632,5.882153917,5.66987716
KIAA0196-AS1,0,0,0,0,0,0
KIAA0226,2.837943242,3.137503524,3.085764554,3.286881148,3.260025656,3.070389328
KIAA0226L,0.070389328,0.028569152,0.056583528,0.871843649,0.641546029,0.713695815
KIAA0232,3.201633861,3.475084883,3.272023189,3.721372659,3.344828497,3.372952098
KIAA0247,3.63343121,3.753818443,3.529820947,4.850999395,4.195347598,4.09085343
KIAA0319,0.201633861,0.189033824,0.321928095,0.432959407,0.389566812,0.378511623
KIAA0319L,4.580145484,4.197708158,4.100136671,4.967168608,4.578334949,4.588564737
KIAA0355,1.286881148,1.316145742,1.176322773,2.634593268,1.773996325,1.811471031
KIAA0368,4.826802684,4.927896454,4.805808349,4.685940148,4.63284983,4.687060688
KIAA0391,5.776893569,5.913607512,5.861211003,6.703349915,6.778340011,6.892998093
KIAA0408,0,0,0.042644337,0.084064265,0.475084883,0.124328135
KIAA0430,3.700439718,3.948600847,3.831877241,4.162693432,3.973611276,4.028569152
KIAA0513,2.244887059,2.831877241,2.861955364,3.716990894,3.986410935,3.869871406
KIAA0556,4.100977648,3.905928478,3.882643049,4.21490191,3.904002316,3.805292456
KIAA0586,3.820689561,4.09423607,3.890446693,4.193771743,4.018812186,4.024142346
KIAA0753,3.021479727,3.065227623,3.181102551,3.436961338,3.003602237,3.084064265
KIAA0825,0.622930351,0.632268215,0.454175893,1.367371066,1.163498732,1.232660757
KIAA0895,1.448900951,1.933572638,1.709290636,2.053111336,2.117695043,1.790772038
KIAA0895L,4.886062338,4.031218731,4.077242999,4.680324357,3.868884273,3.867896464
KIAA0907,5.282439805,5.082787732,4.873321063,5.28503225,5.263785614,4.760753208
KIAA0922,3.789729251,3.533563348,3.512226887,5.211012193,5.011674533,5.026357447
KIAA0930,4.300123725,4.717539343,4.612352499,4.213347282,4.269781238,4.231893162
KIAA1024,0.097610797,0.056583528,0.056583528,0.23878686,0.23878686,0.163498732
KIAA1024L,0.042644337,0,0,0,0,0
KIAA1033,4.289096702,3.971773447,3.865918815,4.626439137,4.242602506,4.382667253
KIAA1045,0,0.028569152,0.056583528,0,0,0.070389328
KIAA1107,0.82374936,0.941106311,0.765534746,1.007195501,0.773996325,0.713695815
KIAA1109,3.056583528,3.252476214,3.189033824,3.876762491,3.495695163,3.47118746
KIAA1143,4.454175893,4.457462965,4.344828497,4.152183419,4.263034406,4.114367025
KIAA1147,1.839959587,2.220329955,2.15704371,4.445594291,4.117695043,3.921245889
KIAA1161,3.261530815,3.301587647,3.169925001,4.128458384,3.886550147,3.804260116
KIAA1191,5.680605666,5.841469999,5.866413481,6.564073256,6.374691752,6.408202345
KIAA1210,0,0.014355293,0.028569152,0,0.014355293,0
KIAA1211,0.910732662,1.117695043,1.124328135,1.867896464,1.748461233,1.570462931
KIAA1211L,3.089159132,3.249445341,3.125981654,2.295723025,2.350497247,2.286881148
KIAA1217,2.372952098,3.155425432,2.833902077,2.56315813,2.381283373,2.430285273
KIAA1244,2.811471031,3.077242999,2.974529312,4.816599707,4.297925053,4.259272487
KIAA1257,1.432959407,1.495695163,1.250961574,0.722466024,0.765534746,0.713695815
KIAA1279,4.786596362,4.951867504,4.794415866,4.429615964,4.485426827,4.510961919
KIAA1324,7.81134258,7.464668267,7.079058046,8.082095804,7.351027552,7.218393711
KIAA1324L,0.443606651,0.687060688,0.475084883,0.98550043,0.584962501,0.659924558
KIAA1328,1.40599236,1.531069493,1.182692298,1.59454855,1.646162657,1.531069493
KIAA1377,0.485426827,0.757023247,0.526068812,0.704871964,1.13093087,0.765534746
KIAA1407,1.201633861,1.056583528,0.941106311,1.327687364,0.918386234,0.918386234
KIAA1429,5.142413438,5.387500406,5.373996142,5.608513578,5.620879611,5.699329526
KIAA1456,0.367371066,0.298658316,0.286881148,0.847996907,0.526068812,0.748461233
KIAA1462,0.275007047,0.344828497,0.310340121,0.847996907,0.782408565,0.632268215
KIAA1467,4.197708158,4.336997417,3.98458935,2.289834465,2.03562391,1.875780063
KIAA1468,3.795974694,3.737686761,3.638073837,3.763411574,3.687060688,3.595742339
KIAA1522,5.771885579,6.035183997,6.003602237,5.904965719,5.840463234,5.802451741
KIAA1524,4.551516018,4.787641414,4.580145484,3.752748591,3.975446766,3.82374936
KIAA1549,2.817623258,2.794935663,2.790772038,3.72900887,3.473786912,3.397802962
KIAA1549L,0.070389328,0.137503524,0.070389328,0.613531653,0.263034406,0.23878686
KIAA1551,3.516015147,3.74092756,3.564378169,2.994579724,2.904965719,2.961623328
KIAA1586,3.270528942,3.388189537,3.260025656,3.200064862,2.914564523,2.807354922
KIAA1598,5.415150205,5.365622556,5.116447936,4.744699314,4.311793718,4.211790976
KIAA1614,0.014355293,0.028569152,0.070389328,0.150559677,0.111031312,0.042644337
KIAA1614-AS1,1.22650853,0.713695815,0.443606651,2.257010618,0.98550043,1.464668267
KIAA1644,0.014355293,0,0.014355293,0.124328135,0.097610797,0.150559677
KIAA1656,0.992768431,0.86393845,1.097610797,2.232660757,1.847996907,1.941106311
KIAA1671,2.629939409,2.655351829,2.641546029,3.507160349,3.435628594,3.432959407
KIAA1683,2.40053793,1.137503524,1.042644337,1.82374936,0.604071324,0.722466024
KIAA1715,3.905928478,3.688180359,3.659924558,3.837943242,3.389566812,3.495695163
KIAA1731,2.545968369,2.794935663,2.550900665,2.927896454,2.825785627,2.859969548
KIAA1731NL,0.111031312,0,0,0,0.097610797,0.028569152
KIAA1751,0,0,0.042644337,0.014355293,0,0
KIAA1755,0,0,0,0,0,0
KIAA1841,2.454175893,2.596935142,2.364572432,2.419538892,2.485426827,2.301587647
KIAA1875,3.896271849,2.715893371,2.805292456,2.924099886,2.336283388,2.321928095
KIAA1919,1.063502942,1.10433666,0.871843649,1.321928095,1.613531653,0.992768431
KIAA1958,1.622930351,1.82374936,1.887525271,2.140778656,1.887525271,1.700439718
KIAA2013,5.026357447,5.075960413,5.252476214,4.904484098,4.985044962,4.856487779
KIAA2018,1.5360529,2.477677328,2.269033146,1.970853654,2.14404637,2.327687364
KIAA2022,0.176322773,0.23878686,0.150559677,0.310340121,0.189033824,0.22650853
KIAA2026,2.107687869,2.292781749,2.15704371,2.211012193,2.046141782,1.910732662
KIDINS220,3.758089934,3.687060688,3.547203025,4.102658131,3.667892125,3.606442228
KIF11,4.967168608,5.287250643,5.118110506,4.033863452,4.283180979,4.130107179
KIF12,5.230356745,4.447579197,4.340562269,1.89917563,1.3950628,1.084064265
KIF13A,3.432959407,3.56924803,3.3950628,3.23572706,2.682573297,2.606442228
KIF13B,0.948600847,1.521050737,1.516015147,3.037382222,2.895302621,2.761285273
KIF14,3.781359714,4.099295204,3.842978832,3.596935142,3.404630684,3.300123725
KIF15,3.260025656,3.820689561,3.812498225,2.912649865,3.382667253,3.150559677
KIF16B,2.513490746,2.589763487,2.521050737,2.386810946,2.451540833,2.23878686
KIF17,0.50589093,0.084064265,0.014355293,0.22650853,0.124328135,0.084064265
KIF18A,3.09423607,3.388189537,3.295723025,3.145677455,3.165107985,3.106013238
KIF18B,3.780310099,4.112700133,3.944858446,3.808385051,4.063502942,3.943921327
KIF19,0,0,0,0,0,0
KIF1A,0.454175893,0.250961574,0.321928095,4.01346226,3.596935142,3.824767853
KIF1B,2.972692654,3.169925001,3.117695043,3.384049807,3.142413438,3.12763328
KIF1C,6.711632562,6.630958725,6.655924213,6.38249434,6.17292749,6.124741692
KIF20A,5.879705766,6.14363831,6.122672719,5.581953751,5.520736527,5.591858905
KIF20B,3.367371066,3.722466024,3.554588852,2.935459748,3.070389328,3.068670811
KIF21A,4.253989266,4.200064862,4.022367813,4.91981677,4.464668267,4.458119481
KIF21B,0.137503524,0.214124805,0.189033824,0.333423734,0.275007047,0.22650853
KIF22,7.280028357,7.479295243,7.516487981,6.674969031,6.940636607,7.034413826
KIF23,5.879705766,6.116031993,6.09824268,5.159871337,5.125981654,5.215678597
KIF24,1.646162657,1.879705766,1.807354922,1.244887059,1.367371066,1.327687364
KIF25,0.310340121,0.042644337,0,0,0,0
KIF25-AS1,0,0,0,0,0,0
KIF26A,3.092545742,3.189033824,3.403267722,1.782408565,2.111031312,2.003602237
KIF26B,0.014355293,0.028569152,0.028569152,0.757023247,0.275007047,0.40053793
KIF27,2.12763328,1.807354922,1.704871964,1.967168608,1.646162657,1.321928095
KIF28P,0,0,0,0,0,0
KIF2A,4.379898164,4.553360503,4.411426246,5.229587923,4.847996907,4.816599707
KIF2B,0,0,0,0,0,0
KIF2C,4.8928767,5.334139179,5.309612772,4.72955277,5.076388069,5.107687869
KIF3A,2.9202933,2.871843649,2.592158002,3.654206378,2.786596362,3.124328135
KIF3B,3.384049807,3.500802053,3.401903472,3.824767853,3.656496371,3.475084883
KIF3C,3.363171077,3.676944359,3.797012978,3.813524689,3.444932049,3.541019153
KIF4A,3.918386234,4.10349764,4.060047384,3.485426827,3.538538164,3.586164246
KIF4B,0.070389328,0.042644337,0.014355293,0.028569152,0,0.028569152
KIF4CP,0,0,0,0,0,0
KIF5A,0.056583528,0.028569152,0.070389328,0.124328135,0.028569152,0.042644337
KIF5B,5.581351247,5.715893371,5.573798644,5.555202634,5.403608584,5.310340121
KIF5C,3.195347598,2.941106311,2.904965719,3.543495883,3.100977648,3.169925001
KIF6,0.516015147,0.422233001,0.575312331,0.992768431,0.475084883,0.367371066
KIF7,1,0.98550043,1.195347598,2.049630768,1.914564523,1.956056652
