,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_TamR1,MCF7_TamR2,MCF7_TamR3
FER1L5,0.014355293,0.014355293,0,0.028569152,0.028569152,0
FER1L6,0,0.028569152,0.028569152,0.042644337,0.042644337,0.014355293
FER1L6-AS1,0,0,0,0,0,0
FER1L6-AS2,0,0,0,0,0,0.028569152
FERD3L,0,0,0,0,0,0
FERMT1,1.847996907,1.871843649,1.925999419,0.910732662,1.169925001,1.263034406
FERMT2,4.432291338,4.411426246,4.40053793,4.227278994,3.839959587,3.701549057
FERMT3,3.025028794,1.819668183,2.22650853,3.198494154,2.147306699,2.589763487
FERP1,0,0,0,0,0,0
FES,0.111031312,0.263034406,0.084064265,0.807354922,0.475084883,0.918386234
FETUB,0,0.028569152,0,0,0,0
FEV,0,0.028569152,0.111031312,0.042644337,0,0
FEZ1,2.803227036,2.724650272,2.565597176,2.070389328,1.618238656,2.014355293
FEZ2,4.371558863,4.358255587,4.188242656,5.411087227,5.031659854,5.051372102
FEZF1,0.028569152,0.124328135,0.028569152,1.646162657,1.176322773,1.182692298
FEZF1-AS1,1.432959407,0.895302621,1.117695043,3.416839742,3.140778656,3.264536431
FEZF2,0,0,0.028569152,0,0,0
FFAR1,0.475084883,0.124328135,0.124328135,0,0,0.042644337
FFAR2,1.469885976,1.201633861,1.361768359,1.570462931,0.799087306,1.111031312
FFAR3,0.097610797,0,0,0,0,0
FFAR4,0,0,0,0.014355293,0,0
FGA,0,0,0,0,0.042644337,0
FGB,0.137503524,0.298658316,0.214124805,2.084064265,1.214124805,0.555816155
FGD1,1.575312331,2.007195501,2.053111336,2.23878686,2.084064265,2.247927513
FGD2,0.137503524,0.137503524,0.111031312,0.028569152,0,0
FGD3,1.891419187,2.007195501,2.070389328,0.839959587,0.98550043,0.941106311
FGD4,2.358958826,2.292781749,2.280956314,2.523561956,2.153805336,2.150559677
FGD5,0.028569152,0.028569152,0.084064265,0,0.028569152,0.014355293
FGD5-AS1,6.528258743,6.907251224,6.747253114,6.69432306,6.660922914,6.592307527
FGD5P1,0,0.014355293,0.014355293,0,0,0
FGD6,1.35614381,1.485426827,1.321928095,3.255500733,2.970853654,2.941106311
FGF1,0.084064265,0,0.084064265,0.124328135,0.028569152,0.097610797
FGF10,0,0,0,0,0,0
FGF10-AS1,0,0,0,0,0,0
FGF11,3.112700133,2.817623258,2.675815931,2.983677695,2.675815931,2.548436625
FGF12,1.627606838,1.372952098,1.584962501,3.69265037,3.040892431,3.08236197
FGF12-AS1,0,0,0,0,0,0
FGF12-AS2,0,0,0.097610797,0,0.201633861,0
FGF12-AS3,0,0,0,0,0,0.35614381
FGF13,0.454175893,0.650764559,0.5360529,3.078951341,3.393690764,3.327687364
FGF13-AS1,0,0,0,0.5360529,0.35614381,0.137503524
FGF14,0,0,0,0,0,0
FGF14-AS1,0,0,0,0,0,0
FGF14-AS2,0,0,0,0,0,0
FGF14-IT1,0,0,0,0,0,0
FGF16,0,0,0,0,0,0
FGF17,0.056583528,0.056583528,0,0.189033824,0.070389328,0.189033824
FGF18,0.23878686,0.124328135,0.263034406,0.201633861,0.275007047,0.163498732
FGF19,0.201633861,0.014355293,0.056583528,0,0,0
FGF2,0,0,0,0,0,0
FGF20,0,0,0,0,0,0
FGF21,0,0,0.056583528,0,0,0.137503524
FGF22,0.604071324,0.321928095,0.411426246,0.389566812,0.056583528,0.124328135
FGF23,0,0,0,0,0,0
FGF3,0,0,0,0,0,0
FGF4,0,0,0,0,0,0
FGF5,0,0,0,0.028569152,0,0
FGF6,0,0,0,0,0,0
FGF7,0,0.014355293,0,0.275007047,0.028569152,0.124328135
FGF7P1,0,0,0,0,0,0
FGF7P2,0,0,0,0,0,0
FGF8,0.201633861,0.124328135,0,0.137503524,0.263034406,0.070389328
FGF9,0,0,0,0,0,0
FGFBP1,0.189033824,0,0.042644337,0.056583528,0.150559677,0.042644337
FGFBP2,2.182692298,1.98550043,1.757023247,0.367371066,0.250961574,0.097610797
FGFBP3,1.459431619,1.124328135,1.23878686,1.056583528,0.86393845,1.007195501
FGFR1,4.643278996,4.047887329,4.012568674,5.929554316,4.781359714,4.763411574
FGFR1OP,4.424922088,4.319039816,4.305970521,3.166715445,3.215678597,2.939226578
FGFR1OP2,4.051372102,4.297925053,4.196921734,4.214124805,4.137503524,3.873813198
FGFR1OP2P1,0,0,0,0,0,0
FGFR2,1.722466024,2.313245852,1.981852653,1.150559677,1.23878686,1.201633861
FGFR3,5.090430042,4.714245518,4.737686761,5.278728213,5.275379596,5.198101209
FGFR3P1,0,0,0,0,0,0
FGFR3P5,0,0,0,0,0,0
FGFR3P6,0,0,0,0,0,0
FGFR4,5.922673593,5.796753477,5.486714373,3.517275693,3.498250868,3.481557281
FGFRL1,5.630230716,5.630230716,5.865671418,5.269033146,5.194165869,5.266786541
FGG,0,0,0.084064265,0.411426246,0,0.042644337
FGGY,2.007195501,2.761285273,2.260025656,1.871843649,1.622930351,1.207892852
FGL1,0,0,0,0.659924558,0.22650853,0.084064265
FGL2,0,0,0,0,0,0
FGR,0.201633861,0.137503524,0.084064265,0,0,0
FH,5.286141873,5.715893371,5.607034346,5.85224859,6.138937309,6.18030702
FHAD1,0.070389328,0.124328135,0.250961574,0.097610797,0.137503524,0.50589093
FHDC1,2.358958826,2.459431619,2.272023189,2.513490746,2.475084883,2.344828497
FHIT,1.669026766,1.618238656,2.084064265,1.799087306,2.873813198,1.807354922
FHL1,2.09423607,2.869871406,3.049630768,2.324810603,2.841973119,2.669026766
FHL2,5.343407822,5.437960088,5.73714592,5.590063019,5.887037791,5.887281552
FHL3,2.298658316,2.650764559,2.587364991,3.371558863,3.555816155,3.49441561
FHL5,0,0,0,0,0,0
FHOD1,6.202025845,6.02989455,6.056149961,6.525442506,6.245457633,6.289096702
FHOD3,0.163498732,0.22650853,0.22650853,0.22650853,0.263034406,0.163498732
FHP1,0.176322773,0.084064265,0.084064265,0.111031312,0.163498732,0.250961574
FIBCD1,5.037382222,5.101397952,5.033423002,4.414135533,4.733896605,4.94016675
FIBIN,0,0,0,0.028569152,0,0
FIBP,6.53496425,6.842978832,6.833902077,6.420886575,6.729960561,6.721646078
FICD,2.257010618,2.229587923,2.15704371,2.516015147,2.327687364,2.277984747
FIG4,3.087462841,3.276496666,3.080657663,3.539779192,3.3305584,3.389566812
FIGF,0.111031312,0,0.084064265,0.137503524,0.189033824,0.214124805
FIGLA,0,0,0,0,0,0
FIGN,1.310340121,1.811471031,1.757023247,1.378511623,0.956056652,1.15704371
FIGNL1,4.13422094,4.290571851,4.150559677,3.572889668,3.749534268,3.819668183
FIGNL2,0,0,0.028569152,0,0,0
FILIP1,0.028569152,0.028569152,0,0.014355293,0.014355293,0.014355293
FILIP1L,2.025028794,1.773996325,1.735522177,0.411426246,0.378511623,0.432959407
FIP1L1,5.137503524,5.208283138,5.200064862,5.269033146,5.231893162,5.265286858
FIRRE,0.641546029,0.475084883,0.475084883,0.367371066,0.321928095,0.250961574
FIS1,7.143536277,7.38603491,7.516881891,7.231797184,7.585788808,7.558497247
FITM1,0.214124805,0.137503524,0.310340121,0.35614381,0.367371066,0.150559677
FITM2,3.572889668,3.279471296,3.184280294,2.996388746,2.833902077,2.869871406
FIZ1,3.334854269,3.443606651,3.478971805,3.351910961,3.420886575,3.361768359
FJX1,3.699329526,3.524815928,3.564378169,5.026800059,5.060047384,4.72628629
FKBP10,7.504699834,7.297466574,7.37303913,8.392532094,8.162894799,8.054360118
FKBP11,6.495855027,6.116239979,6.226315849,6.246027981,5.872089989,5.943218087
FKBP14,2.99095486,2.464668267,2.260025656,2.653060017,1.782408565,1.815575429
FKBP15,4.046141782,4.14974712,4.008092421,3.71918344,3.64038956,3.524815928
FKBP1A,6.536985376,7.01234519,6.997856909,6.736875423,7.002590016,7.077990648
FKBP1AP2,0,0,0,0,0,0
FKBP1AP3,0,0,0,0,0,0
FKBP1B,0.941106311,1.310340121,1.257010618,0.98550043,1.40599236,1.641546029
FKBP1C,0.678071905,0.622930351,1.042644337,0.575312331,0.765534746,0.687060688
FKBP2,6.931328485,6.678494508,6.845113647,6.862947248,6.779128369,6.596786096
FKBP3,7.538770938,7.599243395,7.344295908,7.809607374,7.742679958,7.698704667
FKBP4,8.248828916,7.744161096,7.906830482,7.505414609,7.664553949,7.571600972
FKBP4P1,0,0,0.042644337,0,0,0
FKBP4P2,0,0,0,0,0,0
FKBP4P6,0,0,0,0,0,0
FKBP4P7,0,0,0,0,0.070389328,0
FKBP5,4.171527106,4.56924803,4.475084883,3.94204526,4.245647774,4.182692298
FKBP6,0,0,0,0,0,0
FKBP7,1.687060688,1.752748591,2.042644337,2.176322773,1.718087584,1.89917563
FKBP8,7.665264847,8.060155495,8.222263604,7.289004456,7.653848238,7.687270693
FKBP9,6.501120634,6.248686627,6.178714641,6.849123572,6.24830712,6.147713722
FKBP9P1,0,0.111031312,0.111031312,0.056583528,0.070389328,0
FKBPL,3.10433666,3.61117238,3.339137385,3.073820233,3.514753498,3.336283388
FKRP,2.799087306,2.49057013,2.72900887,2.9202933,2.358958826,2.386810946
FKSG48,0,0,0,0,0,0
FKSG51,0.214124805,0,0,0,0.389566812,0
FKSG52,0.214124805,0.201633861,0.201633861,0.275007047,0.389566812,0
FKSG54,0,0,0,0,0,0
FKSG56,0,0,0.201633861,0.275007047,0,0
FKSG59,0.214124805,0.201633861,0,0,0,0
FKSG61,0,0,0,0.50589093,0,0
FKSG62,0,0,0,0.879705766,0,0
FKSG63,0.214124805,0.201633861,0,0,0,0
FKSG66,0,0,0,0,0,0
FKSG68,0.214124805,0.201633861,0,0,0,0
FKSG70,0,0,0.201633861,0,0,0
FKTN,3.368768349,3.039138394,2.769771739,2.904965719,2.364572432,2.307428525
FLAD1,5.56163163,5.552131108,5.643567622,6.298291731,6.186659017,6.303780748
FLCN,4.219555769,4.289096702,4.286141873,4.224966365,4.110196178,4.06436554
FLG,0,0,0,0,0,0
FLG-AS1,0,0,0,0,0,0
FLG2,0,0,0,0,0.014355293,0
FLI1,0,0,0,0,0,0
FLII,7.763677142,7.810057442,7.75595577,7.894150817,7.813460557,7.864186145
FLJ12825,0.070389328,0.137503524,0.23878686,0.070389328,0.042644337,0.097610797
FLJ13224,0.070389328,0.137503524,0.124328135,0.097610797,0.070389328,0.042644337
FLJ16171,0,0,0,0,0,0
FLJ16779,0,0.014355293,0.028569152,0,0,0
FLJ20019,0,0,0,0,0,0
FLJ20021,4.621172753,4.795455272,5.11727946,2.13093087,2.485426827,2.367371066
FLJ21408,2.021479727,1.316145742,1.220329955,1.244887059,0.722466024,0.575312331
FLJ22184,3.974529312,4.240314329,4.397118409,4.482848283,4.351910961,4.348374075
FLJ22447,0.201633861,0.189033824,0.23878686,0.632268215,0.722466024,0.722466024
FLJ22763,0,0,0,0,0,0
FLJ25758,0,0,0,0,0,0
FLJ26245,0,0,0,0,0,0
FLJ26850,0.22650853,0.070389328,0.150559677,0.042644337,0.124328135,0.042644337
FLJ27354,0.263034406,0,0.070389328,0.097610797,0.622930351,0.333423734
FLJ30679,0.389566812,0.298658316,0.389566812,0.250961574,0.137503524,0.286881148
FLJ31104,0.111031312,0,0.014355293,0.084064265,0.084064265,0.042644337
FLJ31306,5.268658955,4.694880193,4.578334949,5.564073256,4.854494418,4.776630423
FLJ31356,0.275007047,0.111031312,0.137503524,0.097610797,0.097610797,0.070389328
FLJ31662,0,0,0,0,0,0
FLJ33360,0.014355293,0,0,0,0,0
FLJ33534,0.839959587,0.82374936,1.23878686,0.124328135,0,0.176322773
FLJ33581,0,0,0,0.056583528,0,0.028569152
FLJ34503,0,0,0,0,0,0
FLJ35934,0,0,0,0,0,0
FLJ36000,0,0,0,0,0,0
FLJ36777,0.632268215,0.250961574,0.321928095,0.925999419,0.163498732,0.201633861
FLJ37035,2.185866545,2.545968369,2.440952198,1.739848103,1.98550043,1.350497247
FLJ37201,0.485426827,0.5360529,0.23878686,0,0.704871964,0.097610797
FLJ37453,1.887525271,1.655351829,2.049630768,1.23878686,1.480265122,1.454175893
FLJ37505,0,0,0,0,0,0
FLJ38122,0.014355293,0,0,0,0,0
FLJ38576,0.124328135,0.137503524,0.111031312,0.056583528,0.111031312,0.070389328
FLJ39080,0.344828497,0.310340121,0.137503524,0,0,0
FLJ40194,0,0,0,0,0,0
FLJ40288,0,0,0,0,0,0
FLJ41278,0.298658316,0,0.137503524,0.189033824,0,0.111031312
FLJ41941,0,0,0,0.028569152,0,0
FLJ42102,0.344828497,0,0,0,0,0
FLJ42351,0.992768431,0.739848103,1,1.618238656,0.687060688,0.925999419
FLJ42393,0.042644337,0.028569152,0,0,0,0
FLJ42627,2.107687869,2.344828497,2.304511042,2.771885579,2.495695163,2.40053793
FLJ42969,0.056583528,0.097610797,0.042644337,0.163498732,0.150559677,0.189033824
FLJ43681,1.63691458,1.97819563,1.910732662,1.545968369,1.427606173,1.659924558
FLJ43879,0,0,0,0,0,0
FLJ44313,0.50589093,0.565597176,0.310340121,0.464668267,0.40053793,0.214124805
FLJ44511,1.580145484,0.948600847,1.056583528,1.646162657,1.124328135,1.042644337
FLJ45079,0,0,0,0,0,0
FLJ46066,0,0,0,0,0,0
FLJ46284,0.286881148,0.150559677,0.150559677,0.275007047,0.111031312,0.150559677
FLJ46906,2.493134922,2.448900951,2.107687869,2.873813198,2.526068812,2.523561956
FLNA,8.619743126,8.558191088,8.687340687,9.243150176,9.483876224,9.629994034
FLNB,7.140574178,7.188638295,7.250866856,4.669593751,4.905447179,5.213736096
FLNB-AS1,0,0,0,0,0,0
FLNC,0.111031312,0.014355293,0.014355293,0.028569152,0.070389328,0.014355293
FLOT1,7.092862829,6.964398632,6.991635216,6.561326136,6.454011343,6.472325297
FLOT2,5.867649406,6.011674533,6.003152449,5.449891473,5.637204482,5.731997787
FLRT1,0,0,0,0,0,0
FLRT2,0.014355293,0.070389328,0,0.042644337,0,0.028569152
FLRT3,0.201633861,0.056583528,0.111031312,0.757023247,0.275007047,0.189033824
FLT1,0.298658316,0.150559677,0.321928095,0.895302621,0.678071905,0.613531653
FLT1P1,0,0,0,0,0,0
FLT3,0.90303827,1.124328135,0.948600847,0.970853654,0.807354922,0.765534746
FLT3LG,0.650764559,0.485426827,0.807354922,0.163498732,0.22650853,0
FLT4,1.50589093,1.339137385,1.526068812,1.189033824,1.40599236,1.367371066
FLVCR1,3.092545742,2.720278465,2.744161096,3.43162296,2.618238656,3.028569152
FLVCR1-AS1,1.510961919,0.970853654,1.056583528,0.790772038,0.790772038,0.704871964
FLVCR2,3.320484678,3.012568674,3.097610797,5.100136671,4.66732447,4.747924416
FLYWCH1,4.420886575,4.539158811,4.6622055,4.04701482,3.972692654,4.020591095
FLYWCH1P1,0,0,0,0,0,0
FLYWCH2,5.64096791,6.249445341,6.377123749,5.252476214,5.663059924,5.677508242
FMN1,1.718087584,1.59454855,1.59454855,1.378511623,1.584962501,1.049630768
FMN2,0.111031312,0,0.014355293,0,0,0
FMNL1,2.195347598,2.500802053,2.475084883,1.996388746,1.952333566,2.229587923
FMNL2,2.204766751,2.310340121,2.198494154,4.131754091,3.608809243,3.614709844
FMNL3,2.6622055,2.883620816,2.790772038,3.007195501,2.797012978,2.847996907
FMO1,0.028569152,0,0.028569152,0,0,0
FMO10P,0,0,0,0,0,0
FMO11P,0,0,0,0,0,0
FMO2,0,0,0,0,0,0
FMO3,0,0,0,0,0,0
FMO4,1.280956314,1.182692298,1.10433666,1.077242999,1.03562391,0.948600847
FMO5,1.526068812,1.280956314,1.007195501,0.545968369,0.485426827,0.526068812
FMO6P,0,0,0,0,0,0
FMO7P,0,0,0,0,0,0
FMO8P,0,0,0,0,0,0
FMO9P,0,0,0,0,0,0
FMOD,0,0,0,0,0,0
FMR1,3.577730931,3.35614381,3.432959407,4.360364277,4.256255873,3.935459748
FMR1-AS1,0.056583528,0,0,0,0,0
FMR1-AS1_2,0,0,0,0,0,0
FMR1-IT1,0,0,0.22650853,0.321928095,0,0
FMR1NB,0,0,0,0,0,0
FN1,4.116863758,4.424922088,4.098453246,9.364178439,9.302593232,9.724684374
FN3K,3.62058641,3.117695043,3.209453366,2.797012978,2.375734539,2.5360529
FN3KRP,5.40599236,5.277240898,5.28872768,5.077670274,5.118525849,5.030336078
FNBP1,4.052241981,4.099295204,3.989139007,4.109360559,3.90014226,3.778208576
FNBP1L,3.810443104,3.935459748,3.750606505,4.706530553,4.366671916,4.326968712
FNBP1P1,1.09085343,1.063502942,0.704871964,0.887525271,0.695993813,0.454175893
FNBP4,5.830863757,5.655351829,5.409051439,6.151168794,5.643278996,5.539469035
FNDC1,0,0,0,0,0,0
FNDC1-IT1,0,0,0,0,0,0
FNDC3A,3.698218478,3.707082992,3.54225805,4.169123281,3.866907978,3.739848103
FNDC3B,2.893362211,3.051372102,3.061776198,4.353323291,3.850999395,3.701549057
FNDC3CP,0,0,0,0,0,0
FNDC4,0.23878686,0.565597176,0.555816155,0.275007047,0.378511623,0.565597176
FNDC5,0.799087306,0.201633861,0.137503524,0.50589093,0,0.35614381
FNDC7,0,0,0,0.014355293,0.056583528,0.028569152
FNDC8,0,0,0.111031312,0.056583528,0,0
FNDC9,0,0,0,0,0,0
FNIP1,2.698218478,2.528571319,2.336283388,3.073820233,2.548436625,2.367371066
FNIP2,1.077242999,1.378511623,1.416839742,1.263034406,1.454175893,1.40053793
FNTA,4.388878339,4.43629512,4.387500406,5.154210531,5.28503225,5.23878686
FNTAL1,0,0,0.042644337,0,0.084064265,0
FNTAP2,0,0,0,0,0,0
FNTB,4.243364426,4.583158004,4.444269502,3.658782734,3.999098034,3.922197848
FO082796.1,0,0,0,0,0.070389328,0
FO203515.1,0,0,0,0,0,0
FO393407.1,0,0,0,0,0,0
FO393414.1,0,0,0,0,0,0
FO538757.1,0,0,0,0,0,0
FO538757.2,4.237257771,4.128458384,4.218781168,4.376429311,4.269033146,4.331991778
FO538757.3,0.150559677,0.111031312,0.526068812,0,0,0.189033824
FOCAD,3.751677946,3.745237332,3.965322548,4.06091205,3.89917563,3.867896464
FOCAD-AS1,0,0,0,0,0,0
FOLH1,0,0,0.028569152,1.914564523,0.839959587,0.669026766
FOLH1B,0,0.028569152,0,0.321928095,0.163498732,0.070389328
FOLR1,1.613531653,1.925999419,1.10433666,2.153805336,2.942983598,3.080657663
FOLR2,0,0,0,0,0,0
FOLR3,0,0,0,0,0,0
FOLR4,0,0.137503524,0,0,0,0
FOPNL,5.355439197,5.4747605,5.278728213,5.402585758,5.259649121,5.184280294
FOS,7.60295862,6.147103144,4.148120631,5.167518504,5.913846824,4.555202634
FOSB,3.841973119,0.82374936,0.50589093,1.50589093,1.15704371,0.516015147
FOSL1,1.220329955,1.678071905,1.35614381,3.983677695,4.359661722,4.189824559
FOSL1P1,0,0,0,0,0,0
FOSL2,5.460414939,4.703211467,5.161081482,3.6622055,3.261530815,3.234194723
FOXA1,7.451788074,7.996332249,7.886611112,8.377991327,8.560600329,8.435545257
FOXA2,0.084064265,0.014355293,0.137503524,0.084064265,0.042644337,0.084064265
FOXA3,0.028569152,0.056583528,0.111031312,0.070389328,0.042644337,0
FOXB1,0,0,0,0.042644337,0,0.111031312
FOXB2,0,0,0,0,0,0
FOXC1,2.344828497,1.454175893,1.855989697,1.59454855,1.695993813,1.372952098
FOXC2,0,0,0,0,0,0
FOXC2-AS1,0,0,0,0,0,0
FOXD1,2.286881148,3.09592442,2.916476644,3.559491813,3.711494907,3.793895883
FOXD1-AS1,0,0,0,0,0,0
FOXD2,0.189033824,0.137503524,0.333423734,0.422233001,0.35614381,0.464668267
FOXD2-AS1,0.855989697,1.042644337,0.871843649,1.063502942,1.575312331,1.432959407
FOXD3,0.097610797,0.367371066,0.23878686,0.189033824,0.137503524,0.333423734
FOXD3-AS1,2.192194165,2.545968369,2.689299161,1.570462931,2.250961574,1.851998837
FOXD4,0.189033824,0.176322773,0.111031312,0.097610797,0.22650853,0.150559677
FOXD4L1,0.201633861,0.201633861,0.189033824,0.22650853,0.250961574,0.263034406
FOXD4L3,0,0.084064265,0.028569152,0,0.097610797,0.111031312
FOXD4L4,0.084064265,0.042644337,0.084064265,0.056583528,0,0.028569152
FOXD4L5,0.111031312,0.137503524,0.070389328,0.056583528,0.084064265,0.042644337
FOXD4L6,0,0.042644337,0,0.111031312,0,0
FOXE1,0,0,0,0,0,0
FOXE3,0.028569152,0,0.070389328,0.028569152,0.097610797,0.084064265
FOXF1,0.40053793,0.084064265,0.176322773,0.443606651,0.097610797,0.176322773
FOXF2,0,0,0,0,0,0
FOXG1,0,0,0,0,0,0.028569152
FOXG1-AS1,0,0,0,0,0,0
FOXH1,1.269033146,0.807354922,1.028569152,0.815575429,1.014355293,0.526068812
FOXI1,0.070389328,0.731183242,0.678071905,0.028569152,0.042644337,0.028569152
FOXI2,0,0,0,0,0,0
FOXI3,1.169925001,1.521050737,1.485426827,0.847996907,0.669026766,0.871843649
FOXJ1,0.111031312,0.042644337,0.070389328,0.056583528,0.111031312,0.056583528
FOXJ2,3.423578171,3.724650272,3.46727948,3.648465443,3.491853096,3.442280035
FOXJ3,3.922197848,4.023255352,3.822730148,4.358958826,4.012568674,3.821710215
FOXK1,2.761285273,2.841973119,2.817623258,2.970853654,2.867896464,2.731183242
FOXK2,5.445925299,5.792855352,5.494735605,5.604071324,5.466300829,5.338424415
FOXL1,0,0.014355293,0,0,0,0.014355293
FOXL2,0,0,0,0,0,0
FOXL2NB,0.214124805,0.084064265,0.056583528,0.084064265,0.028569152,0.014355293
FOXM1,6.631831851,6.856487779,6.883498632,6.085976949,6.283551423,6.29130886
FOXN1,1.35614381,0.613531653,0.659924558,0.263034406,0.111031312,0.275007047
FOXN2,2.153805336,2.495695163,2.229587923,2.378511623,2.592158002,2.176322773
FOXN3,3.270528942,3.681449265,3.66106548,3.599317794,3.621758857,3.5360529
FOXN3-AS1,2.080657663,2.217230716,2.124328135,1.555816155,1.650764559,1.63691458
FOXN3-AS2,0,0,0,0,0,0
FOXN3P1,0,0,0,0,0,0
FOXN4,0.111031312,0.014355293,0.028569152,0.056583528,0.163498732,0.124328135
FOXO1,1.250961574,1.560714954,1.575312331,4.438958148,4.000901403,3.948600847
FOXO1B,0,0,0,0,0,0
FOXO3,3.950468414,3.956985925,3.898208353,3.588564737,3.396433531,3.307428525
FOXO3B,1.480265122,1.641546029,1.678071905,1.545968369,1.169925001,1.485426827
FOXO4,1.286881148,1.970853654,1.748461233,2.229587923,2.211012193,2.021479727
FOXO6,1.981852653,2.189033824,2.416839742,0.97819563,1.378511623,1.321928095
FOXP1,3.918386234,4.061776198,4.080657663,5.253989266,4.893362211,4.64096791
FOXP1-AS1,0,0,0,0,0,0
FOXP1-IT1,0.056583528,0.014355293,0,0.097610797,0.028569152,0.042644337
FOXP2,0.097610797,0.070389328,0.111031312,0.214124805,0.310340121,0.454175893
FOXP3,0.839959587,0.918386234,1.014355293,0.422233001,0.23878686,0.378511623
FOXP4,4.879705766,5.196134881,5.282069075,5.930027641,6.023033519,6.089159132
FOXP4-AS1,2.386810946,1.50589093,1.752748591,3.95419631,3.527320608,4.03562391
FOXQ1,0.028569152,0,0.028569152,0.389566812,0.443606651,0.526068812
FOXR1,0.189033824,0.176322773,0,0,0,0.201633861
FOXR2,0,0,0,0,0,0
FOXRED1,4.887037791,5.081083929,5.121844298,4.557042415,4.734438666,4.813524689
FOXRED2,4.844988157,4.878725341,4.786596362,3.59454855,3.645009884,3.454175893
FOXS1,0.333423734,0,0.214124805,0,0,0
FP236240.1,0,0,0,0,0,0
FP236240.2,0,0,0,0,0,0
FP236383.1,0,0,0,0,0,0
FP236383.10,0,0,0,0,0,0
FP236383.11,0,0,0,0,0,0
FP236383.12,0,0,0,0,0,0
FP236383.2,0,0,0,0,0,0
FP236383.3,0,0,0,0,0,0
FP236383.4,0,0,0,0,0,0
FP236383.5,0,0,0,0,0,0
FP236383.6,0,0,0,0,0,0
FP236383.7,0,0,3.176322773,0,0,0
FP236383.8,0,0,3.176322773,0,0,0
FP236383.9,0,0,0,0,0,0
FP325317.1,0,0,0,0,0.056583528,0
FP325318.1,0,0,0,0,0,0
FP325331.1,0,0,0,0,0,0
FP565210.1,0,0,0,0,0,0
FP671120.1,0,0,0,0,0,0
FP671120.2,0,0,3.176322773,0,0,0
FP671120.3,0,0,0,0,0,0
FP671120.4,0,0,0,0,0,0
FP671120.5,0,0,0,0,0,0
FP671120.6,0,0,0,0,0,0
FP671120.7,0,0,0,0,0,0
FPGS,5.724650272,5.702934532,5.969012308,5.401903472,5.147306699,5.21916852
FPGT,2.280956314,2.5360529,2.087462841,1.782408565,2.555816155,1.726831217
FPGT-TNNI3K,1.207892852,0,0.084064265,0.641546029,0.042644337,0.084064265
FPR1,0,0,0,0,0,0
FPR2,0,0,0,0,0,0
FPR3,0,0.042644337,0,0.056583528,0,0.042644337
FRA10AC1,3.084064265,2.66448284,2.384049807,2.56315813,2.324810603,2.247927513
FRAS1,1.250961574,1.117695043,1.03562391,3.389566812,2.799087306,2.739848103
FRAT1,2.459431619,2.819668183,2.575312331,2.618238656,2.582556003,2.632268215
FRAT2,3.909773104,4.413458688,4.21023299,3.833902077,4.314696526,4.236492618
FRDAP,0,0,0,0,0,0
FREM1,0,0.014355293,0.014355293,0.150559677,0,0.070389328
FREM2,3.607626221,4.070389328,3.960697039,1.464668267,1.367371066,1.316145742
FREM2-AS1,0,0,0,0,0,0
FREM3,0,0,0,0,0,0
FRG1,4.834407842,4.89917563,4.728464765,5.026357447,4.954661621,4.884109451
FRG1B,3.626439137,3.935459748,3.593353771,3.812498225,3.689299161,3.267535798
FRG2,0,0.028569152,0,0,0,0
FRG2B,0,0,0,0,0,0
FRG2C,0,0,0,0,0,0
FRK,1.150559677,1.669026766,1.580145484,0.310340121,0.389566812,0.263034406
FRMD1,0.056583528,0.028569152,0.056583528,0,0,0
FRMD3,0.925999419,0.90303827,1.070389328,0.641546029,0.150559677,0.214124805
FRMD4A,3.063502942,3.478971805,3.22342255,1.925999419,1.847996907,1.910732662
FRMD4B,1.695993813,2.080657663,1.807354922,3.152183419,2.316145742,2.419538892
FRMD5,0.871843649,0.713695815,0.739848103,1.007195501,0.925999419,1.007195501
FRMD6,3.09085343,3.533563348,3.308885057,5.548436625,4.685940148,4.546585829
FRMD6-AS1,1.580145484,1.432959407,1.565597176,1.244887059,0.933572638,0.948600847
FRMD6-AS2,0,0,0,0,0,0
FRMD7,0.070389328,0.014355293,0.070389328,0,0,0
FRMD8,4.188242656,4.219555769,4.275752049,3.910732662,4.121015401,4.026800059
FRMD8P1,0,0,0,0,0,0
FRMPD1,0.070389328,0.014355293,0.042644337,0.028569152,0.014355293,0.014355293
FRMPD2,0.056583528,0.163498732,0.084064265,0.014355293,0.189033824,0.014355293
FRMPD2L2,0,0,0.042644337,0,0,0
FRMPD3,0.042644337,0.028569152,0.070389328,0.35614381,0.275007047,0.389566812
FRMPD3-AS1,0,0,0,0,0,0
FRMPD4,0,0,0,0,0,0
FRMPD4-AS1,0,0,0,0,0,0
FRRS1,1.207892852,1.150559677,1.182692298,0.871843649,0.86393845,0.887525271
FRRS1L,0,0,0,0,0,0
FRS2,4.209453366,4.451540833,4.050501697,4.600507645,3.962549023,4.069530325
FRS3,1.570462931,1.819668183,1.263034406,2.046141782,2.053111336,1.82374936
FRY,0.250961574,0.641546029,0.584962501,1.929790998,1.333423734,1.659924558
FRY-AS1,0.097610797,0,0,0.124328135,0,0
FRYL,3.581351247,3.71918344,3.608809243,4.14404637,3.518535139,3.773996325
FRZB,0.014355293,0.070389328,0.028569152,0.042644337,0,0.014355293
FSBP,0.263034406,0,0,0,0.163498732,0
FSCB,0,0,0,0,0,0
