"","MCF7_rep1","MCF7_rep2","MCF7_shCtrl_rep1","MCF7_shCtrl_rep2","TamR_rep1","TamR_rep2","TamR_rep3","TamR_rep4"
"RMDN1",6.74563135406024,6.70257100775649,6.24711707160041,6.22749288132182,6.62167825336713,6.6769905304866,7.03994445587524,6.98966243048053
"RMDN2",1.96954651328145,2.35187298152964,2.06056823374846,2.04868885609193,2.43210033757726,2.27047868461746,2.58042974993249,2.58823687235293
"RMDN2-AS1",0,0,0.166048232672891,0,0,0.0969936745882134,0,0
"RMDN3",5.58332158205703,5.53074303182804,5.54855566919799,5.67220356660033,5.1739174174793,5.12379646032571,5.37751724753964,5.33982504415037
"RMI1",4.95908803182072,5.00749030087703,4.61720038391208,4.61244288304355,5.01009184264243,5.07997589306544,5.37500974770779,5.3228308224039
"RMI2",5.04792872558245,5.13779914021076,5.27850919096987,5.27992370968228,4.94875206073765,4.97223441792106,4.8974440124685,4.89697485644359
"RMND1",6.53638140542822,6.53765918127838,6.39454920958946,6.421341883424,5.85635445144148,5.84120183577097,6.30711597334539,6.17271531715489
"RMND5A",7.83950343751802,7.85379964760077,7.69918214686477,7.64592224771627,7.33822844197651,7.29766201257987,7.20150406629359,7.20171603193523
"RMND5B",6.61048219395354,6.6191271163746,6.88686363266383,6.96883126223115,6.10932695757372,6.01105299992883,6.00862336760503,6.00630208904158
"RMRP",12.3676223917978,12.3943402424641,11.7769656223713,11.7929795848387,11.6252226587594,11.5962473189627,0.519185537568076,0.559993523863203
"RMST",0.358663045541559,0.5421056524403,0.0854117320096367,0.348015394552092,0.103694735842031,0,0,0
"RNA45S5",0,0,0,0,0,0,0,0
"RNA5-8S5",0,0,0,0,0,0,0,0
"RNASE1",0.129716953799761,0,0,0,0,0,0,0
"RNASE10",0,0,0,0,0,0,0,0
"RNASE11",0,0,0,0,0,0,0,0
"RNASE12",0,0,0,0,0,0,0,0
"RNASE13",0.129716953799761,0.105699570434955,0,0,0,0,0,0
"RNASE2",0,0,0,0,0,0,0,0
"RNASE3",0,0,0,0,0,0,0,0
"RNASE4",2.413495347538,2.39421165191269,1.56154406809838,1.54085039189056,4.87372852651174,4.80645041035207,5.27634362130148,5.12975299349324
"RNASE6",0,0,0,0,0,0,0,0
"RNASE7",0.129716953799761,0.204180865780158,0,0,0,0,0,0
"RNASE8",0,0.105699570434955,0.0854117320096367,0,0,0,0,0
"RNASE9",0,0,0,0,0,0,0,0
"RNASEH1",4.07889636896329,4.06482407481435,3.62576518850383,3.78175817465571,5.93050173225156,5.837697509102,6.07501296267467,6.24150622642073
"RNASEH1-AS1",1.93446777459049,2.39421165191269,1.5910504777614,1.92458917801917,3.53382418433543,3.48835209035894,3.69058622745743,3.6614428789374
"RNASEH2A",5.10425511245647,5.24289872962782,5.39182313809196,5.39896889925105,4.36972833002274,4.11623695592738,4.2570060023249,4.3148960371278
"RNASEH2B",4.33572063432505,4.15376826245928,4.02215683513425,3.86514914404336,5.20339615751412,5.1437992980886,5.31348394753112,5.20322865331011
"RNASEH2B-AS1",0.129716953799761,0.204180865780158,0.0854117320096367,0,0.456920653790866,0.430512224133745,0.100561918588521,0.0945763299468143
"RNASEH2C",5.22166466398715,5.07411545969415,5.31874835316592,5.4243950684499,4.19877516047505,4.25931512810953,3.85075186469625,3.90273646680301
"RNASEK",0.556203912676246,0.615521961161118,0.842276062981256,0.967043009611682,0.291091171894499,0.35407927318435,0.194568688943449,0
"RNASEK-C17orf49",0.248726769600225,0,0.0854117320096367,0.184476142895448,0.200433510174067,0.0969936745882134,0,0
"RNASEL",3.53989460019316,3.35020579445755,4.04898387282823,3.78889451011926,4.00480707450848,4.1673856477308,4.31571400847321,4.39605895571615
"RNASET2",4.38202220528523,3.95596942771863,4.47804525962867,4.60437550325592,3.58847173911869,3.72677260811175,3.45448609254077,3.71452822363019
"RND1",3.71547552779142,3.54129727584292,4.72427025864677,4.79364802669072,6.06825861068621,6.10149783568409,6.33059929726712,6.30963242852632
"RND2",1.37814730146529,1.37647744711831,1.30086868594936,1.32218593524418,2.1466559473727,1.99650558076069,1.90429436100232,1.94319955351289
"RND3",3.58583344519062,3.73493683899599,3.50695530945761,3.67795562349466,6.21730751652514,6.02652640464357,6.41112969174562,6.38875264845522
"RNF10",7.31506737666585,7.32010090385086,7.33454148155908,7.3303252793001,7.3678209457102,7.33293779975114,7.50765841232496,7.50698036410028
"RNF103",5.62517173545112,5.6069771203377,5.92240491840699,5.89358609161226,6.13556077489638,6.20167824030202,6.33318511553168,6.43128056478595
"RNF103-CHMP3",0.248726769600225,0.105699570434955,0.166048232672891,0.184476142895448,0,0,0,0
"RNF11",6.52905158578781,6.47616394691688,6.49552080156933,6.47210008165162,6.88808977475618,6.81615285288039,7.24678022774678,7.13582684758478
"RNF111",5.83706476810084,5.87706157262339,5.83416168449388,5.84989844227927,5.33706971369097,5.29966242737607,5.23269270325232,5.24248738890927
"RNF112",0.645677848117698,0.105699570434955,0.512918067707229,0.423320690739237,0.456920653790866,0.35407927318435,0.365988061065639,0.624816237224786
"RNF113A",4.2239520811686,4.25488236411027,4.19545001897682,4.15199871243624,3.61503837793845,3.4521424445414,3.36634150358357,3.39028962856688
"RNF113B",0.460811874008967,0.685382457380722,0.166048232672891,0.0951846650560229,0.103694735842031,0.273369309914827,0,0
"RNF114",7.02634268490858,7.04246472606941,6.88015651680038,6.86207691327796,8.16834777784544,8.16679374852182,8.42920297030151,8.3648524587008
"RNF115",6.26178689491898,6.25564993454634,6.03403835917819,5.97248884949241,6.39005246471139,6.42360718266623,6.70766119084931,6.63776772279696
"RNF121",4.82185910256566,4.90506719313152,4.94027817446489,4.79009600875649,5.02997225511891,5.01939787290198,5.16753615828856,5.16287164996568
"RNF122",1.47897261672171,1.53625224979209,1.80760646585932,1.50663113161956,2.61870929660749,2.6196800408621,2.4530806781736,2.43399216608358
"RNF123",4.88293381177193,4.94477805034697,5.34928752311358,5.17761083559581,5.4096840500927,5.43104434533569,5.40972424571607,5.34944689940387
"RNF125",2.48796797309724,2.77678501027424,2.16235772292272,2.16295394478526,4.48943213506662,4.6474106413618,4.82212820576581,4.6966984226087
"RNF126",4.8690673865701,4.83763140575904,4.68376103995127,4.8147784187533,5.26340770506129,5.29711295374524,5.01161636152493,5.12695847876172
"RNF126P1",0.809523302303716,0.296367056700623,0.686975514642814,0.348015394552092,0.674618200597483,0.638156515242526,0,0
"RNF128",0,0.296367056700623,0.0854117320096367,0,0,0,0,0
"RNF13",6.2741157494596,6.28266601739892,5.99731952065085,6.07675310042079,5.78014666219373,5.7321823230007,5.89420425675593,5.86251385712904
"RNF130",6.71107043294805,6.75631060673513,6.25865503824034,6.33986955207711,7.2978032050885,7.29191136410074,7.59104702217427,7.55662847720747
"RNF133",0,0.5421056524403,0.242415299225356,0.268561814287331,0.863732069026,0.430512224133745,0.194568688943449,0.492120630042134
"RNF135",4.65410958504606,4.67113265154379,4.0595765506641,4.0187298420773,4.03791017786361,3.89131587172397,4.1199665813094,4.17580030591539
"RNF138",5.1277376731651,5.00065538323322,4.9374093993628,5.043816865203,5.65130723520198,5.6685134440955,6.14143515448175,6.05562930277338
"RNF138P1",2.1937727325037,1.93077256857463,1.8570220474804,1.76003972973698,2.32888715470359,2.50063399260561,0.784009666013775,1.19363563389393
"RNF139",7.34542985005015,7.41183040825331,7.23350179925179,7.29817699184872,7.363910174203,7.33852753025543,7.6917039208498,7.69796135545552
"RNF139-AS1",2.413495347538,2.28593999112857,2.76428182475211,3.00446890856814,2.01984183249014,2.44644509300679,1.0076791026869,1.4296400636264
"RNF14",6.44118721975364,6.38986744239934,6.13889992588626,6.35437322394087,5.98583593072371,5.93601873394825,6.27115833688748,6.28978010324265
"RNF141",5.53144426354933,5.52599071632343,5.38972588022097,5.40826670926529,4.80231551999185,4.81360346210996,5.17332022473391,5.14364494422674
"RNF144A",2.53556292891369,2.51424697662077,2.67065082825353,2.73569042270337,5.35030751089181,5.2713673158444,5.26555408418031,5.20057302599058
"RNF144A-AS1",0,0,0,0,0.103694735842031,0.0969936745882134,0,0
"RNF144B",4.91927229908065,4.91600628032934,4.13663557085193,4.28916895731184,5.81684768051858,5.84469767100254,5.75457188190603,5.69715111545318
"RNF145",3.97914805199505,4.19626511881164,4.30634044785599,4.23271874973429,6.70338695762351,6.72235354708524,7.11624425819367,7.11693818798282
"RNF146",4.69660276272185,4.73429786102392,5.20168955553768,5.22310334860182,4.62195846714268,4.82780403983741,5.02447319742064,5.01352173347077
"RNF148",0.358663045541559,0.383014806922359,0,0.184476142895448,0.803407155558496,1.17105510168516,0.900174647532571,0.559993523863203
"RNF149",5.4684645132461,5.51404098508514,5.73025635130886,5.80836235183036,5.08485642729322,5.02864832722834,5.02126971398392,5.0225714167542
