Hugo name,MCF7_1,MCF7_2,MCF7_3,MCF7_4,MCF7_13,MCF7_14,MCF7_15,MCF7_16
C11orf73,5.071166285,5.033779777,5.304897948,5.119771162,5.429877032,5.407546503,5.45506743,5.465197419
CCDC81,0.78714072,0.863882961,1.047154457,1.209890007,1.080398432,0.719280712,0.757103489,0.851743845
SESN3,1.942758453,1.901347707,1.778645945,1.733380374,0.676863142,1.061313079,0.885418959,1.107420059
ENDOD1,2.568328885,2.457426191,2.512297692,2.628124995,3.364825932,3.668209914,3.442843996,3.472591746
CCDC82,1.272674196,1.500057573,1.497167801,1.299455683,0.903704688,0.7358592,1.376573782,0.815802472
KLHL35,1.653908412,1.600650362,1.551845739,1.336534766,1.017950405,1.004357565,1.154473036,1.083635476
TENM4,0.17503143,0.087350001,0.086862012,0.173618698,0.359536913,1.077974417,0.563979086,0.326654692
SERPINH1,6.046905719,6.015457427,6.281696396,6.264588974,6.344041971,6.684804714,6.166052585,6.374140509
CAPN5,1.271497391,1.361156347,1.217999948,1.109099747,0.284568618,0.401931861,0.438171468,0.368672259
INTS4,4.239229992,4.23632423,4.427197172,4.273963399,4.317427086,4.156153882,4.265001741,4.30384649
PAK1,1.345294174,1.779642147,1.451583032,1.766671482,2.526414416,2.258262624,2.463243163,2.108290261
RPS3,10.5684882,10.5138164,10.68696443,10.73659642,10.641835,10.86737142,10.66928371,10.81045114
ZC3H12C,0.988643973,0.894054849,1.045897236,1.044359145,1.117774821,1.200893506,1.25295451,1.410834945
TTC12,3.655328929,3.188908849,3.387148823,3.270500537,3.21849601,3.428064652,3.438288859,3.382093104
NCAM1,0.158084921,0.398394154,0.315976549,0.144869972,0.093484321,0.370099539,0.481206962,0.316868647
DRD2,0.222845356,0.052507434,0,0.15878166,0.184854084,0,0.04143617,0
C11orf52,3.590961241,3.67654951,3.800537563,3.718054695,2.553989548,2.436934695,2.221892544,2.587072101
HTR3B,0.447749506,0.476190871,0.398301112,0.312144687,0.633224731,0.249616452,0.385264255,0.196639775
NPAT,2.917891893,2.921927556,2.780228197,2.975333033,2.570914613,2.83602712,2.810307363,2.883118327
ATM,4.057086303,4.008011721,4.099370956,4.128425389,4.132659092,4.017699253,4.310041952,4.350468959
AASDHPPT,4.773368701,4.610463845,4.67895078,4.856298529,4.616057693,4.590392432,4.729101348,4.67372601
GLB1L2,2.562281506,2.530467828,2.521113571,2.709482541,2.817838111,2.662980199,2.848004922,2.687047247
SLX4IP,2.401275483,2.347107177,2.534704096,2.555229634,2.260995159,2.39097578,2.3972663,2.335251706
LAMTOR1,5.568688832,5.578443645,5.723599516,5.777364479,5.301448638,5.593855699,5.154830258,5.230817842
P4HA3,0.718867043,0.650569736,0.306357911,0.500602203,0.397824862,0.454084274,1.111378586,1.055598275
GRIK4,0.182321089,0.046149606,0.015099446,0.162886745,0.775994465,0.295650153,0.333455793,0.381933408
ST14,4.789624931,4.82848434,5.009454672,4.926687382,4.748251898,4.878190729,4.570341487,4.715574932
HYOU1,5.329216902,5.174234621,5.391382803,5.291610925,5.823313735,5.834281417,5.756438901,5.778318983
GGTLC1,0.063962599,0.075508672,0.092282684,0.085533568,0,0,0,0
C20orf78,0,0,0,0,0,0.135959539,0,0
ADAM33,0.189805586,0.159764795,0.10312066,0.20255313,0.174350167,0.098500139,0.100056989,0.107839294
SLC22A8,0,0.026244683,0.139955332,0,0.024318261,0,0.024999019,0.02218754
CSRP2BP,3.799926561,3.640158155,3.923272808,3.960372698,3.594727681,3.585755765,3.500292177,3.687183895
TKFC,5.928024414,5.883102682,6.061741642,5.919137443,5.696444585,5.77375902,5.526507064,5.584162786
MTA2,6.199544754,6.288814408,6.362711837,6.258187233,6.131070851,6.184911038,5.996668942,6.114289974
TMEM138,4.075652423,4.047721593,4.257169065,4.249498436,4.388416878,4.297499589,4.274142364,4.367419993
FADS1,4.203240317,3.84976913,4.050414628,3.934808974,4.289406609,4.293480845,4.19978226,4.193472136
TMC2,0.83693805,0.841572248,0.653237075,0.734246149,0.802051733,0.682460934,0.898503248,0.608287886
ROM1,1.604896841,1.656258381,1.838826748,1.410791537,1.668332472,1.235549392,1.618290347,1.848994426
EML3,4.759038623,4.710800925,4.700733776,4.584271044,4.686153118,4.580199765,4.528246238,4.531587322
INCENP,4.797843067,4.765433966,4.670715726,4.784299814,5.449686821,5.372067549,5.452802969,5.426100345
ZP1,0.257095125,0,0,0.148002151,0,0.028806753,0.18382059,0
OOSP2,0,0,0,0,0,0,0,0
MS4A3,0,0.087996777,0,0,0,0.095351548,0,0
PLCH2,1.219543379,1.464804167,1.16079114,0.980656364,0.622338162,0.560089814,0.840865219,0.555654211
FRG1BP,5.117470643,5.460460811,5.487923619,5.163120297,4.870492953,4.737335237,5.228145276,5.244925104
CPSF7,4.721279685,4.89133655,4.775140114,4.666722512,4.768359026,4.507103249,4.618626298,4.465589259
MS4A2,0.31436474,0.506549136,0.150359505,0.203774987,0.212223175,0.236643232,0.21035395,0.354717317
B3GAT3,4.277255779,4.19241513,4.378865318,4.279344999,3.834377501,4.003026483,3.627583493,3.616934001
EI24,5.782426913,5.633593955,5.89606352,5.821697461,5.838273611,5.943178227,5.702760035,5.767540925
CCDC15,1.267799444,1.379066399,1.288151815,1.399067161,1.043505495,1.13196476,1.284845749,1.0721058
CHEK1,4.565042655,4.455570526,4.566815154,4.401193551,4.928403488,5.184554047,4.961752961,4.892439601
FEZ1,2.008895587,2.062163168,2.255947824,1.929719051,1.790867936,2.032506434,1.577726098,1.617604106
ESAM,0.523494712,0.569443455,0.64353299,0.659925472,0.65974284,0.630183645,0.787588762,0.421515781
KIRREL3,0.812735609,0.675381477,0.834709598,1.028463068,0.835432585,0.82057847,0.871841283,0.924704968
MPZL2,4.606726475,4.510012465,4.491160436,4.589841371,3.48377709,3.587677021,3.461449979,3.502025022
SCN2B,0.052885215,0.08447932,0.084250034,0.115924694,0.035579432,0.068186507,0.076925298,0.030091382
SIDT2,3.665506472,3.614262245,3.769888081,3.704329746,2.675192661,2.345955517,2.874047396,2.622916299
TMEM25,0.74089044,0.753334968,0.64885011,0.379551099,0.406554085,0.370056005,0.429995099,0.369234182
TAGLN,1.610081092,1.378461683,1.597893441,1.607304271,0.508772424,0.331701777,0.637859677,0.589276435
JPH2,0,0.013292021,0.033671784,0.065965983,0.23251955,0.271506952,0.189722104,0.365927649
DUSP15,0.829735114,0.428563719,0.888240202,1.047154457,0.5987406,0.379731849,0.464204021,0.52947116
COMMD7,4.675765131,4.687368684,4.816000592,4.841439807,3.913875539,3.979915585,3.694891333,3.756692413
C20orf144,1.48591623,1.529885898,1.613805079,1.183410289,1.318449896,1.119402661,1.235083677,0.902146146
KIAA1755,0.00870033,0.059863039,0.064949744,0.705076406,0.028543976,0.00862127,0.058175025,0.655839057
SPATA25,0.755412334,1.082355156,0.949030602,0.981656872,0.713467077,0.56888725,1.024653007,0.45745561
OCSTAMP,0,0,0,0,0,0,0,0
DSN1,4.220763317,4.283818084,4.337925126,4.343038218,4.315472038,4.185779347,4.338246117,4.286659405
