"","VC_rep2","VC_rep1","VC_rep4","VC_rep3","E2s_rep4","E2s_rep1","E2s_rep2","E2s_rep3"
"ARPIN",9.59058705,10.31757513,9.87820422,9.608462755,9.493455201,9.787086325,9.712097051,9.792912276
"ARPP19",11.33170774,11.9774454,11.72425803,11.41535226,11.88039664,11.48333085,11.348659,11.48184357
"ARPP21",7.483563888,7.315376027,7.521698579,7.413945202,7.340740281,7.378511623,7.314583244,7.355240963
"ARR3",7.260213887,7.14172399,7,7.097373769,7.313336562,7.181773439,7.078684546,7.185247124
"ARRB1",10.29986624,11.05985986,11.00626471,10.69122008,10.2961921,10.63863954,11.57591145,10.69472787
"ARRB2",8.157031074,8.673684498,8.191737825,8.190256809,7.768928643,8.431184168,8.321251673,7.935533413
"ARRDC1",10.0040273,10.38004162,10.20635812,10.24211717,9.648717087,9.832039491,10.65792131,9.985041403
"ARRDC1-AS1",7.836050355,8.390383947,8.086368471,7.967226259,7.789859641,7.900753621,8.19991768,8.470506361
"ARRDC2",8.724087462,8.963148961,9.130071775,8.595863529,8.501240084,9.107625759,8.916457984,8.986588701
"ARRDC3",8.909855591,8.868128042,8.932620776,9.09918341,9.042770858,8.875230994,9.503887836,9.171583398
"ARRDC4",8.936821944,9.142170892,8.832652709,8.976456723,9.024879937,9.150381969,8.648357582,8.763585859
"ARRDC5",7.038781844,7.100662339,6.981995318,7.222191138,7.29450588,7.067030941,7.139807127,7.352815894
"ARSA",8.270704129,8.86913112,8.475328123,8.228638342,8.324855597,8.428909716,8.575350153,8.363970454
"ARSB",8.905198946,9.045145327,8.979389467,9.264207997,9.213726984,8.843528535,8.650333754,8.976080758
"ARSD",11.42804605,11.96128689,11.6645695,11.21934249,11.17215401,11.68651694,11.2841409,11.40888033
"ARSE",7.217957698,7.104598754,7.370360475,7.049780496,7.285170999,7.251127315,7.288750746,7.155450731
"ARSF",7.001900738,7.104598754,7.007167464,7.117253482,7.11113567,7.250179965,7.038781844,7.137119232
"ARSG",8.004079983,8.264178668,8.008568683,8.02465489,7.773468928,8.244928671,8.149810617,8.129733789
"ARSH",8.413733695,9.244809777,8.565530538,8.651814108,8.126994789,8.593951284,8.691765325,8.633767214
"ARSI",7.175300036,7.13583752,7.189453956,7.317921312,7.119459934,7.368942914,7.363806235,7.201878863
"ARSJ",7.662668376,7.473299871,7.33650656,7.740371066,7.458611673,7.516881891,7.607792642,7.631995503
"ARSK",8.601120779,8.975650963,8.178851555,8.263797348,8.088059421,8.669682323,8.278449458,8.058465325
"ART1",7.493054842,8.002041434,7.549592167,7.393390457,7.714846515,7.660619915,7.767067127,7.640787201
"ART3",7.178042329,7.079351442,7.2632692,7.264794434,7.217594253,7.174051814,7.493004789,7.148476582
"ART4",7.888134388,7.71630504,7.802072018,7.926703688,7.813620883,7.879123719,7.689037019,7.919757193
"ART5",7.303552456,7.035073997,7.250416861,7.137503524,7.221466287,7.359200485,7.326541842,7.240910558
"ARTN",7.591241821,7.383812275,7.670921751,7.535858559,7.684573313,7.862249901,8.214288761,7.818222657
"ARV1",12.16793946,12.42890645,11.96051108,12.2818069,12.2098379,12.05463399,11.74700759,12.07038513
"ARVCF",7.541387062,7.763544364,7.348838786,7.593484498,7.64718857,7.557559431,7.68606275,7.46311562
"ARX",7.973733236,8.424979807,8.248313051,8.010353266,7.801102057,8.098295324,8.201450082,7.748947551
"AS3MT",7.448942236,7.336618133,7.24567154,7.355461222,7.503477939,7.13442632,7.190812368,7.320913343
"ASAH1",9.061725578,9.815163112,9.074208377,9.521158731,9.108687796,9.18208393,9.653740779,9.321674474
"ASAH2",7.605201694,7.446566409,7.329291811,7.392532094,7.720800021,7.477151114,7.387155718,7.490349506
"ASAH2B",7.752882366,8.128509938,7.856697856,7.984204816,7.897694222,7.77280941,8.225779821,7.908992993
"ASAP1",10.99230109,11.03326812,10.60650932,10.83092118,10.26156607,10.67050135,10.56456632,10.32683673
"ASAP2",10.82303877,10.75584731,10.85706736,10.6152273,11.061869,11.18334073,10.7927598,11.22521497
"ASAP3",10.58696876,10.98826751,11.23720996,11.03757269,10.7805654,10.68133725,11.09044328,11.08094241
"ASB1",9.773953069,9.769930798,9.599215495,9.784634846,9.949589646,9.409682628,9.131117422,9.80771716
"ASB10",7.813220034,7.556122818,7.660619915,7.650513272,8.043505823,7.910380398,7.888134388,8.001548938
"ASB11",7.917707724,8.469234794,8.055485809,8.079884736,7.768928643,7.825952538,8.166665239,8.009898581
"ASB12",7.283088353,7.184751395,7.056705446,7.221345444,7.327777171,7.219652565,7.013322673,7.35645197
"ASB13",9.543515216,10.18940762,9.800738154,9.698096905,10.17933376,10.66635717,10.38790962,10.48697954
"ASB14",7.250535294,7.5072,7.352595231,7.251955736,7.419960178,7.259978594,7.360078905,7.186547602
"ASB15",7.278333295,7.165032592,7.126317293,7.277054876,7.228337712,7.285286614,7.296973547,7.234338449
"ASB16",7.357991784,7.259978594,7.094473614,7.339961318,7.180903709,7.281350515,7.821534841,7.281466436
"ASB16-AS1",8.377156293,8.956956894,8.787065913,8.429511357,8.249824549,8.878702355,8.785084595,8.821415256
"ASB17",7.318203844,7.440713473,7.312315747,7.444600814,7.481799432,7.337064339,7.41974955,7.170551035
"ASB2",7.636080789,7.628263255,7.536150061,7.657050432,7.446152822,7.538237441,7.506555531,7.770870331
"ASB3",9.992301088,10.12478369,10.06472593,9.966586561,9.72466306,10.12070768,9.857718628,9.945955858
"ASB4",7.441491779,7.239001758,7.318203844,7.335278687,7.313336562,7.600609852,7.350276229,7.307257742
"ASB5",7.157346935,7.233499847,7.228337712,6.992088609,7.196294745,7.365884968,7.233080363,7.237209961
"ASB6",8.912964163,9.05385802,9.272221527,8.970177808,8.632177317,9.158136285,9.109047078,8.932325497
"ASB7",8.116343961,9.008376096,8.308566567,8.325811378,8.187908752,8.233919209,8.473198384,8.238225586
"ASB8",9.971112405,10.1842555,10.35557134,9.870191308,10.15592502,9.887030173,9.949115399,9.985957533
"ASB9",8.107086272,8.310385568,8.228037019,8.03094296,8.191737825,8.153805336,8.342380291,8.051922633
"ASCC1",11.08373277,11.92471973,11.26119876,11.1198368,10.95941336,11.27576078,11.25810224,11.15331452
"ASCC2",13.27262796,13.59439313,13.7326537,13.53167082,13.26125937,13.5019802,13.54085302,13.38608814
"ASCC3",11.02604788,9.474555188,10.24856508,10.45955969,10.49410555,10.69559805,10.43438063,10.3652015
"ASCL1",7.213833283,7.192662689,7.128638813,7.14758654,7.222794903,7.123086751,7.038781844,7.163523891
"ASCL2",11.93058027,11.99840532,12.0041195,11.90071117,11.65928797,11.97556141,11.76668418,11.93407322
"ASCL3",7.140446364,7.198445041,7.099216292,7.061236166,7.359529955,7.170551035,7.170551035,7.057991723
"ASCL4",7.319446329,6.998449397,7.28701972,7.218986962,7.132628249,7.467096034,7.324405598,7.299894853
"ASF1A",9.953014183,9.82004929,9.925211342,9.968054742,9.625549042,10.05153185,9.945681583,9.668331018
"ASF1B",10.49381793,11.33911929,11.23879283,10.96117835,11.21637453,11.16712017,11.12409707,11.18275126
"ASGR1",7.782752553,7.884323177,7.619027781,7.594604531,8.033250914,8.00530875,7.838337281,7.928148216
"ASGR2",7.371994393,7.231941148,7.347732085,7.208234358,7.40173285,7.500343969,7.293241719,7.587730644
"ASH1L",7.764042217,8.330916878,7.821215926,8.267313403,7.893984033,7.814101754,7.616089314,7.789533645
"ASH1L-AS1",9.233320083,10.16690841,9.508859424,9.681523935,9.540394462,9.359227944,9.705697178,9.73839842
"ASH2L",12.98904186,13.0426811,13.01371305,12.77455544,12.73365621,13.16925758,13.11608399,13.01081655
"ASIC1",8.302181941,8.30771312,8.474567862,8.420539246,8.923587474,8.541145027,8.394918154,8.81131448
"ASIC2",7.239001758,7.180903709,7.294391002,7.122439774,7.677191085,8.068341642,7.361340698,7.599819882
"ASIC3",8.718832515,9.021639346,9.021136141,8.642367643,8.757640022,8.745212117,8.926555449,9.093450578
"ASIC4",7.397781575,7.605201694,7.53508093,7.614387778,7.444186663,7.464239413,7.647098607,7.550073371
"ASIC5",7.158735903,7.133912814,7.025831668,7.274611109,7.193648557,7.28771238,7.278333295,7.083346354
"ASIP",7.161761743,7.090906345,7.389631339,7.093021347,6.946102117,7.064203842,7.274611109,7.174176684
"ASL",8.715618859,9.030184318,9.079218087,8.601329743,8.656625968,8.718832515,8.806710718,8.929480345
"ASMT",7.164781251,7.231941148,7.230260665,7.255146625,7.15304529,7.109569509,7.145167939,7.179660328
"ASMTL",11.3196439,11.94030442,11.88564395,11.45341855,11.44042799,11.73389978,11.52363546,11.79611061
"ASMTL-AS1",7.319446329,7.169173402,7.42238019,7.350718231,7.510566389,7.395534135,7.406949019,7.422958287
"ASNA1",7.385323176,7.709773108,7.485678391,7.441802984,7.350718231,7.645658432,7.340406491,7.612039124
"ASNS",11.52672541,12.5259092,12.2098379,12.01405099,11.68783493,11.91941737,12.02762959,12.02106672
"ASNSD1",11.57475907,12.35239867,11.66178366,11.67099365,11.39719998,11.69509776,11.60620277,11.48378429
