"","MM134.24hr.Vehicle.A","MM134.24hr.Vehicle.B","MM134.24hr.Vehicle.C","MM134.24hr.Vehicle.D","MM134.24hr.E2.A","MM134.24hr.E2.B","MM134.24hr.E2.C","MM134.24hr.E2.D","SUM44.24hr.Vehicle.A","SUM44.24hr.Vehicle.B","SUM44.24hr.Vehicle.C","SUM44.24hr.Vehicle.D","SUM44.24hr.E2.A","SUM44.24hr.E2.B","SUM44.24hr.E2.C","SUM44.24hr.E2.D"
"STAT6",10.24424326,10.27013269,10.23319487,10.26995986,9.913875167,9.965062818,10.01171222,9.991705523,10.48653804,10.57481894,10.58828817,10.61235955,10.65770915,10.6265701,10.59186544,10.61124548
"STATH",3.229577158,3.166594655,3.209230831,3.125834105,2.921464628,2.780329352,3.232820649,3.186092496,3.611725004,3.400857838,3.611725004,3.573184907,3.899050823,3.782479876,3.704756885,3.658405991
"STAU1",12.4175599,12.43051894,12.46582119,12.38821654,12.33134546,12.3249703,12.3239077,12.32416984,12.3599645,12.40456107,12.40476437,12.41152441,12.32149337,12.31113226,12.32851186,12.31378984
"STAU2",9.507769849,9.512377716,9.587034305,9.484067159,9.224954741,9.216030249,9.250644256,9.188899453,9.622117777,9.606386602,9.584642879,9.585422641,9.52254188,9.491417738,9.39557244,9.413545926
"STC1",9.702111993,9.656225013,9.684922087,9.652810017,9.673189824,9.73287883,9.594540451,9.589970229,10.21529278,10.24551197,10.27423305,10.31845585,10.24801953,10.17235795,10.208954,10.09151006
"STC2",8.808385486,8.752208536,8.696259738,8.805483322,10.76729608,10.72297506,10.67549045,10.63134311,11.02166533,11.11405791,11.06958513,11.0427705,10.43767293,10.41113628,10.41239524,10.42124244
"STEAP1",5.405017284,5.250169918,5.246606772,5.289942836,5.402266602,5.330863446,5.5450661,5.608081423,4.87488631,4.776516186,4.968190077,4.936014283,4.600834544,4.790116268,4.744500959,4.736048991
"STEAP1B",5.325135629,5.413000072,5.239426451,5.300782753,5.296770367,5.129441845,5.376597634,5.171354469,5.337031862,5.192805102,5.5020817,5.20111017,5.397640922,5.435454159,5.356164921,5.653033995
"STEAP3",6.627227484,6.834440776,6.877228341,6.822586467,6.794875806,6.838213138,6.71793943,6.778571758,11.27512321,11.31329495,11.36853469,11.43924344,9.954112395,9.946926244,9.874011202,9.921692525
"STEAP4",4.302339634,4.274105654,4.175166047,4.276829595,4.042267505,4.178912318,4.256328947,4.248975272,3.878371036,3.81680159,4.129302346,4.005673055,3.838102822,4.005673055,3.835377942,4.032573409
