,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
NDUFA13,10.5948,10.1161,11.029,10.756,10.8464,10.861,10.4266,10.6191
NDUFA2,11.9127,11.4651,11.591,11.4569,10.9045,10.7694,10.4696,10.6585
NDUFA3,10.2053,9.743,10.0928,9.9614,10.6348,10.5711,10.4769,10.4117
NDUFA4,12.011,11.8994,11.6847,11.7714,11.9863,12.098,11.9604,11.9237
NDUFA4L2,4.6973,4.6808,4.738,4.7829,5.0399,5.0186,5.0278,4.9911
NDUFA5,9.1593,8.8157,8.6142,8.972,9.2589,9.8552,9.661,9.7614
NDUFA6,11.2656,11.3037,10.9987,11.0093,10.9064,10.9973,10.8396,10.9701
NDUFA7,8.3814,7.9132,8.4738,8.2587,8.7983,8.6342,8.5186,8.7235
NDUFA8,10.9604,10.5875,10.7985,10.6297,11.252,11.3174,11.2541,11.3939
NDUFA9,9.0661,8.6802,8.5085,8.3876,10.0285,10.0112,9.9621,9.984
NDUFAB1,12.2601,11.924,12.2316,12.094,11.4806,11.4861,11.2763,11.5184
NDUFAF1,8.3325,7.9122,8.3216,8.1937,8.1234,8.1246,7.8962,8.1525
NDUFAF3,8.2277,8.0866,9.1475,8.839,8.4919,8.4148,8.3523,8.5667
NDUFAF4,8.0266,7.5755,7.9711,8.2161,8.5381,8.5556,8.9355,9.1615
NDUFAF5,4.2492,4.4139,4.5269,4.4139,4.5428,4.4159,4.3058,4.4541
NDUFAF7,3.3858,3.5253,3.7344,3.7644,3.5606,3.5345,3.5396,3.416
NDUFB1,12.4401,12.6534,12.2088,12.1829,11.5816,11.7673,11.5233,11.4378
NDUFB11,11.5634,11.1371,11.4425,11.2383,11.1704,11.0892,10.9154,11.0493
NDUFB2,11.0454,10.6814,11.2225,11.1022,12.106,12.0895,11.9781,11.9142
NDUFB2-AS1,4.3443,4.5139,4.6265,4.5449,4.6041,4.7315,4.6665,4.5637
NDUFB3,10.513,10.5747,9.9933,10.0512,9.9068,9.8502,9.741,9.7556
NDUFB4,12.5275,12.2227,12.2348,12.2055,13.1995,13.1947,13.0542,13.0267
NDUFB5,12.2346,11.9282,11.8854,11.7728,10.6274,10.7451,10.5894,10.7528
NDUFB6,10.7836,10.3776,10.534,10.4751,8.7642,8.9669,8.6273,8.9537
NDUFB7,6.8656,7.4785,8.898,8.4701,9.5642,9.5891,9.1686,9.4562
NDUFB8,11.4966,11.0762,11.2231,11.0491,10.5918,10.4936,10.3249,10.4584
NDUFC1,11.5316,11.3538,11.4147,11.2094,11.0645,11.016,10.7548,10.8723
NDUFS1,9.1767,9.0094,9.3215,9.287,8.8945,8.6941,8.5215,8.7394
NDUFS2,10.8778,10.6434,11.0784,10.9384,11.0248,10.8874,10.7806,10.8714
NDUFS3,10.1772,9.9569,10.6047,10.348,9.9445,10.0462,9.8791,9.9936
NDUFS4,10.197,9.6753,9.7669,9.8504,8.7924,8.6218,8.5137,8.701
NDUFS6,11.4689,11.0826,11.5385,11.4353,12.247,12.2342,12.2305,12.2274
NDUFS7,7.6261,8.008,8.7846,8.1459,8.674,8.8544,8.3522,8.6659
NDUFV1,10.3742,10.0068,10.9742,10.7571,11.5084,11.437,11.3943,11.4152
NDUFV2,10.4084,9.9705,10.577,10.2859,11.2968,11.3529,10.9853,11.104
NEB,4.6866,4.5568,4.2894,4.3296,3.9735,3.8285,3.8532,3.8486
NEBL,9.4808,9.5695,8.4112,8.4881,9.4202,9.5549,9.3627,9.3647
NECAB2,6.4975,6.6118,6.8017,6.9635,6.0624,5.927,6.1601,6.3046
NECAB3,7.4024,7.3726,7.9732,7.6376,6.2548,6.1432,5.9079,5.7798
NECAP1,7.1937,6.5421,7.2946,7.0385,7.5141,8.0237,7.7909,7.6543
NECAP2,7.9468,7.4717,7.8214,7.6738,7.7592,7.6037,7.3805,7.2613
NECTIN1,5.2984,5.3436,5.364,5.0453,4.8652,4.9218,4.9729,4.6766
NECTIN2,7.5837,7.7538,7.9577,7.7507,8.5975,8.5133,7.9559,8.1289
NECTIN3,3.6687,3.3093,3.8346,3.4975,4.2443,3.994,3.4697,3.5996
NEDD4,7.2739,6.6448,6.7336,7.0067,6.5975,6.7348,6.5975,6.4575
NEDD4L,7.1103,6.962,6.5614,6.8007,9.4063,9.4144,9.4012,9.1742
NEDD8,11.0871,10.7246,11.1598,10.9881,11.6437,11.72,11.5338,11.79
NEDD9,5.5898,5.8617,5.3067,5.5057,6.5213,6.675,6.3566,6.7389
NEFH,3.9084,3.9856,3.9786,3.7231,3.8444,3.8099,3.8942,3.7227
NEFL,4.0485,3.6635,3.8113,3.5722,3.5889,3.5792,3.5626,3.5429
NEFM,3.6497,3.9344,3.6451,3.6757,3.4379,3.5442,3.5179,3.5445
NEIL3,5.8845,5.5216,6.8495,6.9841,5.3796,5.544,5.7564,6.0927
NEK1,5.256,5.0444,4.6257,4.7003,4.9588,4.8797,4.9814,4.7503
NEK11,6.9421,6.3062,6.2348,5.6861,5.6689,5.7772,5.8742,5.4876
NEK2,9.0904,8.8777,9.195,9.3414,7.1578,7.8269,7.1926,7.486
NEK3,4.6135,4.5266,4.7716,5.0997,5.052,5.0721,5.0769,5.3994
NEK4,8.0164,7.6821,7.5036,7.7722,6.458,6.6924,6.8057,6.9608
NEK7,9.6991,9.607,8.7625,9.0988,9.016,9.3283,9.1025,9.2025
NEK9,8.7883,8.7578,9.1144,8.8594,8.7109,8.5637,8.8475,8.6624
NELFB,7.2865,7.6445,9.0304,8.4797,8.7137,8.6251,8.3743,8.5727
NELFCD,10.2407,10.1264,11.1919,11.0792,10.1928,9.9954,9.9924,10.0267
NELL1,4.3669,4.2624,4.1956,4.3499,4.2581,4.3936,4.3216,4.1765
NELL2,5.0617,5.2268,4.6205,4.6546,4.2756,4.4989,4.7545,4.5553
NEMF,7.3161,7.5216,6.9235,7.2637,7.2366,7.5815,7.632,7.8865
NEMP1,9.0032,8.2701,9.4906,9.6317,8.1065,8.0036,8.6598,8.5113
NENF,9.2958,8.821,9.6047,9.3606,8.8993,8.9135,8.6417,8.608
NEO1,6.327,5.8795,6.4534,6.3124,6.5373,6.4821,6.6019,6.4368
NES,4.5003,4.5352,4.217,4.4286,4.1847,4.259,4.2222,3.9941
NET1,7.3562,7.2419,8.2673,8.2202,9.3854,9.4915,9.6701,9.7223
NETO2,4.4133,4.4254,4.7666,4.9388,9.0446,8.9405,9.3641,9.1785
NEU1,8.112,8.7564,9.9897,9.6144,9.6958,9.7084,8.8504,9.1227
NEU2,5.3621,5.647,5.4427,5.4866,5.3352,5.1974,5.384,5.6252
NEU3,5.8072,5.5433,5.423,5.6799,6.2615,5.9403,5.9135,5.9291
NEURL1,5.2021,5.111,5.0227,5.0363,4.8573,4.9066,4.8398,4.9272
NEUROD1,3.3268,3.1687,3.5621,3.5338,3.5139,3.1904,3.3922,3.2674
NEUROD2,4.7264,4.6291,4.2116,4.4382,4.2249,4.1754,4.0997,4.0412
NEUROD4,5.1922,4.618,4.4074,4.6386,4.0997,4.3022,4.2246,4.0461
NEUROD6,5.6157,5.6749,5.1661,5.5068,5.1575,5.2109,5.2538,5.1184
NEUROG1,4.3881,4.2793,4.0272,3.98,4.1505,4.0358,4.1376,4.1552
NEUROG2,3.7631,3.6458,3.4677,3.4718,3.4084,3.3522,3.4155,3.4904
NEUROG3,4.4302,5.0354,3.8895,4.0572,4.1822,4.0956,3.995,4.226
NF1,7.9839,7.665,8.5348,8.8921,8.1563,8.3074,8.0846,8.2433
NF2,7.5962,7.41,7.8897,7.6978,7.3725,7.4907,7.3949,7.2478
NFASC,3.8976,4.0502,3.9333,4.068,4.0587,4.0853,4.1196,3.9427
NFAT5,4.1741,3.9337,3.8425,3.9477,4.708,4.8325,4.2412,5.2612
NFATC1,6.1106,6.2301,6.0656,6.0986,6.2208,6.488,6.2579,6.2539
NFATC2IP,8.3532,8.2457,9.1168,8.7337,8.2406,8.0972,8.0739,8.3405
NFATC3,6.4406,6.6013,7.5299,7.7179,7.6209,7.4408,7.7972,7.6586
NFATC4,6.4492,6.5439,6.3999,6.3308,6.4345,6.21,6.2922,6.4189
NFE2,4.2513,3.8831,3.7437,3.8313,3.8436,3.7501,3.758,3.8595
NFE2L1,9.6293,9.6003,9.8904,9.6984,8.856,8.775,8.7292,8.6086
NFE2L2,9.9372,9.6446,8.9308,9.3801,9.4229,9.5237,9.4962,9.4633
NFE2L3,3.8631,3.6764,3.9935,3.8202,3.7639,3.9236,3.6536,3.6796
NFIB,10.0291,9.9337,9.3407,9.7768,9.1915,9.2098,9.2912,9.2726
NFIC,5.0312,4.9123,5.6655,5.5815,5.4044,5.2827,5.4421,5.2389
NFIL3,7.2891,6.2321,7.2678,7.087,6.9777,7.2757,7.4005,7.4049
NFIX,4.454,4.5183,4.4897,4.4886,4.4968,4.353,4.259,4.6305
NFKB1,7.649,7.5205,7.3368,7.2456,7.3514,7.4309,7.5797,7.059
NFKB2,5.0306,5.1682,6.0319,5.5829,5.4445,5.2824,5.0002,5.2231
NFKBIA,7.753,8.4921,9.1008,8.8011,10.0864,9.9839,10.0069,10.0778
NFKBIB,6.4186,6.728,6.7694,6.7868,6.4933,6.7761,6.6022,6.7476
NFKBIE,5.5892,5.4642,6.0728,5.9585,5.7254,5.5306,5.4972,5.8629
NFKBIL1,5.9332,6.3373,6.7205,6.6808,6.7153,6.4769,6.3088,6.7627
NFRKB,9.1191,8.6934,8.6395,8.4832,7.4759,7.3848,7.4221,7.364
NFS1,8.6438,8.268,8.6119,8.3064,7.5049,7.4569,7.3122,7.41
NFU1,8.8318,8.3984,8.5109,8.3869,9.106,9.0462,8.635,8.8881
NFX1,5.9374,5.8121,6.6503,6.2658,7.0604,6.9253,6.8761,7.0188
NFYA,7.3225,6.9697,7.1102,7.4968,8.2852,8.4406,8.61,8.4027
NFYB,9.1189,8.7307,8.0764,8.3312,7.4993,7.4816,7.6373,7.6594
NFYC,7.3114,6.3436,7.0484,6.7614,7.3598,7.2752,7.0889,7.1482
NGB,5.6845,5.8098,5.0934,5.4159,5.3108,5.3503,5.3552,5.687
NGDN,8.3927,8.232,8.9806,8.839,9.8612,9.8884,9.9786,10.133
NGF,5.4573,6.2426,5.3367,5.4194,5.448,5.4921,5.4564,5.752
NGFR,3.8353,4.0637,3.6565,3.7935,3.9127,3.852,3.9161,3.9348
NGLY1,8.2202,8.1028,8.0936,8.0282,8.7288,8.6357,8.6334,8.7343
NGRN,11.8819,11.4504,11.6255,11.5722,10.8793,10.9749,10.9281,11.0467
NHLH1,5.0521,4.8123,4.9174,4.7809,4.9507,4.6529,4.7688,4.816
NHLH2,4.1562,4.4622,3.6021,4.0516,4.0825,3.7908,3.9133,3.7701
NHLRC2,4.614,4.2711,4.8125,4.8311,4.709,4.7851,4.7513,4.8174
NHP2,11.1653,11.0119,12.0029,11.7677,11.1177,11.1391,11.3177,11.4547
NIBAN1,8.1031,8.0182,8.3554,7.7347,5.2265,5.1905,4.9352,4.9363
NID1,3.742,3.6678,3.5826,3.7425,3.5764,3.5826,3.6762,3.4913
NID2,3.5998,3.4384,3.5564,3.5845,3.5487,3.4592,3.5236,3.4979
NIF3L1,8.7177,8.3739,8.7483,8.631,8.7227,8.8096,8.6662,8.8203
NIN,3.685,3.9122,3.6529,3.5319,4.0118,3.685,3.832,3.8464
NINJ1,8.0081,7.9374,8.9201,8.6252,9.2241,8.9727,9.2452,9.4599
NINJ2,3.4882,3.8474,3.7584,3.751,3.8528,3.5586,3.7417,3.9474
NINL,5.4597,5.456,5.804,5.6511,5.681,5.7171,5.9917,6.0984
NIP7,6.0869,6.2828,7.8137,7.7563,6.88,7.0507,7.2854,7.8211
NIPA2,10.5147,10.125,10.4003,10.5884,11.2262,11.146,11.1703,11.1635
NIPAL2,6.4166,6.9548,6.3562,6.4633,6.0953,6.3007,6.4597,6.1827
NIPAL3,6.2174,6.5477,7.3405,7.2196,6.7804,6.6481,6.4483,6.6924
NIPBL,8.4042,8.2889,7.9642,8.2956,8.2217,8.8492,8.7879,8.779
NIPSNAP1,9.8092,9.5806,9.8226,9.3992,10.0695,9.9213,9.9373,9.9757
NIPSNAP2,10.5498,10.2276,10.0656,10.0503,11.1076,11.4,11.2633,11.2284
NIPSNAP3B,4.0146,3.6306,3.7467,3.7422,3.4976,3.6166,3.6177,3.622
NISCH,8.773,8.3054,8.4257,8.2887,8.3065,8.3897,8.5264,8.4054
NIT1,9.0495,8.8254,9.5289,9.3312,9.243,9.2151,8.9164,9.2156
NIT2,9.885,9.4945,9.7519,9.7132,10.0907,10.0784,10.1136,10.2392
NKAIN1,4.6223,4.9958,5.6797,5.3625,5.1903,4.9575,5.37,5.1275
NKAPD1,7.5228,7.106,7.4486,7.6762,5.9926,6.4928,6.2758,6.0925
NKG7,4.2802,4.1723,4.2504,4.1956,4.2064,4.3293,4.2177,4.1735
NKIRAS2,7.6067,7.6036,8.5004,8.2156,7.4993,7.6456,7.4863,7.3515
NKRF,6.7261,6.1247,7.0283,6.8865,6.3889,6.5005,6.7261,6.7056
NKTR,8.2958,8.4296,7.6353,8.316,7.756,7.7559,7.9279,8.2727
NKX2-1,4.4549,4.8469,4.6497,4.6188,4.6396,4.4101,4.689,4.4232
NKX2-2,4.2228,4.4602,4.2647,3.8786,3.8681,3.6575,3.6024,3.557
NKX2-5,6.0337,6.3509,6.0639,6.1017,6.1126,6.1049,5.9923,6.1158
NKX2-8,5.5592,6.0688,5.0991,5.0055,5.0778,4.9441,4.9444,4.9202
NKX3-1,5.4625,6.0414,5.0585,5.361,5.5291,5.4483,6.1468,5.93
NKX3-2,5.9773,5.4816,4.7629,4.7984,4.1684,4.4488,4.25,4.253
NKX6-1,4.6872,4.4269,4.2532,4.6448,4.4968,4.2034,4.5508,4.5167
NLE1,6.0901,6.558,7.8598,7.5449,7.1251,6.9361,7.1845,7.5715
NLGN1,3.8079,3.6029,3.4397,3.6537,3.2758,3.3111,3.2176,3.2856
NLGN3,4.9894,5.2725,4.7013,5.0371,4.9919,5.0592,4.9448,4.9852
NLGN4X,7.447,7.2213,7.3623,7.1615,7.5095,7.6106,7.4625,7.7132
NLGN4Y,3.3764,3.2516,3.3648,3.3512,3.3506,3.4035,3.2975,3.2458
NLK,4.7628,4.8872,5.8249,5.7567,5.5805,5.3891,6.0161,5.6933
NLRP1,5.4794,5.9168,4.6423,4.5288,4.8499,4.5225,4.4936,4.4702
NLRP2,9.7562,9.4902,9.899,9.6051,10.3896,10.3437,10.1446,10.1215
NLRP3,4.3821,3.9955,3.7593,3.6965,3.7864,3.7737,3.9213,3.6786
NLRX1,8.7803,8.719,8.7702,8.654,8.0213,8.2001,7.8497,7.9758
NMB,6.4514,6.4456,7.3431,6.9667,7.484,7.231,7.1724,7.284
NMBR,3.4687,3.337,3.6043,3.5764,3.6595,3.4509,3.5199,3.3682
NMD3,7.9157,7.6698,8.3962,8.9451,9.0685,9.133,9.2623,9.36
NME1,11.3889,11.3373,12.6969,12.5657,11.5196,11.5412,11.935,11.9965
NME3,8.3821,8.2603,8.9638,8.4038,9.7435,9.6439,9.3474,9.5844
NME4,8.7423,8.902,9.7697,9.3284,9.5724,9.4892,9.1869,9.607
NME5,4.7339,4.6557,4.3965,4.1692,3.5939,3.3931,3.712,3.4199
NME6,5.5291,5.3571,6.039,5.7372,6.1946,6.5209,6.0574,6.0295
NME7,8.9581,8.6153,8.4742,8.6973,7.2872,7.2937,7.0934,7.4094
NME8,3.7155,3.7292,3.5392,3.5292,3.7628,3.5493,3.7345,3.4263
NMI,6.7332,6.2163,6.6394,6.7003,7.8481,7.9812,7.6982,7.9379
NMNAT2,6.304,5.4626,5.2238,5.0212,4.7802,4.4753,4.7364,4.624
NMRK1,7.0845,6.8399,7.6603,7.5202,7.0325,7.1863,6.7727,6.837
NMRK2,4.6711,4.9969,4.6687,4.7795,4.9687,4.6122,4.964,5.1638
NMT1,9.3223,8.8712,9.7464,9.4681,8.7685,8.5827,8.4738,8.7433
NMT2,4.7336,4.776,5.5182,5.8035,4.4794,4.7574,4.843,4.8428
NMU,8.0243,7.6755,8.5536,8.5238,5.6748,5.771,5.3828,5.5401
NMUR1,4.1988,4.0637,4.1357,4.3561,4.438,4.2686,4.1805,4.5007
NNAT,5.2308,5.162,5.2108,5.1246,5.0672,5.3083,5.0703,5.1525
NNMT,4.2616,4.4497,4.5461,4.4788,4.49,4.4788,4.4802,4.574
NNT,9.2211,8.1158,8.9819,9.1112,7.4649,7.6087,7.8628,7.6547
NOC2L,7.3502,6.6337,8.4965,8.2126,8.0284,7.7498,7.7,7.7732
NOC3L,8.9382,8.7704,9.0648,9.3498,7.2412,7.5273,8.0107,8.3333
NOC4L,7.3319,7.299,7.9031,7.5671,7.4317,7.3024,7.1318,7.3633
NOCT,4.7435,4.7785,4.7665,4.7572,4.666,4.5687,4.6846,4.7924
NOD1,6.4416,7.2069,6.685,6.7285,6.5903,6.8325,6.8422,6.6449
NOD2,4.1176,4.0531,5.5532,5.0481,3.9205,3.7347,4.1407,4.0777
NODAL,5.123,5.0557,4.5634,4.7228,4.4966,4.6725,4.9954,4.6372
NOL10,3.8248,3.6662,4.0991,3.8641,3.9827,3.9513,3.7523,4.1154
NOL11,10.0786,10.0709,9.6254,9.9908,10.1361,10.1753,10.4592,10.5133
NOL12,5.7112,5.4933,7.5425,7.2668,6.9163,6.9827,6.5778,6.6856
NOL3,8.3235,8.1978,8.6722,8.0108,8.7766,8.6786,8.3344,8.7459
NOL4,3.8378,3.8377,3.6055,3.6016,3.4077,3.5294,3.6075,3.668
NOL6,7.0233,7.0779,7.5792,7.394,7.4813,7.5361,7.4741,7.5709
NOL7,9.9705,9.686,10.1487,10.3014,9.6083,9.6993,9.7454,9.7813
NOL8,7.2249,7.0726,6.9427,7.1691,7.4473,7.618,7.8889,8.1259
NOL9,8.3731,7.9172,8.4977,8.0923,8.1766,8.1405,8.0604,7.9928
NOLC1,10.5704,10.5887,11.0427,11.1921,9.6979,9.9026,10.5134,10.5647
NOMO2,4.5334,4.8771,4.0827,4.2105,4.2913,4.1896,4.1902,3.9874
NONO,11.5009,11.2702,11.715,11.5723,11.9673,11.9386,11.9411,11.9438
NOP10,11.9389,11.5669,11.8132,11.6991,11.1478,10.9863,10.7428,10.9233
NOP14,7.9724,8.0226,8.1964,8.0038,7.2174,7.1914,7.3835,7.7204
NOP14-AS1,4.9679,4.9832,4.8265,4.8876,4.9899,4.786,4.753,5.0409
NOP16,8.9228,8.323,10.2857,10.1403,9.3179,9.2895,9.7812,9.8406
NOP2,7.202,7.2069,7.4322,7.146,8.3976,8.2122,8.9621,8.7071
NOS1,6.677,6.7461,6.1589,6.5108,6.0298,6.0157,6.1155,5.9613
NOS1AP,5.2746,5.0878,4.9652,5.0096,5.2215,4.8623,5.5611,5.1805
NOS2,4.6186,4.6505,4.4526,4.6063,4.6377,4.4999,4.5586,4.6329
NOS3,4.8133,4.733,4.2681,4.5001,4.4636,4.5833,4.0484,4.6213
NOSIP,7.5135,7.7983,8.4809,8.2188,9.0773,8.9099,8.4826,8.7942
NOTCH1,5.8634,5.9715,6.2836,6.2393,5.6074,5.9726,6.3051,6.0127
NOTCH2,10.4492,10.2148,10.0315,9.9969,10.0133,10.0561,10.1284,9.9361
NOTCH2NLA,9.4796,9.4057,8.9589,9.6084,9.5517,9.5252,9.5752,9.493
NOTCH3,7.895,8.3491,8.0954,7.9323,7.9868,7.8642,7.7747,7.5186
NOTCH4,4.6184,4.5328,4.6504,4.5621,4.6618,4.6892,4.6837,4.7903
NOVA1,4.32,4.4044,4.063,4.4075,6.0322,6.0449,6.0709,5.5396
NOVA2,6.337,6.7381,6.2891,6.5422,6.2903,6.1755,6.2629,6.2712
NOX1,5.7647,5.9918,4.852,5.0583,5.0947,5.0589,5.1159,4.9451
NOX3,3.8769,3.6908,3.6611,3.6418,3.5373,3.6064,3.6393,3.7047
NOX4,3.7027,3.6325,3.4066,3.5054,3.3613,3.289,3.3887,3.2453
NOX5,6.8126,6.8347,6.6717,6.7611,6.5109,6.4833,6.632,6.4189
NPAP1,4.2312,4.262,4.3643,4.0005,4.3973,4.367,4.1561,4.2372
NPAS1,5.2121,5.32,5.2901,5.1926,5.1184,4.7897,4.9772,5.2664
NPAS2,5.7417,5.6942,5.8409,6.0456,6.0407,5.9531,5.992,5.9724
NPAS3,5.0791,4.837,4.7716,4.8023,4.887,4.9814,5.4625,4.986
NPAT,6.7106,6.5586,6.4654,6.8934,5.8213,6.1843,6.2916,6.3102
NPBWR2,4.0079,3.9187,3.6501,3.6409,3.7471,3.5668,3.7021,3.4375
NPC1,7.8735,7.9837,8.1405,7.7489,8.1497,8.0642,7.9612,7.8121
NPC1L1,5.0592,5.2455,4.5665,4.5939,4.7016,4.763,4.5939,4.478
NPC2,10.5706,10.075,10.8444,10.524,10.6311,10.7478,10.1771,10.274
NPDC1,7.5226,8.6038,9.635,9.1397,8.8912,8.834,8.3581,8.5214
NPEPL1,6.6753,6.9782,7.134,7.1496,7.6294,7.4919,7.5327,7.6333
NPEPPS,10.8797,10.6244,10.8442,10.9286,8.9877,9.0435,9.3641,8.7834
NPFF,5.7155,5.9478,5.7928,5.5795,5.7896,5.8431,5.8512,5.6527
NPFFR1,6.7139,6.7293,6.1437,6.3917,6.6842,6.5143,6.4441,6.4681
NPHP1,3.4206,3.6139,3.4704,3.4206,3.5482,3.478,3.3344,3.3359
NPHP4,5.8697,5.9382,6.0757,5.6717,5.1963,5.1259,5.1905,5.1959
NPHS1,4.7167,4.7905,4.7395,4.785,4.7802,4.9354,4.7755,5.1307
NPHS2,4.7308,4.2696,4.2507,4.5303,4.4077,4.7239,4.5419,4.1547
NPIPA1,10.4316,10.1157,9.8373,10.084,9.8694,9.9024,10.2747,9.9581
NPIPB15,6.0931,6.7353,6.7672,6.9104,5.9543,5.6944,6.0633,5.9005
NPL,3.8009,4.3742,4.5928,4.0924,3.5308,3.5556,3.4216,3.2619
NPLOC4,7.8776,8.0934,8.9415,8.792,8.483,8.5103,8.3063,8.4715
NPM1,13.0248,13.0409,13.0693,13.132,12.7634,12.7934,12.8956,12.9098
NPM3,8.1531,7.3448,9.1546,8.3444,7.3984,6.9752,7.8951,7.8727
NPPA,6.109,6.175,6.0192,6.095,6.0639,5.9953,5.9953,6.1988
NPPB,5.2749,4.9692,4.5766,4.8466,4.3728,4.4515,4.5384,4.5678
NPPC,4.2352,4.4305,3.8732,3.9047,4.265,4.0308,3.9817,4.271
NPR1,5.9001,6.2693,6.5966,6.3845,6.6854,6.5104,6.5377,6.51
NPR2,5.4571,5.0638,4.5087,4.6465,4.7253,4.5452,4.7407,4.4238
NPR3,5.6268,5.2797,5.3786,5.4338,9.3124,9.183,9.1779,8.8032
NPRL2,8.5071,8.2581,9.3128,8.912,8.1583,8.1053,8.1164,8.2207
NPRL3,7.1136,6.8275,7.6528,7.3461,7.1959,7.0292,6.9874,6.9975
NPTN,11.6166,11.3355,11.103,11.0421,11.2329,11.4328,11.3778,11.4115
NPTX1,5.0351,4.9834,5.0241,4.7793,4.9198,5.0565,4.996,4.9178
NPTX2,4.0601,3.8176,3.9836,3.9554,3.8937,3.8296,3.8937,3.7922
NPTXR,6.2411,6.2136,5.8485,6.0228,6.1004,6.0739,5.8172,5.8187
NPVF,3.5011,3.6194,3.5653,3.4344,3.568,3.4679,3.4679,3.3059
NPY,4.3258,4.4044,4.5041,4.4362,4.2219,4.3481,4.432,4.4218
NPY1R,2.9738,2.9787,5.5712,6.2061,6.982,7.0238,8.3473,8.4414
NPY2R,4.3765,4.4981,4.2375,4.1476,4.1107,4.1689,4.3699,4.0743
NPY5R,3.8634,3.5469,3.9968,3.8524,3.4084,3.5445,3.6148,3.3354
NPY6R,4.4038,4.5385,4.0997,4.0257,4.2225,4.2616,4.4253,4.2643
NQO1,11.5022,11.0571,10.9498,10.8179,10.8981,10.9701,10.5244,10.6023
NQO2,8.6474,8.0047,9.2673,8.8669,8.6496,8.4968,8.4815,8.7299
NR0B1,3.9627,3.7299,3.8229,4.3016,3.9268,4.0711,4.1411,4.0627
NR0B2,5.4003,5.51,5.3027,5.33,5.205,5.2285,5.4075,5.3384
NR1D2,4.0972,4.3655,4.0788,4.696,6.7581,7.0912,6.9786,7.5896
NR1H2,5.8618,6.4858,7.6214,6.9194,7.6771,7.7387,7.0485,7.5253
NR1H3,6.6297,6.1046,7.3255,6.7537,5.4219,5.1111,4.9465,4.9753
NR1H4,3.6826,3.5732,3.6627,3.5884,3.6264,3.6476,3.455,3.3579
NR1I2,5.6909,6.402,5.4507,5.5543,5.0371,5.3753,5.3093,5.4638
NR1I3,4.0241,3.8744,3.738,3.9099,4.0144,3.8902,4.0529,3.666
NR2C1,7.1299,6.5571,6.7394,6.8353,6.2631,6.7561,6.0646,6.3779
NR2C2,4.4998,4.34,4.8676,4.3305,4.3875,4.1025,4.0566,4.28
NR2E1,4.0051,4.0359,3.5604,3.3877,3.4814,3.31,3.5819,3.5412
NR2E3,4.8767,4.6492,4.2368,4.5309,4.5461,4.3549,4.3617,4.4894
NR2F2,10.3546,10.3085,9.0825,9.0552,8.9031,9.0718,8.7388,8.7442
NR2F6,9.8304,9.7951,10.1309,9.9497,11.0294,10.893,11.0116,11.0072
NR3C1,8.4758,7.9531,6.9327,7.2626,6.229,6.8795,6.2665,6.0455
NR3C2,4.4352,4.0812,3.9403,3.9536,3.8916,3.9331,3.7723,3.8495
NR4A1,6.1318,5.7587,6.6467,6.4135,7.0481,6.912,6.8679,6.9172
NR4A2,5.1967,5.0357,4.715,4.4982,5.8385,5.9297,5.4356,5.3933
NR4A3,4.3569,4.2004,4.2579,4.1082,4.0918,4.1149,4.2201,4.078
NR5A1,4.7061,4.4683,3.9134,4.5398,4.3281,4.2849,4.45,4.4738
NR5A2,4.0388,3.8869,4.1905,3.8048,3.6951,3.6596,4.0281,3.7507
NR6A1,5.3218,5.3903,4.7237,5.1229,4.6478,4.7125,4.9629,4.5758
NRAP,3.7117,3.5501,3.393,3.5827,3.5465,3.4972,3.4632,3.4731
NRAS,6.9694,5.7742,7.4762,7.293,7.3363,7.4005,7.0822,7.4285
NRBF2,7.6179,6.8275,7.5161,7.32,7.1685,7.3265,7.0976,7.2396
NRBP1,5.557,6.6848,7.9013,7.5832,8.247,7.8408,8.0578,8.0522
NRCAM,4.5061,4.6164,4.2016,4.5271,10.1224,10.008,10.3545,10.3986
NRDC,9.597,9.0694,9.0253,9.22,9.1343,9.0378,9.2332,8.9686
NRDE2,3.618,3.4941,3.5649,3.6194,3.5466,3.5432,3.4433,3.5415
NREP,7.2627,7.3368,6.8265,6.1941,5.6915,6.1763,6.0952,5.9077
NRF1,5.9415,5.747,6.3843,6.1049,6.2881,6.3193,6.4517,6.401
NRG1,5.9556,5.944,6.1049,6.4423,6.4622,6.3345,6.3952,6.6189
NRG2,4.7624,5.2006,3.753,3.687,3.8031,3.6711,3.8567,3.9466
NRGN,5.9506,6.0561,7.3182,7.1397,5.2498,5.4399,5.113,4.9627
NRIP1,7.0077,7.2013,7.7638,8.0585,8.2329,8.4263,8.9445,9.085
NRIP2,4.3479,4.204,4.3785,4.3018,4.5378,4.4412,4.3164,4.4634
NRIP3,4.1775,3.9878,4.0115,4.5001,4.0449,4.0963,4.2257,4.3179
NRL,5.443,5.5486,5.0103,5.041,5.177,5.264,5.3807,4.9679
NRN1,3.7591,3.8062,3.8789,3.6409,3.4531,3.5991,3.6176,3.5387
NRP1,5.1753,4.644,4.6808,4.5869,6.316,6.7604,7.3973,6.6952
NRP2,6.1298,5.9714,5.616,5.8464,5.9694,5.8453,5.7377,5.8093
