,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
DBP,5.3223,6.1803,4.8165,5.0032,5.3978,5.232,4.9526,5.0989
DBR1,6.6633,6.7415,7.3393,7.547,7.2601,7.5321,7.4913,7.3816
DBT,8.6265,8.5621,8.8937,9.0479,9.8325,9.8109,9.7363,9.7146
DCAF1,4.5074,4.5882,4.6547,4.4549,4.5209,4.3001,4.4209,4.466
DCAF10,5.0982,5.017,5.9614,5.9304,5.7281,5.9493,5.9143,5.5453
DCAF11,6.68,7.1305,7.5981,7.1782,8.5884,8.4497,8.5164,8.3388
DCAF13,3.9633,4.1293,3.8837,4.3772,4.6005,3.9265,4.1074,4.2735
DCAF15,6.123,6.3364,6.0424,6.0502,6.6532,6.3536,6.486,6.2491
DCAF16,4.2165,4.0304,4.8669,4.0443,4.2933,4.3908,4.7914,4.4153
DCAF17,3.9725,3.5638,4.5323,3.9547,4.251,4.4933,4.3608,4.3153
DCAF4,4.2841,4.4059,4.447,4.3329,5.0805,5.0658,4.7309,4.8255
DCAF6,9.3812,8.7344,9.0955,9.0426,9.2998,9.5315,9.6669,9.6024
DCAF7,6.2629,6.1677,7.5302,7.4659,7.108,6.7399,7.2911,7.4919
DCAF8,7.948,7.234,7.6546,7.405,6.6721,6.8204,6.9766,6.7975
DCAKD,4.5313,4.6239,4.2359,4.7731,4.9743,4.8555,4.8993,5.7316
DCBLD2,4.4511,4.6691,5.2075,5.0189,4.4885,4.1732,4.782,4.6377
DCC,3.7725,3.5572,3.7455,3.7834,3.7822,3.7857,3.7083,3.3429
DCHS1,4.3215,4.4259,4.6497,4.2484,4.381,4.6038,4.3164,4.4046
DCHS2,5.1819,5.0479,4.6925,4.4512,4.6947,4.62,4.4106,4.4977
DCK,7.0486,6.4432,7.2739,7.5508,7.0451,7.4817,7.3643,7.4601
DCLK1,4.2071,4.0518,4.2139,4.1051,7.692,8.4419,8.3105,8.5418
DCLK2,5.1685,4.9927,5.1099,4.9815,5.0488,5.0709,5.0435,5.0688
DCLRE1A,6.3636,6.1807,6.3484,6.4935,5.5653,5.8258,5.9637,5.9253
DCLRE1B,5.0897,4.9981,5.6557,5.5751,5.3484,5.2222,5.5336,5.3851
DCLRE1C,6.8758,6.7565,7.2955,7.7924,7.5195,7.7101,7.6019,7.7599
DCN,5.7196,5.7229,5.242,5.5904,5.0694,5.2528,5.3297,5.2699
DCP1A,6.1575,5.8973,6.0852,6.203,6.4036,6.2931,6.1785,6.168
DCP2,10.683,10.6475,9.454,10.1099,8.6408,8.8634,8.7228,8.8673
DCPS,8.2337,8.0766,9.2017,8.8391,7.3299,7.3834,7.0283,7.3291
DCSTAMP,3.9939,4.4254,3.822,4.0612,4.2803,3.7558,3.8963,3.7651
DCT,4.684,4.4625,4.2722,3.9771,4.2164,4.1948,4.2024,4.2462
DCTD,7.0217,6.8161,8.3702,8.035,7.0589,7.1748,6.7684,6.9808
DCTN1,7.6538,7.5886,8.0493,7.9537,8.0087,8.0349,7.8994,7.2688
DCTN2,10.7323,10.6099,11.0391,10.9112,10.4725,10.4371,9.9799,10.1532
DCTN3,11.0399,10.5613,10.9136,10.7541,11.334,11.3284,10.9297,11.1189
DCTN4,6.6979,7.2128,8.5767,8.5612,8.3122,8.0686,8.3947,8.3187
DCTN5,7.7496,7.7657,8.8278,8.5744,8.6036,8.5746,8.6382,8.6087
DCTN6,9.3774,9.409,9.2511,9.5497,9.2739,9.2827,9.0697,9.2739
DCTPP1,10.1649,10.0344,10.6213,10.5023,10.0577,9.8884,10.2642,10.451
DCUN1D1,9.7174,10.0748,8.9047,9.3932,9.1773,9.3196,9.0202,9.2233
DCUN1D2,6.9499,6.8851,7.3339,7.2384,7.5417,7.4115,7.3535,7.7674
DCUN1D4,8.0474,7.657,7.5946,7.9393,7.8395,8.0794,7.9325,8.0877
DCX,3.8922,4.0254,3.74,3.9436,3.768,3.6653,4.0551,3.896
DCXR,10.7746,10.4863,11.2706,10.917,12.1336,12.0934,11.5921,11.7714
DDA1,5.6943,6.8638,8.5358,7.9789,9.3784,9.1052,8.7,9.179
