,IRJ43,IRJ44,IRJ45,IRJ49,IRJ50,IRJ51
SMIM13,2.576717319,2.511693048,2.580278151,2.866780652,2.938524875,2.961005947
DDAH1,3.592159695,3.606314166,3.578291686,3.951577659,3.808260242,3.901684543
C17orf74,0.101416973,0.089708074,0.184583354,0,0.073220764,0
FAM212B,2.332203154,2.008864041,2.143043433,3.158514489,3.099378996,2.949225381
SYNJ2,4.038283385,3.995089669,3.956366734,4.161192843,4.053636356,4.327876401
BMP6,0.166861732,0.112084714,0.185786043,0.706758409,0.43259685,0.331794471
VRK1,4.837466331,4.679701456,4.665258292,5.311980776,5.338727378,5.308481225
CDK2AP2,5.587898726,5.570598878,5.716087791,5.811084552,5.544979913,5.642277756
FBXO36,2.2813008,2.307426059,2.220519801,2.386083645,2.285277395,2.136640691
SPATA9,1.851375035,2.036902241,2.261496958,2.428862639,2.556913059,2.453864245
OR1A1,0,0,0,0,0,0
AC007557.1,0,0,0,0,0,0
GIGYF1,4.950492215,4.913012251,4.966301396,4.909675078,4.865235669,4.946980976
MYBPC2,0.044125398,0.029224846,0.03718449,0,0,0.030656684
LOXHD1,0,0,0,0,0,0
PFN4,1.125575201,0.858969691,1.573359827,1.585978538,0.853123781,1.401171338
PRPF18,4.657714526,4.903195974,4.7957957,4.356413796,4.650260455,4.501120527
FAM197Y1,0,0,0,0,0,0
C21orf91,2.54904496,2.584998464,2.505118305,2.722289405,2.703032445,2.416187746
TECPR2,3.40834016,3.45979176,3.46320485,3.312275114,3.32964081,3.323374781
C15orf56,0.448738291,0.148156328,0.446139962,0.752130162,0.370229435,0.583673283
RWDD2A,3.161659461,3.296300879,3.324195569,2.531128015,2.540374362,2.459181141
PDPR,4.822091964,4.751373133,4.726329934,4.838130577,4.617915314,4.762230719
DNAJC19,5.517289954,5.556195495,5.387746526,5.79947739,5.776662806,5.705883655
P2RX2,3.399112466,3.145564609,3.465722018,2.31503431,2.056960701,2.388350159
BCL2L12,5.509172651,5.426163175,5.567745192,5.952558023,5.893843433,5.781719481
CLDN24,0.094101248,0,0.154880413,0,0,0
TPX2,5.848335738,5.8328006,5.845905688,6.403897319,6.397503985,6.451827857
AC005082.1,0,1.082219634,1.278304289,0,0.931078605,0
TMEM177,3.815537038,3.857929116,3.716105203,3.991145528,3.954899827,3.896312067
PGRMC2,5.952045592,5.851199358,5.828994783,5.341645664,5.588404117,5.396512792
TSPAN10,1.273257259,1.248510036,1.017266364,1.106697692,0.676434628,0.868050286
PAGE2B,0,0,0.161343616,0.312543361,0,0
DIABLO,6.934027787,6.940109795,6.941416401,6.824202681,6.851772749,6.906170393
GCSAM,0.675221064,0.65810793,0.97303997,0.322249327,0.4878625,0.531930911
CBLL1,4.808039903,4.889302522,4.694506588,4.672114125,4.794617621,4.579510837
ENPP6,0.020200717,0,0,0,0,0
BBS9,2.902293366,3.150904772,2.700560163,2.737874958,3.01152918,2.959118785
LCE1A,0,0,0,0,0,0
OGFRL1,2.415975426,2.265387917,2.308009852,2.262625968,2.196325267,2.298261026
AVL9,5.092890234,5.0735696,5.130270644,4.952941891,5.098828497,5.065362246
CASC4,4.937315288,5.167483963,4.891810049,4.795458733,4.705802928,4.861077649
ALG14,0.510743252,0.486370774,0.508444893,0.57207359,0.509512995,0.577460448
PPP1R17,0,0,0,0,0,0
ADPRHL2,4.629533992,4.694806029,4.741850978,4.822491966,4.841576063,4.886088847
AL137798.1,0,0,0.046024659,0.09256639,0.086585635,0.163488403
SRSF10,6.258093265,6.385901251,6.321679628,6.368638484,6.467374504,6.37741313
OR5I1,0,0,0,0,0,0
ARAF,5.463630973,5.555575705,5.504356644,5.61568832,5.562702524,5.667881852
AIMP1,5.704981102,5.892331839,5.733194204,5.619097818,5.876373974,5.861827603
BIK,5.038166848,5.159342823,5.045942725,4.146889561,4.214280768,4.357247003
ALDH7A1,5.503832742,5.890734802,5.502109684,5.327286558,5.366721623,5.498843571
PRRT2,3.126224566,3.387239567,3.265081241,3.18645138,3.144054004,3.29938563
HIST1H4C,0.325079613,1.221682474,0.191111439,0,0.856641803,1.261922464
ITPR3,4.17201509,4.20526772,4.203716811,4.662744995,4.597772253,4.672204847
MICAL2,2.445315847,2.499047694,2.309172094,2.769587188,2.639639644,2.385293177
CRYM,0.147332323,0.391369488,0.077633158,0.124739324,0.528782395,0.626673561
EXOC6,4.679067275,4.987502305,5.01741174,5.337011676,5.012304952,5.489201327
EMP2,7.599053621,7.767805383,7.550437656,8.030473268,8.1357015,8.022682403
REXO1L11P,0,0,0,0,0,0
RPS14,10.98843479,10.99340015,11.01029801,11.2804193,11.22975358,11.2250232
LDB1,5.397202425,5.463223157,5.472282499,5.610899773,5.408653584,5.478988812
TMEM192,4.176762768,4.108379122,4.174294977,3.922179605,4.198249659,4.123614696
SYNE3,0.8723351,0.940651558,0.846671856,0.958529107,1.023979758,1.076088576
CT47A9,0,0,0,0,0,0
CAMSAP1,4.373005165,4.323182205,4.307696228,4.509045961,4.512675656,4.404285368
RP11-345J4.3,2.448592361,2.351137793,2.648810676,2.674118523,2.381541368,2.454607753
ITGA2B,1.147816615,0.814681548,1.234011265,1.88798266,2.369129139,2.086139913
