hugo,MWV1,MWV2,MWV3,MWE1,MWE2,MWE3
CEP68,2.830402994,2.718464653,2.977404585,3.043026041,3.10448327,2.997506366
MAP4K3,5.038205782,5.036766705,5.044442165,5.118426302,5.174934349,5.165239904
ZBTB32,0.638150037,0.184556808,0.752353744,0.393655457,0.872004465,0.586900181
TMEM159,5.572040077,5.666576244,5.586046339,5.404868253,5.458791051,5.43827169
BRCA1,2.332565662,2.776569156,2.439440509,2.994646155,2.835444713,2.610851199
ERCC1,5.848023957,5.927956265,5.92427211,5.512371623,5.663477604,5.538724603
CD22,0.29768047,0.491028742,0.530761332,0.613395109,1.18712992,0.956772617
SEMA3B,2.893578579,2.9085488,2.823791907,4.427513707,4.476095583,4.48455747
MBTPS2,3.455481494,3.484187509,3.417387673,3.512754935,3.644949454,3.62254562
PRICKLE3,3.634457124,3.617289431,3.66793662,3.695318839,3.693413023,3.766898827
EXTL3,3.269980016,3.214401518,3.262327598,3.162939064,3.147637276,3.360656818
ELOVL5,5.331032682,5.374328233,5.37172647,5.593149813,5.600896187,5.57125219
CALCOCO1,4.142598624,4.133178224,4.123449097,4.257088712,3.981418163,4.181292498
UBR7,4.84281887,4.926649434,4.884866997,5.008491236,5.033578408,5.106806837
MAP4K5,4.701518728,4.879226128,4.884294454,4.864986055,4.888391164,4.790747697
EHD3,3.693971956,3.613341874,3.765768105,3.58467273,3.683246173,3.638143363
PSMC4,7.161853589,7.13320664,7.189987564,7.188456166,7.147186263,7.223973447
MAN2B2,3.867954171,3.919304801,3.965130607,3.941245314,3.794933584,3.818945327
SLC7A14,0.901341991,0.75818223,0.964593147,0.871017134,1.189854586,0.690498894
CLDN11,0.969766071,0.900061011,0.70928843,1.151150476,0.794670299,0.69706564
SLC25A39,8.384840745,8.376095949,8.368245312,8.569953974,8.551864256,8.565642663
MVP,4.805370605,4.921076802,5.067772204,4.776586363,4.794104679,4.737159335
NUB1,4.97936245,5.164647882,5.075680188,5.135146194,5.238342177,5.18803985
PGM3,5.508518628,5.256895734,5.575904083,5.274138598,5.122462055,5.241738879
RWDD2A,2.384132718,2.561927287,2.555313087,2.603824526,2.460787115,2.499578047
CLK1,4.718172597,4.58612965,4.519754997,4.520869635,4.578496299,4.618885708
POLR3B,3.167342672,3.229119971,3.088970942,3.31275229,3.413647424,3.340856332
ANGEL1,3.964010596,3.966706668,3.887314212,4.285526951,4.312544581,4.320683522
RNF14,5.586805355,5.691186009,5.624894948,5.626764145,5.602716479,5.63399295
DNASE1L1,4.508104644,4.594821955,4.503291993,4.508490657,4.464523383,4.489758322
DDX11,4.57893648,4.425221275,4.407948199,4.799584909,4.802722108,4.724642742
HEBP1,4.541472651,4.625320352,4.491326346,4.668405263,4.690767122,4.62640818
GPRC5A,8.220409455,8.084591962,8.222558991,7.990096746,8.043815029,8.023195278
MAMLD1,3.131656482,3.087630014,3.179418689,3.139692627,3.114199423,3.076525233
CD6,1.303131937,0.739177137,1.072742093,0.403562667,0.708469787,0.92089099
TACC3,4.361996815,4.447133162,4.45870576,4.801486434,4.759610147,4.612779346
UFL1,3.873184318,3.98485098,3.968015712,3.903222935,3.958249703,3.909642939
POLA2,3.817328754,3.803721044,3.68456731,4.314183299,4.134505179,4.348112142
ZC3H3,4.243915043,4.240535602,4.2663928,4.287023563,4.242524615,4.222367406
CAPN1,7.246899373,7.23878686,7.231450678,7.012520966,7.011546391,7.018102056
ACPP,0.428064759,0.486349857,0.451139882,0.352318114,0.461136296,0.59172039
MDH1,6.843356065,6.89628677,6.830290608,7.035804895,7.054333474,6.962151878
SLC30A9,5.629565286,5.694395221,5.616413279,5.57822866,5.665356356,5.530884464
