,TWV1,TWV2,TWV3,TWE241,TWE242,TWE243
CSE1L,8.633425764,8.795399978,8.779934969,9.510901489,9.563303839,9.537433955
CSE1L-AS1,0.049876268,0.050632018,0.097186689,0,0.039509781,0.082078874
CSF1,1.791743123,1.652194244,1.56129875,2.578450255,2.34522242,2.600247368
CSF1R,0.049876268,0,0.049411558,0.040198863,0,0.121431099
CSF2,0,0,0,0,0,0
CSF2RA,4.52483241,4.591554018,4.511693284,3.855780341,3.849025707,3.757881425
CSF2RB,0.471902806,0.40214038,0.903862561,0.19064996,0.077966324,0.303540032
CSF2RBP1,0,0,0,0,0,0
CSF3,0,0,0,0,0,0
CSF3R,0.233741691,0.362608392,0.231695053,0.19064996,0.039509781,0.082078874
CSGALNACT1,0,0,0.049411558,0,0.039509781,0
CSGALNACT2,4.55321013,4.739705484,4.724388729,5.198298452,5.260902801,5.088219522
CSH1,0,0,0,0,0,0
CSH2,0,0,0,0,0,0.04162307
CSHL1,0,0,0,0,0,0
CSK,6.497411066,6.415006595,6.457183439,7.166253812,7.222514142,7.165707838
CSMD1,4.054692714,4.510222526,4.389903735,4.249979461,3.633573686,4.184451276
CSMD2,0,0,0,0,0,0
CSMD2-AS1,0,0,0,0,0,0
CSMD3,0.049876268,0,0.143430317,0.117384743,0.115424326,0.082078874
CSN1S1,0,0,0,0,0,0
CSN1S2AP,0,0,0,0,0,0
CSN2,0,0,0,0,0,0
CSN3,0,0,0,0,0,0
CSNK1A1,7.741884051,7.873396038,7.838614147,7.347130156,7.304364999,7.292875944
CSNK1A1L,0.098085699,0,0.049411558,0.040198863,0.039509781,0
CSNK1A1P1,0.049876268,0,0,0.040198863,0,0
CSNK1A1P3,0,0,0.049411558,0,0,0
CSNK1D,7.817845933,7.700115773,7.731051834,7.37022811,7.394731477,7.352747801
CSNK1E,5.549500037,5.261591261,5.301278619,5.4816569,5.590121485,5.395634208
CSNK1G1,5.339949885,5.889782096,5.823847958,5.655894529,5.219574674,5.756718111
