,MWV1,MWV2,MWE1,MWE2
NINL,4.227656791,4.304641161,4.195493072,4.126816555
DERL3,0.161220443,0.239986759,0.072311833,0.147499166
ZBTB5,5.119166767,5.191119024,5.002058201,5.057204508
HAPLN2,0,0.084509627,0.206893763,0.147499166
UBE2C,6.458778209,6.332200837,6.429974637,6.374583411
CYP39A1,0,0,0,0
LOC101928650,0.235542107,0.164341623,0,0.075633777
KRTAP5-9,0.306221876,0.239986759,0.269751995,0.281307171
TSPAN16,0.499592803,0.239986759,0.072311833,0.147499166
UBXN4,7.366740756,7.666877449,7.288462155,7.644925947
ABHD14B,5.061593067,4.406648015,5.161802859,4.348841207
CROCCP2,3.687327993,4.091450615,3.720479129,3.410676834
CFAP69,1.274286972,1.018323428,0.983022896,1.3566467
C16orf95,1.64532752,1.521123876,1.345966425,1.054138305
PSD,2.686770403,2.801655368,2.998271179,2.492841139
SYT16,0.235542107,0,0.945010225,1.262686236
LOC645166,1.003586388,0.835321463,1.224289547,2.898956224
IMMP1L,3.157301027,2.433998579,2.960663415,3.111530645
ARHGAP5-AS1,1.003586388,1.551133434,1.159373027,1.162177309
CNIH1,7.996822443,7.367637642,7.832131898,8.290345396
LIPG,0,0,0.072311833,0
PBRM1,6.187559596,6.484789687,5.897147478,6.150252329
RAP2C,6.715672323,6.643813731,6.529656214,6.979503442
ORMDL2,5.303223461,4.972919893,5.269538255,5.334327141
NDRG4,4.167228882,3.618379661,4.35618983,3.853593505
AMIGO2,5.094416529,6.217585388,5.271459402,5.95629143
RPS14,10.50277886,9.741904728,10.0948185,10.66863605
PRDM15,5.051341437,5.188734704,5.327935473,5.066503565
MIR3911,0.235542107,0.311862404,0,0
CHRNB1,3.185698509,2.750840372,2.543895036,2.56021923
FAM153C,0.161220443,0.239986759,0.14117154,0
PPP1CA,8.065606382,8.018597391,8.026953342,8.317374087
TGFBI,1.589742373,1.984055714,1.635710641,1.3566467
LPP-AS2,3.267683702,2.557412348,2.960663415,2.37802952
PTPN4,4.633657283,5.19349941,4.601949839,5.1650225
PINK1-AS,2.699955932,2.977702917,2.922049004,2.733681322
USP43,4.366436134,4.065694533,3.849542637,3.425207137
PPRC1,5.74611573,6.249965899,6.466490726,6.534744724
IMPACT,5.536095121,5.179157823,5.480223734,5.132186746
SRP54,7.28378961,7.301867322,7.278943952,7.455302706
SHISA7,0.670082101,0.380326469,0.14117154,0.215953927
PEX16,4.31165686,4.339451014,3.929586408,4.104419511
TRMT6,5.069234265,5.346791925,5.417410837,5.591067269
FAM86B3P,2.377751498,2.368092769,3.428414006,3.446731826
LINC00926,0.306221876,0.883293799,0.983022896,1.294691174
TIMM13,3.896498805,4.055261958,3.948922195,3.972133768
ASIP,0.082861088,0,0,0.075633777
WASF1,3.660600234,4.35654596,3.609427654,4.44466823
VN1R1,0.722710708,0.785698927,0.693142732,0.853882458
LHX3,0,0.164341623,0,0
ALCAM,1.125867311,0.929722166,1.056169355,1.162177309
CWC15,5.225570801,4.745241278,4.91625114,4.978110483
XRCC6BP1,3.204324306,2.838625479,3.469160222,3.272865953
HIGD1B,0.373600059,0.239986759,0.443395519,0.7188649
ZNF93,4.584737706,4.896083375,4.861185032,5.054870349
FUK,5.096910748,5.069389747,5.006678856,4.680962113
TSSC4,4.104158854,4.223105195,4.352564558,4.113420095
ORC6,4.366436134,4.498069828,4.964550319,5.154160075
S1PR2,2.344552499,2.657365645,2.593882888,2.236905147
SIN3B,6.418466291,6.150558973,7.26551208,6.637371492
NAA50,8.094912425,8.047504913,8.465155633,8.325384927
MYRIP,0.306221876,0.734308604,0.206893763,0.281307171
TK2,2.47299693,2.130379825,2.543895036,1.774871204
RAPGEF6,6.090772473,6.11709509,5.672774285,5.768209113
SLC25A44,5.808316138,6.388344894,5.802000583,6.250547347
PHGDH,6.339572543,6.434357135,6.132025427,7.493723534
IGHMBP2,4.427161896,4.637471174,4.47432299,4.404900049
MEG3,0.082861088,0.164341623,0.072311833,0
RAC2,0,0,0.329985457,0.810265663
UBE2D2,6.73981281,6.759185412,6.831954603,7.100433586
MGC57346,3.319861459,3.553146026,2.011713278,2.169460757
TPT1,12.00919116,11.27297918,11.6218322,12.02729594
SNORA22,0.082861088,0.311862404,0.443395519,0.075633777
IDUA,3.879215004,4.282450622,4.059791593,3.56298722
SFRP5,0.161220443,0.084509627,0.269751995,0.075633777
SLC13A5,0.161220443,0,0,0.215953927
TPR,7.628748569,7.8968016,7.603404763,7.686229708
THBS4,1.917801603,1.427157569,2.862117515,1.473105284
ACOT1,2.184909003,1.821198148,1.81500434,1.819554703
RAET1L,0.822536472,0.380326469,0.82456593,0.670897133
MALSU1,4.548750852,4.431061316,4.670526917,4.590389101
SBF1P1,0.437971386,0.508216588,0.329985457,0.461284588
RPL7,8.843384291,8.779583545,8.914127119,9.015548229
KDF1,3.745714258,3.957809975,3.566258625,3.972133768
VSNL1,0.082861088,0,0,0
ZNF605,4.988253075,5.305573989,4.825015992,4.822154332
ST3GAL3,1.343137814,1.255517234,1.659379293,1.386654471
DNAJC1,6.179345213,6.778341003,6.06493415,6.570315949
FBXO21,6.714860642,7.070860816,6.703370437,6.734639233
PDCL3P4,0.558689664,0.445688194,0.496923616,0.765288989
MZT1,5.150720072,5.058983955,4.923599907,5.287379314
UCHL3,4.9936171,4.478682447,4.99509935,5.336250531
SNORA55,0,0.311862404,0.329985457,0.075633777
TTC19,5.941952039,5.729619048,5.900875518,5.622930939
RBM33,6.202691893,6.491576224,6.189037717,6.321199918
HUWE1,9.412795398,9.280371721,9.297049961,9.55676448
LINC00893,1.64532752,1.961885976,1.635710641,0.853882458
AKIP1,3.660600234,3.560541587,3.26831815,3.543140508
ENPP4,3.598588414,3.114627524,3.061814227,2.999477715
ATP5O,7.467037016,6.274907494,7.275597689,6.818899706
RPS26,3.258800948,2.333975337,3.547354722,1.606587877
CRYGS,0.373600059,0.508216588,0.387804595,0.670897133
MBIP,5.279265683,4.860574643,5.100443311,5.040785524
CYP4F11,4.31165686,4.27797126,4.542732329,4.835814271
CCZ1B,4.670963208,4.678834071,5.168003961,4.237986435
RNF112,0.373600059,0.445688194,0.206893763,0.075633777
TSHR,0,0.239986759,0.206893763,0.343827804
WDR87,0.373600059,0.084509627,0.14117154,0.215953927
ACBD6,5.089415118,5.413655656,4.999742311,5.385379293
TRNAU1AP,3.896498805,3.687561627,3.731686533,3.759258541
ZNF506,5.227848444,5.242601155,5.085233009,5.064184414
CGGBP1,7.135789533,7.296340968,7.005314069,7.397064807
SPRR2B,0,0,0,0
ATP6V0A4,2.3105715,1.551133434,1.159373027,0.343827804
FAM174A,3.195041466,3.553146026,2.979589837,3.190204879
MAFIP,2.3105715,2.711518965,2.410778464,2.661878198
MAPKAPK5,5.462570006,5.549937985,5.535627621,5.766783636
LCMT1-AS1,0.822536472,0.380326469,0.693142732,0.281307171
ZNF17,3.222712698,3.396667703,3.469160222,2.979925936
RNFT2,2.394068837,2.512360248,2.100846151,1.862895728
TMPRSS13,5.936392063,4.833357525,5.451702929,4.314129614
LINC01269,0.161220443,0.084509627,0.387804595,0.215953927
SYTL5,7.100800979,7.336743363,8.575791237,8.919871697
LOC101929719,0,0,0.14117154,0
ASXL2,6.389257185,6.450369716,6.460608873,6.576838167
COL25A1,0,0,0,0
RPS27,8.834630968,8.848042253,8.723620517,9.045541799
MIIP,3.204324306,3.492575753,3.435285461,3.320280738
TSPAN18,0.082861088,0.445688194,0.14117154,0.147499166
POFUT2,6.035935554,6.122101947,6.007307046,5.632354407
LINC01234,0,0.164341623,0.14117154,0.075633777
RSU1,6.426420983,6.476016967,6.571580609,6.469646312
RGS9,0.306221876,0.084509627,0.206893763,0.7188649
MKX,0,0.084509627,0,0
SNORA74B,0.082861088,0.311862404,0.14117154,0.075633777
ZNF358,4.462407131,4.793114643,4.35618983,4.557790265
TRMT2A,4.619848702,4.633970133,4.719198192,4.600026827
EN2,2.275770772,3.084163276,3.079466929,3.664458025
CTBP1-AS,1.502130401,1.326641954,1.705582599,1.262686236
PPIAL4G,0.869973177,0.56814712,0.945010225,0.977338425
SLC38A2,9.657573227,10.01265063,9.93719471,10.33360806
PCDHB3,0.773486835,1.141789486,0.329985457,1.606587877
GNPDA1,5.752457844,5.455908849,5.746451012,5.793629741
MAK16,5.169799965,5.25404979,5.638946536,5.943730657
HBQ1,0.082861088,0,0.072311833,0
MYO15A,1.502130401,0.883293799,1.159373027,0.765288989
PLAC4,0.722710708,0.445688194,0.072311833,1.09105761
CAMK2D,4.1860931,4.748482736,3.934444704,4.531170237
EML2-AS1,0.373600059,0.625687074,0.782074667,0.937348878
NOV,0,0,0,0
SH3GL3,1.003586388,0.734308604,0.738293844,0.810265663
SRCAP,7.870590708,8.299776359,7.883908175,8.208708494
SCG2,1.940198657,2.207779322,2.931799931,2.756842925
MAX,6.598227059,6.703487881,6.799036804,7.012354506
NFKBIA,5.989708974,6.284987882,5.842625762,6.151345215
XKRX,1.003586388,1.018323428,1.374847166,2.317005048
ZSCAN30,2.995616476,3.042517028,2.745326754,2.710141797
GLDN,2.813497569,3.257987116,2.756343515,2.710141797
C9orf91,5.074306006,5.269926766,4.91625114,5.057204508
GPR21,0.082861088,0,0.072311833,0
FLVCR2,6.661097067,5.789065302,6.164436209,5.245008095
PRR15,2.605021629,3.134585408,2.217047648,2.919628654
VASH2,2.725970877,3.371660266,2.410778464,2.422161471
PDE1A,0,0.164341623,0,0
CLEC4F,0.670082101,0.239986759,0.548536515,0.075633777
PDK1,3.473643557,3.653385292,3.400596149,3.736135999
NOL4L,4.530415105,5.087421214,4.652949121,4.912588502
TMEM181,5.827967243,6.140724413,6.093449977,5.97492989
SMYD5,5.298896989,5.553648735,5.936425106,5.965019352
PPAT,5.749290272,6.11332851,6.327515225,6.47402056
TFAP4,3.745714258,4.330826975,4.938186086,5.1650225
SEMA6B,1.408851962,2.316609213,1.856550395,2.436577137
TMEM173,0.869973177,0.625687074,0.548536515,0.215953927
NSD1,8.339639052,8.376679856,8.192244464,8.366197842
OTOS,0,0,0,0.075633777
SFPQ,8.553131298,8.688645438,8.722918685,8.796941256
ZNF44,4.123860317,4.605651675,3.909987946,4.262468588
GFPT2,1.962253318,1.771078867,1.793773867,1.656704665
STAG1,6.155614497,6.368468082,6.143609551,6.33953445
FGF2,0.082861088,0,0,0
SMAD5-AS1,0.235542107,0.164341623,0.206893763,0.403751207
EEF1A1,13.04491184,12.96911572,12.68916164,13.2594236
SARAF,7.931248323,7.765368418,7.760757136,7.852691229
C11orf94,0.373600059,0.239986759,0.269751995,0.215953927
PIK3R3,8.850977035,8.901254327,8.109281948,7.933050794
LOC100129697,0.61546071,1.360931201,1.682665899,1.79738594
CCER2,0.773486835,0.311862404,0.646532775,0.215953927
MYLK,2.457552981,1.521123876,2.232909408,1.965872738
PRKRIR,7.767508439,7.583573,7.940244694,7.961367113
MRPL52,5.270454172,4.761376223,5.113354283,5.299260274
PFDN4,7.971900831,7.174508869,7.614799152,7.490272707
NDRG1,4.988253075,4.339451014,4.090586191,3.523016958
RRAGA,6.865814708,6.524092782,6.828696417,6.459976026
PADI6,0.499592803,0.380326469,0.14117154,0.075633777
ANKRD27,6.261682114,6.413067238,6.343127418,6.365194372
TYW1B,2.47299693,4.482580822,2.294667998,2.169460757
LMTK3,3.861721625,4.14654566,3.40760106,3.138234941
HDAC9,0,0,0,0
THOC7,9.136282587,8.786498622,9.022617544,9.270543812
STARD4,4.399140974,4.286916119,4.635154512,4.811132486
CARS,4.87945901,5.570230005,5.018166162,6.237227662
