,t47d_01,t47d_02,t47d_03,t47d_04,t47d_17,t47d_18,t47d_19,t47d_20
MYCBP2,3.606821212,3.2384613,3.652165223,3.420877146,3.00859983,3.137480572,3.372006238,3.278915506
FBXL3,5.095886454,5.00096448,5.245423405,5.24913811,4.688711898,4.586428496,4.689847057,4.724006263
ITGAL,1.503725263,0.962502382,1.962830316,1.236057831,1.812149061,2.467031618,2.183229236,2.618271551
PDK2,4.235926144,4.029735566,4.054223347,4.565828671,3.813247616,3.767379368,4.085824028,4.191365246
ITGA3,3.276553241,3.27366955,3.717221268,3.983194284,3.353455979,3.262434661,3.383140235,3.149724361
ZFX,4.535717061,4.310420107,4.300614304,4.583061701,4.170189471,4.105611037,4.349393588,4.064348293
LAMP2,6.215701891,5.848282412,6.215410687,6.170245565,6.189899656,6.039640705,6.07713616,6.105512564
ITGA2B,1.070732786,0.868900072,0.917219393,0.780164772,1.841276755,1.438159755,1.264716569,1.433328049
ASB4,0.165994239,0.425319648,0.27126311,0.582898933,0.270560038,0.157505557,0.295284567,0.619163188
GDE1,5.843755265,5.422344025,5.795049993,5.756769792,5.599680802,5.580558572,5.630373435,5.708189996
C19orf60,3.755517876,3.48994106,3.810072871,3.846342871,3.786512725,3.791115992,4.03794443,3.868548494
CRLF1,2.402206447,1.654045942,1.708558072,2.532882953,2.884457259,2.757411612,2.854165249,2.751000888
OSBPL7,3.090424961,2.545026852,3.367826729,3.412781525,2.531002099,2.356152263,2.957149415,2.776072396
TMEM98,1.610180334,1.547104291,1.775632139,1.432986124,2.201251183,2.599543941,1.882729119,2.228963337
YBX2,2.275442175,2.297787157,2.485151143,2.651625784,2.622183047,2.719220685,2.694425589,2.872302794
KRT33A,0.126877334,0.111798542,0.062445453,0.059398752,0,0.313509403,0.184158398,0.067353316
MAP3K14,1.516116031,1.478749238,1.646148829,1.693230456,1.435473916,1.458066971,1.634978865,1.613885211
ABCC8,0.951709382,0.707848102,0.979857067,1.049135845,0.381896872,0.242711028,0.095978145,0.310770538
CACNG3,0.026928781,0.023555288,0.025833643,0,0.025586765,0,0,0.028012617
TMEM132A,7.447141098,7.212705509,7.498434385,7.546670709,6.824971465,6.809208624,7.132227231,6.862810904
AP2B1,5.425019474,5.429482065,5.489115793,5.768221384,5.681274962,5.451405656,5.779096843,5.629799561
TAC1,0,0,0,0,0,0,0,0
ZNF263,4.335661895,4.1696685,4.323463748,4.453853357,4.107051738,4.280659432,4.315537249,4.197314999
CX3CL1,0.220042626,0.263126976,0.203929056,0.412610288,0.295779438,0.268010326,0.385478528,0.321699554
SPATA20,4.616345933,4.289694319,4.690076217,4.864191098,4.485182063,4.41072778,4.525260827,4.556073756
CACNA1G,0.245721998,0.09520583,0.31911961,0.374051247,0,0.174529141,0.218298846,0.365160596
TNFRSF12A,5.763759458,5.609187605,5.918736847,5.993794355,6.428194327,6.519431824,6.494599616,6.461780642
DLX6,0.039044879,0.049241954,0,0.10581376,0.060289266,0.034659022,0.038523275,0
MAP3K9,2.147007056,1.94156835,2.221375994,2.261374352,2.253399365,2.155745995,2.451495995,2.171703229
RALA,5.188452358,5.008280703,5.350352263,5.374455282,5.321599844,5.293694186,5.338456506,5.236630376
BAIAP2L1,3.885584125,3.670636423,4.084191856,3.969086007,3.84000996,3.722094373,4.001270815,3.933431005
KDM7A,2.612416198,2.422671664,3.074567089,2.801613954,2.750201293,2.593380067,2.700823646,2.912521492
ETV1,0.601114568,0.150505087,0.222871317,0.026104991,0.557142432,0.182207928,0.506535934,0.614197214
AGK,3.728921827,3.703045313,3.801872582,3.807457968,3.504823754,3.592588593,3.871301551,3.606513295
ALDH3B1,2.304324122,1.687862461,2.238792973,2.194232071,2.387056432,2.130986864,2.472908821,2.255222742
TTC22,0.159981744,0.168652304,0.109751555,0.360874397,0.102271659,0.192230785,0.253482268,0.253228097
PHTF2,4.182469838,4.060514368,4.473130992,4.34202843,4.603834019,4.430947583,4.744591687,4.609796323
CCL26,0,0,0,0,0,0,0,0
FARP2,2.770425246,2.752314005,2.839117098,3.055186976,3.616592951,3.19942736,3.034738668,3.433129048
USH1C,0.299350174,0.074533934,0,0,0.103680521,0,0,0.091510147
GGCT,7.471715853,7.411375398,7.646205868,7.641950574,7.582714053,7.529961462,7.565810396,7.47745877
DBF4,3.491763326,3.473280386,3.839304584,3.73415682,4.816205446,4.853566566,4.825180138,4.742895491
TBXA2R,0.740450971,0.670281999,0.819550474,1.027939604,0.558845576,0.486076924,0.598891112,0.868440238
IFRD1,4.222209497,3.995674454,4.08207238,4.319256637,4.192273085,4.408766199,4.464700936,4.515441234
LGALS14,0.450962584,0.138962531,0.842460776,0.54116292,0.120843329,0.217191003,0.259899151,0.627209926
COX10,2.535557822,2.371544923,2.52210347,2.613581156,2.563970791,2.684423793,2.682546331,2.659235005
GTF2IRD1,2.930865992,2.858538066,2.983768886,3.103908821,2.790173571,2.567289887,2.839919288,2.760429616
PAF1,4.363472483,4.128944975,4.353605591,4.513838113,4.434681598,4.402538009,4.491198926,4.536208355
VPS41,6.185616826,6.086512047,6.267678113,6.36458819,6.01596582,5.898268826,6.112658436,6.010399425
ARHGAP44,2.043313005,1.595408178,2.164223118,2.136398127,1.40504477,1.408853135,1.899937389,1.617796851
ELAC2,4.598198438,4.694233899,4.800915427,4.865399232,4.970264679,5.076011739,5.345080521,5.024164514
SCIN,2.93762311,2.846403051,3.200341129,3.022525835,2.827565007,2.807369349,2.939856561,2.61820106
ARSD,4.540089282,4.361852561,4.696772836,4.68500383,4.218602951,4.08763256,4.329317378,4.155214922
PNPLA4,2.07631281,2.692302207,2.699882508,2.849430874,2.594909178,2.639232163,2.924151206,2.724091419
MYH13,0,0,0,0,0,0,0,0
ADIPOR2,4.550488231,4.410659949,4.76044452,4.798636393,4.587455007,4.551177606,4.731509115,4.569241953
CDKL3,2.607301903,2.039113822,2.30332778,1.764367389,1.349778549,1.782018481,1.89149307,2.015419067
UPP2,0.234935351,0.040009926,0.115917239,0.097583695,0.222982569,0,0.119279541,0.163105802
PRSS21,0.423044557,0.492048007,0.521911071,0.125094016,0.185995906,0,0.564933188,0.430700624
MARK4,1.866975217,1.889142522,2.243297393,2.793115555,2.092440876,2.071845028,2.350777272,2.34704196
