,TWV1,TWV2,TWE1,TWE2,TSV1,TSV2,TSE1,TSE2,TGV1,TGV2,TGE1,TGE2
LRFN4,2.92780136,3.118205823,3.425190673,3.501018118,4.25610202,4.169854205,4.255542951,4.377431028,3.492255554,3.516363957,4.039882673,3.926944188
SOX13,8.334283035,8.275711429,7.965786366,7.760380937,6.41304309,6.534699373,6.124424579,6.320489991,6.852120491,6.900521277,6.425705338,6.491537774
NFIB,8.130866593,7.767760834,8.329055164,7.795649006,7.978848161,7.409949338,7.819471866,7.271730049,8.794159314,8.849705164,8.842658324,8.719290545
RENBP,0.063451273,0.102827024,0,0.103698884,1.747052179,2.0541754,1.643552442,1.777265799,0.694298111,0.65640724,0.432251316,0.237937441
MAML2,4.569920152,4.972685944,4.288346802,4.608857216,3.798798311,4.252594403,3.502165706,3.781862737,4.672749421,4.707892381,4.076854209,4.025541792
MYH9,9.686963961,9.259102505,9.623934631,9.357959807,9.049710767,9.064314842,8.95258956,9.109168033,9.825570585,9.883440493,9.863080388,9.657106632
ELF3,6.592464627,6.388494908,5.814452799,5.62110227,5.132084385,5.297065099,5.073818008,5.080193025,6.036628088,6.318115627,5.269526783,5.642424003
CORO1B,8.36844423,8.58638191,8.089142368,8.362363677,7.569062507,7.758941042,7.661931238,7.573724166,8.257961859,8.135956769,8.09653698,8.070831234
HDAC9,5.033140047,4.401298048,4.527256614,3.592988478,1.927592498,3.372446324,1.709222255,2.61097522,4.293931606,5.167087022,3.601694954,4.391806074
INHBE,0.292561349,0.052329433,0.060623375,0.103698884,0.562972955,0.349568307,0.713882909,0.44609965,0.149358158,0.051037286,0.208219002,0.237937441
UTRN,7.660975451,7.617931597,7.87586497,7.851182129,7.645208686,7.524482958,7.28692066,7.480790322,8.078463103,7.917215521,8.076554344,7.742473541
FBXO32,9.550115369,9.174664591,8.684728952,8.008719312,8.005386995,6.859485518,7.135704863,5.979731689,9.029666901,8.761001497,7.720770118,7.500383822
LACTB,4.013675523,4.34209671,4.138208904,4.413325243,4.810316186,4.740851051,4.849006023,4.773099634,4.588047943,4.865892067,4.528939901,4.792673837
NELFCD,8.148347773,8.030588502,8.035641343,7.971078914,7.623111336,7.775283434,7.817798177,7.760333601,8.162880608,8.141670588,8.226922652,8.196295806
SULT2B1,4.840563094,4.992909259,4.645766602,4.735335746,4.096702505,4.303562302,4.452477776,4.107133405,4.739068459,4.661432591,4.647629773,4.55476285
P2RY2,7.070431811,6.773635104,6.970064827,6.849513461,5.696644501,5.699414978,5.783927334,5.690887153,6.434887394,6.405280829,6.375329637,6.225525985
