,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
BTF3,9.552822772,9.83575042,9.71015208,9.59684199,9.785043715,9.760054574
BTF3L4,6.045268215,6.159064009,6.012568674,5.72492307,5.46760555,5.716716592
BTF3L4P1,0,0,0,0,0,0
BTF3L4P2,4.117695043,4.777682717,4.513490746,3.019701914,2.875780063,3.730096466
BTF3L4P3,0,0,0,0.084064265,0,0
BTF3L4P4,0,0,0,0,0,0
BTF3P10,0.333423734,0.669026766,0.454175893,0.485426827,0.411426246,0.454175893
BTF3P11,0,0,0,0,0,0
BTF3P12,0,0,0,0,0,0
BTF3P13,0,0,0.124328135,0,0,0
BTF3P14,0,0,0,0,0,0
BTF3P15,0,0,0,0,0,0
BTF3P2,0.070389328,0,0,0,0,0
BTF3P4,0,0,0,0,0,0
BTF3P5,0,0,0.137503524,0,0,0
BTF3P6,0,0,0,0.22650853,0,0.097610797
BTF3P7,0,0.137503524,0,0,0,0.097610797
BTF3P8,0,0,0,0,0,0
BTF3P9,0.35614381,0,0,0,0,0
BTG1,5.515384461,6.062639828,5.759422186,5.693486957,5.307792796,5.63197732
BTG2,2.548436625,3.365972428,2.910732662,4.174725988,4.050501697,4.032100843
BTG3,0.956056652,1.269033146,1.232660757,0,0,0
BTG4,0,0,0,0,0,0
BTK,0.042644337,0.070389328,0.042644337,0.056583528,0.176322773,0.124328135
BTLA,0,0,0,0,0,0
BTN1A1,0,0,0,0.028569152,0.028569152,0
BTN2A1,3.67468662,3.282439805,3.277984747,3.963474124,3.030336078,3.370164281
BTN2A2,2.684818738,2.531069493,2.195347598,1.709290636,0.941106311,0.948600847
BTN2A3P,1.298658316,0.659924558,0.678071905,1.941106311,0.86393845,1
BTN3A1,1.257010618,0.879705766,0.443606651,2.124328135,1.049630768,0.992768431
BTN3A2,1.333423734,0.678071905,0.485426827,1.15704371,0.879705766,0.678071905
BTN3A3,0.757023247,0.454175893,0.367371066,0.650764559,0.250961574,0.389566812
BTNL10,0,0,0,0,0,0
BTNL2,0,0,0,0,0,0
BTNL3,0,0,0,0,0,0
BTNL8,0,0,0,0,0,0
BTNL9,1.480265122,0.773996325,0.97819563,0.526068812,0.286881148,0.40053793
BTRC,3.374343989,3.397802962,3.310340121,3.307428525,2.794935663,3.114367025
BUB1,4.567423758,4.666756592,4.608809243,3.938285792,3.263034406,3.786596362
BUB1B,4.646738698,4.663344619,4.437627248,4.424922088,4.213347282,4.344828497
BUB1P1,0,0,0,0,0,0
BUB3,7.582706527,7.591559746,7.641907236,7.221683781,6.888134388,7.108106224
BUD13,3.690417096,3.973611276,3.842978832,3.418189948,3.012568674,3.502075956
BUD31,6.417008587,6.704457019,6.800641097,8.213979052,8.558191088,8.454011343
BVES,0.070389328,0.150559677,0.097610797,0.014355293,0.042644337,0.028569152
