gene_id,MCF7_1,MCF7_2,MCF7_3,FulR_1,FulR_2,FulR_3
PLEKHA3,4.500802053,4.185073638,4.076388069,4.374343989,4.058316496,4.181102551
PLEKHA4,3.786596362,3.825785627,3.90303827,2.790772038,2.833902077,2.726831217
PLEKHA5,3.817623258,3.462052319,3.488000771,3.887525271,3.57167681,3.544732656
PLEKHA6,4.227278994,4.240314329,4.234961095,4.49057013,4.546585829,4.443606651
PLEKHA7,3.689299161,3.560714954,3.691534165,3.538538164,3.516015147,3.452858965
PLEKHA8,3.189033824,2.666756592,2.914564523,3.568032105,3.509695842,3.349082146
PLEKHA8P1,2.283921772,2.09085343,1.906890596,1.883620816,1.438292852,1.411426246
PLEKHB1,4.9795681,5.273888824,4.963474124,4.731183242,4.811984719,4.703765179
PLEKHB2,6.632122775,6.429950657,6.500005292,6.178316272,6.052241981,6.05115455
PLEKHD1,1.063502942,1,1.150559677,1.182692298,1.15704371,0.98550043
PLEKHF1,2.722466024,2.885574364,2.503348735,2.733354341,2.794935663,2.684818738
PLEKHF2,6.316688823,5.658497137,5.961623328,6.452694264,6.045486656,6.197511592
PLEKHG1,0.321928095,0.22650853,0.22650853,0.056583528,0.056583528,0.070389328
PLEKHG2,3.555816155,3.590961241,3.592158002,4.230356745,4.093391153,4.049630768
PLEKHG3,4.137503524,4.231893162,4.060047384,4.309612772,4.206330648,4.163498732
PLEKHG4,2.752748591,2.857980995,2.875780063,3.758089934,3.928844037,3.813524689
PLEKHG4B,0.22650853,0.321928095,0.23878686,0.070389328,0.163498732,0.056583528
PLEKHG5,2.754887502,2.969012308,2.97819563,2.341985747,2.370164281,2.416839742
PLEKHG6,2.718087584,2.757023247,2.786596362,2.150559677,2.073820233,1.970853654
PLEKHG7,0,0,0,0,0.056583528,0
PLEKHH1,2.813524689,2.895302621,2.691534165,3.220329955,3.204766751,3.129283017
PLEKHH2,2.89917563,2.592158002,2.726831217,4.532940288,4.324810603,4.487357715
PLEKHH3,5.412104045,5.395405605,5.515069014,5.048323387,4.976363636,4.938285792
PLEKHJ1,6.033423002,5.973611276,6.102448178,5.368768349,5.4747605,5.398145117
PLEKHM1,3.780310099,3.883620816,3.794935663,3.621758857,3.613531653,3.699329526
PLEKHM1P,3.911691582,4.12763328,4.09423607,3.964398632,4.153805336,4.155425432
PLEKHM2,4.861459166,4.996840648,4.964398632,4.558879853,4.525442506,4.475084883
PLEKHM3,2.456806149,2.232660757,2.140778656,1.89917563,1.914564523,1.691534165
PLEKHN1,2.974529312,3.112700133,3.263034406,3.158660175,3.077242999,3.228049048
PLEKHO1,2.794935663,2.972692654,2.765534746,2.910732662,2.601696516,2.788685711
PLEKHO2,2.163498732,2.319039816,2.298658316,2.582556003,2.521050737,2.372952098
PLEKHS1,0.367371066,0.378511623,0.214124805,0.214124805,0.124328135,0.176322773
PLG,0,0,0.097610797,0.028569152,0,0.070389328
PLGLA,0,0,0,0,0,0
PLGLB1,1.575312331,1.350497247,1.608809243,1.459431619,1.257010618,1.316145742
PLGLB2,0,0,0,0,0,0
PLGRKT,5.015247774,4.884109451,4.6622055,4.997744026,4.710393192,4.839455765
PLIN1,0.748461233,0.687060688,0.678071905,0.485426827,0.59454855,0.40053793
PLIN2,2.56315813,2.448900951,2.702657543,2.565597176,2.424922088,2.5360529
PLIN3,6.085764554,6.285217246,6.130313146,6.269968201,6.33217085,6.235344128
PLIN4,0.389566812,0.344828497,0.432959407,0.555816155,0.50589093,0.464668267
PLIN5,0.992768431,1.411426246,1.111031312,0.485426827,0.604071324,0.565597176
PLK1,6.505732174,6.710117632,6.603477988,6.646162657,6.747655933,6.698774109
PLK1S1,3.078951341,2.957914599,2.786596362,2.956056652,2.879705766,3.030336078
PLK2,7.82597638,7.57038703,7.62029315,7.918445868,7.718156099,7.754018952
PLK3,2.408711861,2.448900951,2.613531653,1.859969548,1.948600847,1.735522177
PLK4,4.003602237,3.543495883,3.642701572,4.043519494,3.711494907,3.773996325
PLK5,0.124328135,0.163498732,0.23878686,0.214124805,0.201633861,0.286881148
PLLP,3.704871964,3.997292408,3.600507645,2.042644337,2.475084883,2.182692298
PLN,0,0,0,0,0,0
PLOD1,5.17512535,5.211012193,5.252097703,5.404971224,5.449561375,5.349082146
PLOD2,5.888743249,5.198494154,5.51412226,4.504620392,4.079804755,4.106850796
PLOD3,6.299208018,6.395234212,6.3675458,5.763677142,5.722739236,5.72955277
PLP1,0.111031312,0,0,0.070389328,0.070389328,0.189033824
PLP2,7.626877135,7.858167538,7.691883072,7.890507493,8.055228198,7.967687386
PLRG1,4.669026766,4.401220862,4.529820947,4.22650853,4.01346226,4.152183419
PLS1,3.964398632,3.6622055,3.656496371,3.723558561,3.450221496,3.694880193
PLS3,0.163498732,0.214124805,0.028569152,0,0,0
