"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"CELF3",4.323514187,3.731291874,3.98194396,4.012658057,3.837842351,5.105259019
"CELP",4.987138926,4.823239844,4.780362598,4.532192261,4.382252228,5.116198385
"CELSR1",6.429866991,6.501168415,6.240695944,6.661535847,6.546601262,6.172327492
"CELSR2",6.600834683,6.551869727,7.2851525,7.90089699,7.93838578,7.900190575
"CELSR3",5.440985409,5.667125738,5.396399279,5.826370523,5.627490111,5.784870368
"CEMIP",3.591679417,3.228049048,4.190298792,3.691422497,3.721482033,3.527320608
"CEMIP2",6.30242873,6.536068446,6.493615314,6.38486144,6.581983869,5.812908899
"CENPA",5.842576631,6.320105542,6.288672318,6.587860007,6.054609744,6.328603127
"CENPB",8.523067905,8.386629909,8.754473336,7.613141165,7.673888511,7.585420784
"CENPBD1P1",6.715852197,6.312665174,6.449858467,6.402619864,6.578968895,6.475457834
"CENPC",4.620879611,5.404255998,4.768184325,4.932202939,4.497803946,4.037294357
"CENPE",4.666756592,4.322360838,4.416637102,4.799398198,4.625445847,5.258556612
"CENPF",5.694685221,5.981167667,5.839884025,6.489189668,6.480442863,6.207873335
"CENPI",4.540151292,3.746420266,3.15849861,4.409594596,3.999278472,4.074419804
"CENPM",7.1335738,7.358976402,6.961692776,6.905471248,6.981624361,7.160042836
"CENPT",5.971428594,5.7465815,5.953870504,5.988525641,5.883767424,5.654893757
"CENPU",7.088300634,7.575728316,7.496566208,7.643596481,7.593973686,7.645766495
"CENPX",10.15044036,10.04274419,10.02230677,10.00797333,10.02768488,10.08117849
"CEP104",6.788998852,7.260260941,6.944190811,7.403267722,7.245647774,7.294969894
"CEP112",4.54664756,5.049238678,3.371976974,4.050240474,4.512353322,4.293444059
"CEP131",4.821608182,4.53822774,4.401220862,4.715124607,4.422367574,4.777630121
"CEP135",5.047102094,5.753738232,5.562456141,5.87592747,5.771463058,5.539562089
"CEP152",4.519479002,2.393965276,2.818850561,3.638653116,3.773468928,3.999368683
"CEP162",3.247623756,3.326249701,3.747065094,3.783875677,2.918767849,4.08006068
"CEP164",5.108022563,4.933478218,4.822628187,5.116780603,4.738767837,4.7388759
"CEP170B",7.088459654,7.281049077,7.140328766,7.425350199,7.229780167,7.167096954
"CEP192",4.539717166,3.860863504,4.343834172,4.05476167,4.140369671,4.190772869
"CEP250",6.183585761,5.393450524,5.487647126,5.862426594,5.723121646,5.953265239
"CEP290",5.240466987,5.66783537,4.882300674,5.414135533,5.35198161,5.403267722
"CEP295",1.358958826,1.526068812,0.753604536,0.574343754,1.108357178,0.670840336
"CEP350",6.176781521,7.617629082,6.194421992,6.512669363,7.393999586,6.367248739
"CEP41",1.473527177,2.523060062,2.611880567,1.357833479,1.010063683,3.051024003
"CEP55",6.0742057,6.309048825,6.759209108,6.475603745,6.739672615,6.427019456
"CEP57",5.41849357,5.609341286,5.229857057,5.675900594,5.771410235,5.300599662
"CEP68",5.896392956,5.904195048,5.750847648,5.862426594,5.565962677,5.425056411
"CERK",5.444700192,5.537948301,5.584511588,5.276533886,5.473332346,5.481718719
"CERNA1",1.341985747,0.887525271,1.632733526,1.02644598,2.803433711,1.253384236
"CERS6",7.651467931,7.993481899,7.833313902,8.828729946,8.963445224,8.735000839
"CES1",4.564926849,4.011585089,5.070646929,4.98622888,4.901687522,5.388602858
"CES1P1",4.84317989,5.032894284,5.061646608,4.424183089,4.797012978,4.887963861
"CES2",7.498051366,7.292468886,7.144280952,7.335890521,7.235861062,7.196233261
"CES3",4.551885103,4.259573802,4.84000996,4.202652797,4.728355919,4.099211031
"CETN1",4.639347945,3.635406153,4.493519248,4.6441447,4.824513297,4.949254771
"CETN2",8.724766217,8.416501993,8.281090818,7.7822775,7.906487787,7.681357899
"CETN3",6.6662169,6.75033852,6.388103414,6.568928949,6.359240026,6.49989371
"CETP",3.63505783,3.39848719,2.324234562,3.187609409,3.421694581,3.484911487
"CFAP20",6.950153432,7.303525058,7.465280694,7.514035443,7.506097286,7.390375348
"CFAP298",7.66711864,7.770049357,8.010595239,8.212540158,7.928867718,7.876952759
"CFAP410",7.008372594,7.341941285,6.855616023,6.421324301,6.659282393,6.613767368
"CFAP70",0,0.393965276,1.602171791,2.868686765,2.114033801,3.915903274
"CFAP74",5.683247296,5.093517922,4.562486669,5.358607249,5.149909668,4.619178216
"CFB",5.002252452,4.840664643,4.588864518,4.844586516,4.840161067,5.320123598
"CFD",5.534684178,6.037140581,5.399991351,5.227356018,5.285920016,5.418628493
"CFDP1",7.73834226,7.603537333,7.538010403,6.714039404,6.747414255,6.632529971
"CFH",3.2880632,2.252778952,2.390392546,2.741790545,3.631802755,1.825785627
"CFHR2",2.075874867,1.431890348,2.632035504,2.033511102,2.72377697,2.321350901
"CFHR4",0.601221086,3.571434116,0.822934048,2.099295204,1.850399397,2.356707253
"CFHR5",2.536798929,2.614709844,0,0.493647334,2.100304906,1.21971064
"CFI",3.386948865,2.983495294,3.174725988,2.895302621,3.196607044,2.347949066
"CFL1",13.10419986,13.04761848,12.88992371,12.95601344,12.97679125,12.95728545
"CFLAR",7.453204775,7.271388323,7.501486916,7.271369647,7.12239318,7.797421597
"CFP",0,1.341416524,0,1.833092483,0,0
"CFTR",3.586164246,4.066778074,3.932817103,3.478713002,3.127303106,4.086698859
"CGA",5.049412953,5.324666615,5.430787051,4.353676158,4.906650126,4.193140919
"CGGBP1",6.949453225,7.353799641,7.090959258,7.125351473,7.475506472,7.406936268
"CGREF1",5.023432795,5.079079386,5.476835294,6.250544768,5.479521606,5.47043925
"CGRRF1",5.760194328,6.009503939,5.85551636,5.159629186,5.104839838,4.958425115
"CH25H",3.933667052,3.293076147,3.826701011,2.708628697,3.411019413,3.516267344
"CHAD",3.580507319,3.236186444,1.914181795,1.425459305,0.814755483,2.703986604
"CHAF1A",6.168722254,6.491259866,6.536581377,6.359591448,6.261192291,6.20033956
"CHAF1B",5.445594291,5.780651308,5.527664662,6.067402091,5.938121091,5.917622702
"CHCHD2",11.36218439,11.44229092,11.33948984,11.28475471,11.30677944,11.35210193
"CHCHD3",8.384019578,8.520304376,8.618785584,8.746524398,8.929731831,8.88704998
"CHCHD7",3.608572716,4.393965276,5.239130681,4.046665668,4.567119488,5.455557376
"CHD1",7.504938132,7.570956193,8.362246313,7.454200574,7.157458102,7.64106187
"CHD1L",8.145871024,8.115147718,8.083144211,8.271491041,8.375695448,8.248036661
"CHD2",3.576038337,4.291014101,4.513743385,4.64973041,4.053893309,4.631278932
"CHD3",7.871233774,7.810308134,7.455302559,8.386315193,8.239340754,8.100793726
"CHD4",7.995348836,7.647818156,8.124503911,7.578659503,7.755261486,7.329939816
"CHD5",3.077413924,3.481428117,3.869575337,3.60928218,3.802710219,3.516645558
"CHD7",4.560531549,4.864532845,5.198336989,5.565292521,5.707966455,5.518723961
"CHD8",7.267488981,7.150975935,7.318615112,7.120289725,7.017298387,6.584361253
"CHD9",5.576582602,5.125444468,5.540988167,5.885208276,6.193732325,5.650161396
"CHEK1",6.315801685,6.042140882,6.133501878,6.052763657,6.363924475,6.274578497
"CHEK2",4.95144792,4.595563334,4.788424707,5.222456826,5.483170853,5.054023596
"CHERP",6.62801531,6.501279899,6.85939812,7.586344421,7.408397681,7.276394304
"CHFR",7.088300634,7.019868678,6.87740071,6.776117151,6.819885287,6.576219781
"CHGA",4.427472087,5.211245872,4.823239844,5.244164009,5.354945763,5.824335082
"CHGB",3.255047459,2.51903861,2.621055503,3.67253849,3.576159302,3.618708512
"CHI3L1",3.728464765,4.592457037,4.164303583,3.694434504,4.627490111,4.091699834
"CHI3L2",3.652830636,3.079634112,4.30910341,4.179351804,3.959120982,4.495823055
"CHIT1",2.617063344,4.004231704,1.934327778,1.769348599,3.224194664,3.497740089
"CHKA",6.346407355,6.12985998,6.525818322,6.305240966,6.20139862,6.399991351
"CHKB",6.229241819,6.249464304,5.567393334,5.83362383,5.626380727,6.015448506
"CHL1",1.123003954,2.312084262,2.190298792,1.641546029,2.232353768,3.104504405
"CHM",2.64038956,2.9721412,3.304803056,3.473527177,3.591440065,3.816702094
"CHML",0.510961919,3.614709844,3.355157256,3.267236142,3.729661526,3.207268173
"CHMP1A",8.890881357,9.01341201,8.717628447,8.715467855,8.579840116,8.342203593
"CHMP1B",8.86987449,8.108822374,8.499754221,7.92677039,8.302364751,8.478166938
"CHMP2A",8.474878097,8.562055396,8.364226599,7.76175067,7.725604841,7.668615562
"CHMP2B",7.153744547,7.5830301,7.391561527,7.697447186,7.670550035,7.673167715
"CHMP5",7.926746674,7.881438263,7.669820483,7.557080719,7.803685557,7.453550502
"CHMP6",6.00351229,6.131424859,6.232488083,6.135350171,5.944694494,5.87892148
"CHMP7",6.173946914,5.595235099,6.185113294,6.00726279,5.959376049,6.001487013
"CHN1",6.360241354,6.330235694,6.367091446,7.018100008,6.973771974,6.967087892
"CHN2",5.367650631,4.8493488,5.187728164,4.918577055,5.639174269,5.197000396
"CHORDC1",5.182851176,5.267947724,5.691394579,6.310794527,6.379170396,5.884988578
"CHP1",10.22548462,10.34743313,9.985321107,9.813559961,10.06810916,9.755717147
"CHP2",3.095755674,0,1.327687364,2.023255352,0.001441974,0.720716243
"CHPF",8.099673925,7.948191995,8.012842393,8.539697782,8.374783026,8.397999711
"CHRD",4.92376721,5.694295198,4.668459557,5.055239046,5.195386973,5.298768273
"CHRDL1",4.005669457,2.480782124,1.053111336,2.399991351,2.089159132,3.654206378
"CHRM3",5.010153222,4.540151292,3.614003045,4.723558561,3.606442228,4.136601557
"CHRNA1",3.466105019,3.605968359,3.445196982,3.858378925,3.550900665,4.284884235
"CHRNA2",4.904195048,4.694211608,4.388396212,4.742760787,4.891467794,4.250658454
"CHRNA3",4.066691982,3.679311189,3.872237774,3.981578698,3.209609324,3.970577602
"CHRNA4",4.802710219,4.667721852,3.474565835,4.395885395,4.63784206,3.472747693
"CHRNA5",4.955126781,5.425828525,6.011093045,5.32628566,5.414778242,5.544825371
"CHRNA6",5.945841766,5.614297587,5.728056551,5.827565007,5.32574618,6.108754433
"CHRNB1",5.922340588,5.753711494,3.093053048,5.419370343,5.308120561,5.345502828
"CHRNB2",3.99385548,2.753390598,4.333924583,4.457462965,4.58369959,3.878725341
"CHRNB3",4.418932023,4.232353768,5.173926932,3.917145288,4.280807881,4.825531251
"CHRNB4",2.520045024,2.771040414,2.760220946,2.689970025,2.677620992,2.795351365
"CHRND",4.294253136,1.048236186,0,2.63691458,3.394514142,3.046141782
"CHRNE",0.84317989,3.111031312,2.717868313,2.317593505,2.14208663,2.503603156
"CHST1",2.215057281,2.482848283,4.125981654,4.578334949,3.521678952,1.695993813
"CHST10",5.579270676,5.213036155,6.029099457,5.332636334,5.436628267,5.388671733
"CHST15",7.342456965,7.24349772,7.162240253,6.877069362,6.523201237,6.734425117
"CHST2",3.645355813,4.941622809,2.976363636,4.267685603,4.069358463,4.44168266
"CHST3",4.437094545,4.51916445,3.470406711,4.022989148,4.038436182,3.343692069
"CHST7",2.659011171,2.038787331,3.539282909,3.10400111,2.441217863,3.163820726
"CHSY1",6.393553489,6.905013872,7.478680649,6.777117204,6.643610911,6.03621758
"CHTOP",8.108357178,8.172327492,8.09318513,7.6662169,7.748877129,7.487743583
"CHUK",4.850849419,5.460218329,5.279768422,5.848723081,5.650735843,5.396844497
"CIAO1",7.5347153,8.008966381,7.830635625,7.713379641,7.530476568,7.598335427
"CIAO2B",9.015852673,9.22666988,8.965928547,9.107193532,9.125609777,9.150567292
"CIAO3",6.218955489,6.381214144,6.132576843,6.111678209,6.169604367,6.11353382
"CIAPIN1",7.764977716,7.867828527,8.039215178,8.235176564,8.271649772,8.137303705
"CIB1",9.542561804,9.535846897,9.198717593,9.42805862,9.283021196,9.174059306
"CIB2",4.07184846,3.770617647,4.679311189,3.539158811,3.917431755,3.487614972
"CIC",6.505446369,6.675307851,6.399547103,6.113242084,6.487454192,5.780178844
"CIITA",5.169965076,4.266711594,3.957636059,3.803227036,4.159871337,4.178475633
"CILP",4.103749397,3.948320504,3.579662897,4.347311316,2.690864027,3.545227068
"CINP",7.195485404,7.335488615,7.501240084,7.446140413,7.264283074,7.40653667
"CIR1",4.847044814,5.292266409,4.634244749,3.988412026,4.099211031,3.805808349
"CIRBP",10.16467819,10.19813682,9.954860786,9.302063102,9.101826011,9.019287703
"CISD1",8.870639052,8.354509462,9.174281568,8.991090957,8.65727557,9.083553787
"CITED1",4.057536918,4.742599125,3.997111721,5.180386593,4.987002455,4.70055069
"CITED2",7.158347127,7.473900531,6.155971804,7.729199259,7.886403822,7.598997854
"CIZ1",7.529953656,7.595943694,7.679388609,7.446231413,7.478179075,7.221993049
"CKAP2",6.735779392,7.13554513,6.473527177,6.699551633,6.962132534,6.710778888
"CKAP4",8.275188677,8.742929165,8.261676544,8.146970818,8.112799158,7.900746075
"CKAP5",7.71950519,7.591238081,7.488450739,8.269093943,8.382122508,8.140860439
"CKB",7.72410452,7.617393997,7.340811479,5.700689394,5.608809243,5.054023596
"CKM",3.346105909,0,2.849599011,3.045442971,3.310776354,1.969749128
"CKMT2",2.438559007,2.86036693,1.906120953,2.707524791,2.807973087,2.600031822
"CKS1B",8.522969859,8.81356958,8.795390331,9.129525163,9.137032112,9.067246112
"CKS2",8.94161694,8.900779278,9.017356853,9.456042225,9.54092232,9.511756606
"CLASP1",3.931304844,4.510329019,5.590392432,4.93960272,5.07000284,4.268509251
"CLASP2",5.742033167,6.016852849,5.373300197,6.009503939,6.292155955,5.794441861
"CLASRP",7.598744828,7.473161846,7.454710552,7.404630684,7.447736218,7.664397505
"CLBA1",5.238290084,4.064106815,4.521113571,4.884549081,4.882007145,5.135740063
"CLC",2.951401292,3.561081695,2.629939409,3.112533338,3.160920188,2.768290207
"CLCA1",2.988048397,3.85937327,1.3305584,2.758942717,2.114033801,1.816804475
"CLCA2",4.843682414,5.62941491,5.138937309,4.846643746,5.257500991,4.259498479
"CLCC1",7.111646915,6.759089238,6.641069098,6.815242382,7.005938877,6.91130809
"CLCN1",5.603834019,4.786491815,5.25122675,4.927564653,5.251567621,5.097863583
"CLCN2",4.842224613,4.547141317,4.777630121,5.050806399,4.731943498,5.115074871
"CLCN3",7.144699025,7.125113793,7.327112471,7.439398738,7.567347696,7.267404706
"CLCN4",3.761710784,4.143556684,4.093053048,3.750070486,3.685267407,4.087971938
"CLCN5",5.546678425,5.649701673,5.40748872,5.815088642,6.057450272,5.441217863
"CLCN6",5.407896549,4.548436625,5.781438404,4.55747136,3.168160629,5.398247747
"CLCN7",7.22056213,7.224387628,6.478777707,6.17688123,6.204316816,6.164544951
"CLCNKB",4.113200403,3.858080488,3.587124922,4.404017511,3.086613947,4.365552572
"CLDN1",4.342341397,5.16655478,5.721345315,5.552530777,5.511531292,5.810391688
"CLDN10",3.787118983,3.313536103,4.287324531,3.665961186,4.272321853,4.617709884
"CLDN11",3.713915721,4.597888675,4.038962873,4.551762085,4.724159104,4.742760787
"CLDN14",3.075361483,2.72900887,3.334282225,3.118858038,2.970301497,1.935082523
"CLDN18",3.697440236,3.651109111,3.765640823,4.177439471,3.438559007,4.659125376
"CLDN3",10.85985776,10.70153,10.31552661,9.335015116,9.365878408,9.30418702
"CLDN4",9.230361549,9.357019693,9.050882564,8.259606754,8.259818574,8.167362946
"CLDN5",4.241458871,2.219400882,3.77915464,2.347098671,3.038962873,3.168000125
"CLDN6",5.546524095,5.725768418,5.607537455,5.268621531,5.503412345,5.759209108
"CLDN7",8.663992093,8.789781409,8.781992393,8.803840516,8.979885298,8.837072822
"CLDN8",3.274708939,3.158175426,4.04150584,3.456411916,4.157852169,4.308957845
"CLDN9",5.187767747,5.463720534,3.383358695,5.025471815,5.425560011,4.597829098
"CLDND1",5.876639724,6.460709805,6.307137042,6.216416062,6.433810747,6.369169818
"CLEC10A",2.625036646,3.020946614,4.064193062,3.093391153,3.307282791,3.628307006
"CLEC11A",5.116073593,5.058965822,5.103329777,4.786805433,5.121844298,5.211129038
"CLEC16A",5.700606173,5.593503172,5.211635253,5.737254104,5.562730873,5.590212761
"CLEC2B",2.516267344,3.205236098,3.255953865,1.993130871,3.895981149,1.563646269
"CLEC4M",4.243135892,4.277687254,4.473072529,4.369466484,4.703931251,4.693208149
"CLGN",2.980756519,3.226354387,2.413864833,2.807354922,2.152832405,2.764261218
"CLIC1",10.49415356,10.49343619,10.24737097,10.39526742,10.39594964,10.38305299
"CLIC2",1.560714954,0.919149363,3.039664829,0.417920008,2.744376407,3.166072676
"CLIC4",7.760600203,7.777011968,7.782185748,8.751651169,9.094360125,8.84592593
"CLIC5",5.182573127,5.028259718,5.515889032,5.158013807,4.907900129,4.983768886
"CLINT1",7.771509278,7.748145877,7.743972672,7.596860621,8.026235705,7.847157595
"CLIP1",6.623486478,6.502203284,6.29896984,7.415606575,7.581840801,7.180277179
"CLIP2",4.530944687,3.980847896,3.576884882,3.134385246,3.055716264,3.294547234
"CLIP3",3.401766976,5.403813062,3.489542936,4.959491974,4.784975033,4.308011315
"CLK1",5.204844986,4.86284809,4.149259365,4.231586009,4.786962216,4.499973413
"CLK2",7.811785687,7.618069763,7.386552314,6.34881666,6.810802962,7.207687909
"CLK3",7.569642985,7.629873857,7.243764273,6.977714956,6.711219557,7.022700704
"CLK4",5.816113265,5.760673381,5.254556252,5.415623475,5.412002395,5.81398636
"CLMN",6.882936449,6.533594494,6.398401679,6.048911855,6.012658057,5.733408576
"CLN3",8.889622599,8.797175142,8.366654433,8.45656798,8.394548439,8.326209246
"CLN5",5.544856275,5.336461928,4.924479992,5.190693867,4.830255324,5.126394738
"CLN6",5.988889149,6.097821455,6.275956857,6.498809325,6.146553402,6.219807425
"CLNS1A",8.496905694,8.585807582,8.850168081,8.673323211,8.69544059,8.553686885
"CLOCK",5.439290681,4.931777595,5.52869633,5.609016172,5.402210541,5.032277201
"CLP1",7.010757464,6.942737343,6.700786478,6.820842705,6.793427737,6.771410235
"CLPP",7.238939679,7.494527617,7.618980078,7.775932855,7.721987779,7.788281136
"CLPS",5.150803354,4.194087052,4.963196656,4.936685047,4.760274181,4.558328868
"CLPTM1",8.902284661,8.951389634,8.795526704,8.809800278,8.630816792,8.549368835
"CLPX",6.796740501,6.753965486,6.666756592,6.392798241,6.506874827,6.324954578
"CLSTN1",9.114117114,8.911646647,8.711849342,8.405703111,8.365171972,8.399679537
"CLSTN3",5.397905617,4.847345543,4.611585531,4.347453063,5.062898817,5.224812058
"CLTA",9.828169813,9.848228571,9.762956677,9.531215736,9.568946044,9.614520294
"CLTB",8.530187819,8.643592874,8.197570565,8.612050185,8.644166336,8.452323619
"CLTC",12.14379963,12.17867668,11.89533633,12.15439726,12.3937417,12.16040626
"CLTCL1",4.516393427,4.031306966,4.265436896,4.485040339,2.918386234,3.772096792
"CLU",10.69011674,10.60343719,10.57125396,10.78365472,11.00616616,10.7777197
"CLUAP1",5.856014606,5.682264276,5.856487779,5.751276249,5.533563348,5.77691988
"CLUH",7.541375445,7.435228531,7.847445772,8.048263436,8.060658108,7.920376677
"CLUL1",1.217851097,2.622696128,2.353605591,1.856786546,2.906890596,1.822118275
"CMA1",4.312810365,3.28169825,3.102322191,4.128705823,2.372952098,3.457331625
"CMAHP",3.25761413,3.09085343,2.557532628,3.586884813,2.699107385,3.477936316
"CMAS",6.080209949,6.296806108,6.138404926,6.875104256,6.937309078,6.583233236
"CMC2",8.764745557,8.836609015,9.088923361,8.793860127,8.826672414,8.856101781
"CMC4",7.261681245,7.311766476,7.066982523,7.134446857,6.953311807,6.915377485
"CMKLR1",4.736388401,4.243059706,3.855092716,4.198022608,4.083723966,4.597590764
"CMPK1",7.850374391,7.933183115,7.896744111,8.303525058,8.229097585,8.138481725
"CMTM6",9.418329116,9.71977212,9.196877485,9.835109297,9.959686127,9.788233819
"CMTR1",6.894490392,7.041286795,7.195327911,6.867192237,6.755181355,6.679184493
"CNBP",9.949968202,9.940215212,10.26344527,10.18037043,10.11389841,10.15722186
"CNDP2",6.621919994,6.817661627,6.714904885,7.088830631,7.438168074,6.873062625
"CNGA1",3.174725988,1.46100461,2.776525151,3.618238656,3.611644543,3.797220545
"CNGA3",0.503857533,0.69777382,0.953823954,1.039840265,1.571919463,1.491083454
"CNGB1",4.484073666,4.553606257,4.059528335,4.079378111,2.650305029,4.130436712
"CNIH1",8.301002256,8.58529308,8.339369024,8.383760444,8.591724291,8.204752081
"CNIH3",3.195977459,4.011495639,2.601696516,2.566328086,3.38653507,3.152021127
"CNIH4",6.277110685,6.773244726,6.523859873,7.725993306,7.769163437,7.628503866
"CNKSR1",5.864879462,6.029474972,5.076644601,5.026755804,5.209258394,5.088692851
"CNKSR2",5.507762932,5.036679154,4.893847558,5.475927939,5.174646102,5.072663215
"CNMD",4.191404729,5.089582893,5.338709645,4.74819285,4.770247623,3.491724851
"CNN1",3.759688488,1.77483976,3.408576008,3.264836648,2.812908899,3.324666615
"CNN2",6.321549338,6.129983584,5.942256439,6.718704106,6.757490019,6.876934347
"CNN3",3.372255648,3.418054984,2.765110362,2.890641244,3.045268215,2.461790463
"CNNM2",4.793791863,5.808333562,5.951634417,5.789703172,5.178873958,5.78507969
"CNOT1",7.857738453,8.102180443,7.895732796,8.267465572,8.465354168,8.104074518
"CNOT2",7.377236564,7.367406014,7.124483233,7.241916434,7.246503098,7.415040317
"CNOT3",7.111302627,7.274205742,7.223190835,6.988934581,6.956358732,6.789703172
"CNOT4",6.55756326,6.856014606,6.052002817,6.916631893,6.839581737,6.475555109
"CNOT6",6.432308044,6.807071508,6.721974113,7.172267478,7.220388002,6.916333323
"CNOT7",8.196651301,7.729702307,8.463099267,8.464819357,8.048563162,8.447628784
"CNOT8",7.411248271,7.70672393,7.338593777,6.958541116,6.930666384,7.12774676
"CNOT9",7.639774809,7.508175081,7.985403655,8.557509653,8.579406457,8.55828677
"CNP",6.912973142,7.321910061,7.143607701,6.638783422,6.410663341,6.34221693
"CNPPD1",8.084994359,8.196626714,7.95566153,8.788613939,8.926589545,8.742154462
"CNPY2",8.751647822,8.7156017,8.757496687,8.67882194,8.694378783,8.682601387
"CNPY3",7.607855507,7.252883003,7.306079922,7.091572905,7.374178772,7.540577539
"CNPY4",4.27932271,4.596577405,4.832434354,5.131424859,4.426734393,5.101860146
"CNR1",3.198965546,3.275603079,2.854394678,2.981670022,4.181341124,4.26092894
"CNR2",5.872631791,5.644577357,6.070045788,6.237907832,6.299556055,6.081936082
"CNTF",2.570705789,3.497612366,1.739416093,3.689299161,2.577489254,3.129283017
"CNTFR",4.901156525,5.564164736,5.402926781,5.895302621,5.975492623,5.425022832
"CNTN1",0.474046599,0.858378925,3.845490051,0.670840336,1.254594043,0.3068455
"CNTN2",2.248838402,2.178555307,1.46571332,1.277389699,3.302757716,0
"CNTN5",2.08031656,1.587364991,1.911883289,3.294547234,2.649385529,3.875386905
"CNTN6",2.187451054,2.94129415,2.36232961,1.34879896,2.111365231,1.564134243
"CNTNAP2",3.640273862,3.595742339,3.74092756,7.06835911,7.097220997,7.135124395
"CNTRL",3.265886918,3.501948616,3.93743856,4.313463546,4.476576108,4.574525412
"COA1",7.195465718,7.163045806,7.728539592,7.321901044,7.367772923,7.424493851
"COA3",8.812947393,8.76819756,8.577311746,8.623822976,8.697037052,8.556325946
"COASY",7.513656545,6.769639521,7.36560506,7.658682781,7.474809162,7.598164188
"COBL",6.63321322,6.146940279,5.944764761,6.307301009,6.41655266,6.126952213
"COBLL1",6.711426074,6.697509739,6.396724644,5.921198274,5.996750279,5.671208439
"COCH",5.40653667,5.46100461,5.302684614,4.297851706,4.26205725,4.158417821
"COG2",6.515132109,6.303415463,6.488322191,6.388499539,6.261135863,6.563875028
"COG4",7.507342736,7.567978885,7.234309705,7.451936399,7.204473331,7.074987025
"COG5",7.550716008,7.143719931,7.363127263,7.163710049,6.375004667,6.758809503
"COG7",5.98531826,5.796753477,5.912434307,6.06912212,5.718416428,5.600745498
"COIL",8.373704756,8.383445102,8.593234239,8.005068696,8.142408332,8.079884736
"COL10A1",2.962178816,1.37517848,2.871252259,3.848798181,3.23526753,3.099968417
"COL11A1",4.488515009,4.576945331,3.843581923,4.694490223,3.694657366,3.72704913
"COL11A2",6.248041406,6.298236735,6.420465559,6.058576261,5.806349838,6.134734336
"COL13A1",4.588264894,4.500483401,3.823443672,3.788998852,4.294620749,4.067638717
"COL14A1",3.060220358,3.18142064,3.299098095,3.289981972,3.500037171,3.571919463
"COL15A1",1.668119125,2.785968967,3.316435411,2.695548468,2.469365054,2.907659828
"COL16A1",2.016852849,2.790980505,3.593831801,3.77452353,3.274708939,3.086783766
"COL17A1",2.137175601,1.521553331,2.520799374,0,1.261831659,0.200378798
"COL18A1",6.806878239,6.56536869,5.840765337,5.845791104,5.488290052,4.971267634
"COL19A1",1.472487771,3.699107385,2.811471031,2.458119481,2.360083296,3.169604367
"COL1A1",6.973450559,7.050055412,6.466806549,6.730965952,6.619647767,6.4698697
"COL1A2",3.834711216,3.432558603,3.485426827,4.082532289,3.956985925,4.223885868
"COL21A1",4.113200403,4.073391816,3.812908899,4.55747136,3.174406419,4.361136691
"COL2A1",4.09963185,3.903231131,2.692203992,4.481557281,4.038699551,2.121678557
"COL3A1",3.874501906,4.008719933,4.750820857,4.319690183,4.206018004,3.087123344
"COL4A1",3.243973672,2.753818443,3.111865964,3.611880567,3.569612608,3.166072676
"COL4A2",3.175524601,3.160920188,3.38294387,3.573738063,3.692427198,2.490826815
"COL4A3",4.797946795,4.692482994,4.519416097,4.200849575,4.991544521,4.927517246
"COL4A4",0,0.979659552,0.409255147,0,0,1.036327492
"COL4A5",7.300654568,6.826052674,6.327202313,5.492494152,5.581562152,5.755875677
"COL4A6",3.311212455,3.533687928,4.376429311,3.592397235,3.538538164,3.449693423
"COL5A1",5.278133471,5.059960889,4.69849632,5.733733947,5.057623558,5.259799747
"COL6A1",5.316471616,4.418122468,4.766542159,4.7130909,4.70559092,4.77589336
"COL6A2",4.98230913,4.221026367,3.199436784,4.169283661,4.294326666,4.476446497
"COL6A3",3.122341408,3.643278996,3.053806444,2.734221866,3.290571851,1.473007568
"COL7A1",4.725686632,5.318352999,4.924670008,4.655752522,4.756916534,4.999458888
"COL8A1",3.745882689,4.008630305,4.169764693,3.556306784,3.608099546,3.728247066
"COL9A2",5.429917192,5.726722248,5.587004872,6.062035341,5.763544364,5.745183539
"COL9A3",2.670387157,2.384878704,0.874993639,1.810237431,2.432157687,2.606205313
"COLEC10",3.864235678,2.802813598,2.771251752,4.16647444,3.422367574,3.901397912
"COLGALT1",7.03815081,7.360890968,7.280343929,7.346105909,7.434269594,7.151067292
"COLGALT2",3.186659017,2.528321263,3.393553489,3.917145288,3.482461104,3.507921465
"COLQ",3.593234239,3.413729464,4.284143936,2.373230584,4.0614306,3.804156841
"COMMD10",7.210047867,7.354434529,7.023454973,7.043869408,7.222447165,7.138558519
"COMMD3",7.861713489,7.895914522,7.330298448,7.481872069,7.360452072,7.38770718
"COMMD4",8.500630787,8.708318309,8.524294878,8.178326232,8.201648562,8.234209096
"COMMD8",6.507350666,6.493519248,6.401954654,6.926746674,6.971624021,6.904255272
"COMMD9",6.820510872,6.72617728,6.700300991,6.830546897,6.878369773,6.629065137
"COMP",2.909773104,3.304218969,3.346531462,2.646623508,2.837539634,2.600269754
"COMT",11.61916537,11.7574146,11.14022458,11.9414893,12.02919265,11.93116299
"COPA",7.684797703,7.92748169,7.662305209,8.030667136,8.075602154,7.897276735
"COPB1",8.89907591,8.992111275,8.760723274,8.973413247,9.046008051,8.756342821
"COPB2",8.709363017,8.72455137,8.505660728,8.682243204,8.913852807,8.768042034
"COPE",9.999575864,9.991826509,9.792666676,9.755536903,9.782896676,9.753774996
