"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"LINC00950",2.345112464,0.320773477,1.890641244,1.542505701,0.242450074,2.884793263
"LINC00963",6.095818956,6.36644462,6.015113937,5.97579066,5.946169391,5.451178136
"LINC01136",4.002792517,5.02001319,4.1656708,4.180625285,4.533127235,4.060220358
"LINC01140",3.648120259,2.805498835,1.907275263,2.250961574,2.9202933,3.125155131
"LINC01278",3.216610069,4.609104847,5.087759836,3.262433158,3.734221866,3.686388469
"LINC01361",4.248458935,4.233274539,4.110780823,2.675815931,3.701881692,4.123748955
"LINC01482",4.240848562,4.5298834,4.750499317,4.776577788,4.509695842,4.835519901
"LINC01558",1.551885103,3.286585483,3.14388316,3.489157549,3.060739158,4.00477103
"LINC01565",2.132576843,4.023610215,2.179829491,3.480911346,3.388602858,2.570462931
"LINC01587",0.984771612,1.794935663,3.524941266,4.430084513,3.067638717,3.810237431
"LINC01949",4.132247798,4.201947456,4.349719113,5.394136819,4.023698917,3.876566059
"LINC01963",2.844586516,2.504620392,3.612352499,3.987138926,4.451936399,4.182374488
"LINC02172",3.790459281,5.208400204,4.405039322,4.255878353,5.147957881,4.953358373
"LINC02249",3.056410117,1.13553487,1.503857533,2.454965474,2.294547234,0.832687516
"LIPA",7.43476165,7.547110462,7.535368702,7.499734293,7.543016349,7.337345378
"LIPC",3.165751184,3.804776378,3.37490037,2.655809754,3.029806228,2.431355522
"LIPE",3.635522241,3.966984108,3.867599989,3.956985925,4.560164669,3.83935498
"LIPF",2.078609835,3.099295204,3.476640909,2.629006833,2.465974465,3.116697443
"LIPT1",5.154210531,4.713420885,5.046229109,4.760646771,4.867550571,4.747817029
"LITAF",9.640420291,9.539653198,8.577915939,10.32696983,10.34616244,10.20266259
"LLGL1",4.416029011,5.043956873,4.256482338,5.549484356,4.615357439,4.838346737
"LLGL2",8.793115555,8.604041663,8.501753606,7.633162351,7.699773705,7.877443657
"LLPH",5.190693867,4.926995673,4.976592762,4.265511909,4.454965474,5.02107991
"LMAN1",5.112366523,5.490505952,6.068821263,4.680830674,5.405720127,5.206408798
"LMAN2",8.854961859,8.684864312,8.428540237,8.168155614,8.222427844,8.222166983
"LMBRD1",7.540794489,7.414389268,7.293729127,7.35342916,7.016251155,6.940284229
"LMCD1",8.789034729,8.767810367,8.612713717,5.401971715,5.235803634,5.700411974
