"","WS8V_1","WS8V_2","MCF7V_1","MCF7V_2","TAMRV_1","TAMRV_2"
"NR1I2",0,0,0,6.96453110401552e-09,1.5008222873913e-08,1.02625003145472e-08
"NR1I3",0,0.24601636732031,0.14676112498306,0.158231425204146,0.451124688200087,0.40015043777358
"NR2C1",4.24092011576809,4.06615560238393,3.91532276462301,4.07195546818877,4.6147010466661,4.49171408668506
"NR2C2",6.88467538031537,6.78911988783365,7.24629378385408,7.26809485090458,6.8051807406311,6.66597718621536
"NR2C2AP",4.89603221192366,4.96690322571606,4.71082410234361,4.61924657744278,5.05454620738051,5.16259218917466
"NR2E1",0,0,0,0,0,0
"NR2E3",0.488985409650263,0.801846878208486,0.429964077284199,0.611045736876877,0.156704605091657,0.188374194492051
"NR2F1",0.858488158819807,0.601516078379563,0.314888873121779,0.328678282142638,0.671878017604883,1.08122327835842
"NR2F2",7.7551726063493,7.89641845684678,7.76185379929051,7.70726240177478,6.41954337624985,6.361879888717
"NR2F6",5.60975885905998,6.0356481854289,5.67846083258079,5.66490529155241,6.08517446314672,6.4611448725005
"NR3C1",6.89902660381942,6.71683101302612,6.55800804216112,6.66279925411592,7.67897025764421,7.66012438187778
"NR3C2",0.691070840041994,0.635436692485912,0.60483048196816,0.790940291593043,0.156704605091657,0.315088356753399
"NR4A1",5.37263699707728,5.3960343066165,5.0829225353355,5.27735205783157,5.71282805109396,5.6433133895931
"NR4A2",4.82047586318978,4.52053667469589,5.23213178711409,4.97756414074141,5.41963503983137,5.2921321387193
"NR4A3",2.90691928258363,3.13497643716205,2.16092101768324,2.19215480832688,1.24905506843652,1.25989784404274
"NR5A1",0,0.0522681867367762,0,0.0573695346363082,0.0541482905842476,0.0494491605942155
"NR5A2",0.923394365908773,1.21920184169568,0.0612923439281745,0.532301413973496,0.342238278363456,0.0494491605942155
"NR6A1",3.03079257003415,3.11053178290393,3.57209099561726,3.58906228757114,3.09329836676357,3.21707278049688
"NRAP",0,0.0522681867367762,0.176578109395297,0.165687256947313,0.252451892220535,0.274074755176781
"NRARP",3.70696118145418,3.81734811361305,4.38685244812597,4.10317358747465,4.43137819553975,4.47480336421231
"NRAS",9.91223071709875,9.90264267902024,8.6955833963675,9.00905686936511,8.19724265389422,7.98261569205593
"NRBF2",4.54931735086462,4.55037440637308,4.45695079933856,4.56783130786669,4.62269716914609,4.60866614368533
"NRBP1",8.18889026935294,8.32231877416942,8.33193709659748,8.12744404598388,7.15785257612846,7.36272195408602
"NRBP2",4.38445272934941,4.82955749110339,3.95947138274638,4.90085620494737,3.57239230474363,3.93664741732774
"NRCAM",7.77928333065409,7.73968211116184,8.08730589416763,8.350296580657,2.78680358190903,1.93719600978241
"NRDC",7.28426318427178,7.28839362115887,7.17634045655113,7.11627497884959,6.94799094332277,6.84988380882381
"NRDE2",5.34588790091077,5.25263234376071,5.60543807839859,5.62575488328165,5.50395590264967,5.37252397883937
"NREP",2.99704911407622,2.03831077461224,3.49788995343833,3.30453574020599,1.71514612933092,1.72307927604284
"NRF1",4.5847869717822,4.61043854629454,4.41940587594516,4.45232389826254,4.80547073407286,4.86319438951184
"NRG1",0.12387438163368,0,0,0,0,0
"NRG2",0.237948713819295,0.151445074547825,0.374624301438901,0.314291404796971,0.385456939823058,0.0494491605942155
"NRG3",1.25682278357308,0.528797380059133,0.520045543988628,0.824375645350923,1.3820204845018,1.52755279037786
"NRG4",0.501328540285394,0.477672205404477,0.665759759493459,0.755096599512016,0.705162446859799,0.576565902580131
"NRGN",2.69356200633115,3.24011402534328,1.81442746763229,2.02965576755947,3.42148990186689,3.69602883546219
"NRIP1",5.89189952724361,5.69526861153641,7.33404273394247,6.54360485335283,4.88249773228744,4.9472221723173
"NRIP2",1.2678646631473,1.24188402412219,1.70345521738308,1.79683555606914,1.61602032602136,1.3612840973966
"NRIP3",0.12387438163368,0,0.0612923439281745,0.0573695346363082,0,0
"NRK",1.71644712898993,1.35023756126463,3.05911307733823,2.82477086057449,4.08309299481826,3.44665218305212
"NRL",1.29677039955599,1.35169320026345,2.06168118195698,1.55109078801965,1.02335653180132,0.661319353727321
"NRM",3.1048631960138,3.60938695606007,2.48560266851179,2.18188055619121,4.15927900754706,4.41847181948041
"NRN1",0.291772185053181,0,0,0.0573695346363082,0.106337553747695,0.274074755176781
"NRN1L",0,0.263440644544017,0.353690412009646,0.180017897597338,0.128653907067598,0.236490056905863
"NRP1",8.30567395742084,8.47762322383104,6.79382572175994,7.14975862281244,6.83861627102056,7.43391529071978
"NRP2",0.769802378393304,0.238256120225372,0.684537308864759,0.814892987179552,1.1940788784665,1.3411812324215
"NRROS",0.291772185053181,0.151445171255283,0.0617219415155594,0.0573695346363082,0.0541482905842476,0.231860741185794
"NRSN1",0.0632663136187197,0.0522681867367762,0,0,0.0541482905842476,0
"NRSN2",4.91768639660979,5.11358957204601,5.1724198836065,5.00623005521833,4.40039607855728,4.41614350314136
"NRTN",0.488985409650263,0.600758512141257,0.760774548138876,0.824375645350923,0.880812168185294,1.12800994565593
"NRXN1",0.0632663136187197,0,0,0,0,0
"NRXN2",0.0632663136187197,0.0522681984919628,0,0.0260807412067176,0.0541483088660306,0.0494491605942155
"NRXN3",1.0222261237122,0.0522681867367762,0,0.266437344527931,3.70569989948439,3.67649181565004
"NSA2",5.69614793389485,5.49305291456567,6.0114859279865,5.73981108845855,5.46263828364023,5.40252196092662
"NSD1",8.31163255185188,8.3802072589189,8.1158769681451,8.32620817121792,8.34995699906921,8.26583629197096
"NSDHL",5.20585142077644,5.31781554363348,5.40019795261188,5.25242254653538,4.90274785241794,4.83703234020173
"NSF",6.82981005156272,6.93913938044696,6.69549984057908,6.62831183053525,7.58412016049355,7.52978278549594
"NSFL1C",5.7380642830123,5.78730456342036,5.27514188057448,5.26131822791743,5.41928318006033,5.37505858117265
"NSG1",0,0.0522681867367762,0.0612923333066527,0,0.0541482905842476,0.0494491605942155
"NSL1",3.99172017224755,3.81550403944384,3.80685481579369,3.52066097121288,4.19754009896342,3.97172369742702
"NSMAF",5.43244821667746,5.27069230771693,5.34072683402887,5.36831069329139,5.44887976039104,5.57837168972388
