,hugo,MCF7_WT_veh_1-quant.sf,MCF7_WT_veh_2-quant.sf,MCF7_WT_veh_3-quant.sf,MCF7_WT_E2_1-quant.sf,MCF7_WT_E2_2-quant.sf,MCF7_WT_E2_3-quant.sf,MCF7_S_veh_1-quant.sf,MCF7_S_veh_2-quant.sf,MCF7_S_veh_3-quant.sf,MCF7_S_E2_1-quant.sf,MCF7_S_E2_2-quant.sf
ENSG00000137312,FLOT1,5.557456778,5.507509402,5.498564428,5.197869322,5.29918325,5.288632825,5.996290236,6.073295447,5.978545368,5.914908653,5.80806754
ENSG00000137331,IER3,6.403144993,6.547753495,6.491487086,6.138675238,6.141030124,6.215578816,6.945164049,6.957371513,6.858910985,7.116853779,7.190924145
ENSG00000137337,MDC1,3.324877409,3.828307426,3.669652138,3.89149618,3.775240956,3.849455895,4.001490075,3.874060089,3.997259795,4.027063792,3.953921334
ENSG00000137338,PGBD1,1.475640058,1.594027748,1.588545549,1.491355441,1.529745999,1.647908506,1.498766571,1.580661674,1.463664304,1.432772379,1.480771786
ENSG00000137343,ATAT1,3.904288297,3.776573577,3.704518589,3.858595253,3.547167926,3.712232035,3.73640323,3.450877094,3.399290624,3.543663763,3.495185397
ENSG00000137364,TPMT,3.162846474,3.280294185,3.212231581,3.199953398,3.253744259,3.309397407,3.160035976,3.26116972,3.225939663,3.196534656,3.313981526
ENSG00000137393,RNF144B,2.715940801,2.531638471,2.568289967,2.512567479,2.613108683,2.51616874,3.023964991,3.099147729,3.043393154,2.786523807,2.529378452
ENSG00000137404,NRM,2.278865266,2.452451791,2.370890608,2.65812207,2.444541981,2.273783533,3.539000825,3.682124014,3.602786563,3.61289385,3.588664511
ENSG00000137409,MTCH1,7.519202868,7.51683224,7.532485168,7.370805938,7.343982982,7.379131138,7.241610751,7.265678566,7.224419272,7.213710486,7.192780338
ENSG00000137411,VARS2,3.799127519,3.866450723,3.894962268,3.956017889,4.065882117,3.809397054,4.12455329,4.113546571,4.05715718,4.240793774,4.2769818
ENSG00000137413,TAF8,3.328215346,3.569131175,3.39880634,3.367942159,3.452464811,3.502740741,3.578291589,3.51179629,3.578486397,3.408578304,3.520548974
ENSG00000137414,FAM8A1,3.815534443,3.863323985,3.890193737,3.827758064,3.791303569,3.828733119,3.788007004,3.788069667,3.722039711,3.829443681,3.845740933
ENSG00000137434,C6orf52,3.125303444,3.057562218,2.777634118,3.08364875,2.637134447,2.94010547,3.30475152,3.276584505,3.548898953,3.226280547,3.280306212
ENSG00000137449,CPEB2,4.677062285,4.713621644,4.767882389,4.193302962,4.171915108,4.196164236,3.818703341,3.900851065,3.874037114,3.704520984,3.717684538
ENSG00000137460,FHDC1,3.3733531,3.322337763,3.338256186,3.181573671,3.150039693,3.130835064,2.931796506,2.86674778,2.899314865,2.869938507,2.962881915
ENSG00000137462,TLR2,2.899191102,2.745736433,2.799336025,2.839723821,2.838229735,2.897215251,2.012461406,1.923426851,2.05872171,1.971401921,2.082392629
ENSG00000137478,FCHSD2,3.841180022,3.987574816,3.893574425,3.952990188,4.021576378,3.867547784,3.862180284,3.907282369,3.937827878,3.887813683,3.831930227
ENSG00000137486,ARRB1,3.438810346,3.221295479,3.347962385,3.413275208,3.183749463,3.325839704,4.055267076,4.000470422,4.109120397,3.990679089,3.875993159
ENSG00000137492,PRKRIR,5.427798919,5.405662265,5.39663444,5.580029618,5.620867163,5.527451946,5.463788082,5.339324695,5.407484607,5.493700461,5.584018188
ENSG00000137494,ANKRD42,3.6388865,3.622353626,3.400358811,3.540205115,3.643801366,3.382016441,3.385305676,3.229162588,3.279193428,3.130373282,3.311640432
ENSG00000137496,IL18BP,3.315693743,3.226036957,3.254726153,2.974622369,3.224367561,2.99966237,3.02191407,2.836058174,2.80266289,2.702637399,2.743694836
ENSG00000137497,NUMA1,5.862764564,5.93177055,5.723742332,6.032066912,5.895824561,5.890936968,6.466942348,6.508944962,6.421444442,6.379615468,6.451496155
ENSG00000137500,CCDC90B,5.689542776,5.60349567,5.637747774,5.580631106,5.677154682,5.64434998,5.917503363,5.984643332,5.849192781,5.915867777,5.992507317
ENSG00000137501,SYTL2,7.940573779,7.879011952,7.948581149,7.775387201,7.796058907,7.741521193,7.639714194,7.620200476,7.551666574,7.51243497,7.557955352
ENSG00000137502,RAB30,3.893278909,3.799012941,3.861037293,3.443010488,3.676195181,3.735815712,3.949894852,3.766205232,3.877443706,3.457582053,3.436635596
ENSG00000137504,CREBZF,5.703206788,5.652136907,5.687939983,5.703925743,5.699314838,5.663904025,5.60543918,5.502685057,5.529413718,5.58998302,5.53372312
ENSG00000137509,PRCP,4.250508069,4.209634502,4.236351365,4.228847821,4.260768347,4.270183357,4.568993366,4.539611845,4.412080923,4.431498707,4.497014606
ENSG00000137513,NARS2,3.487237432,3.592595529,3.683792444,3.86480153,4.121620543,4.239914899,4.139301919,4.01466576,4.022047899,4.199885887,4.249672271
ENSG00000137522,RNF121,6.780377914,6.730280147,6.778339118,6.440900305,6.470462971,6.355849447,5.98177869,5.963842727,6.05307868,5.888388168,5.839702686
ENSG00000137547,MRPL15,6.167017247,6.300962002,6.142151997,6.410732833,6.547169086,6.560604914,6.386475388,6.420638696,6.464977779,6.628780739,6.543038009
ENSG00000137563,GGH,3.998464877,4.099647418,4.012312023,4.314627362,4.302475158,4.245665265,5.275032384,5.172178854,5.239085111,5.287068494,5.405188582
ENSG00000137573,SULF1,2.571462344,2.646994249,2.56438061,3.42370981,3.791223043,3.569367478,5.196930898,5.260036141,5.161023482,5.418847173,5.481888995
ENSG00000137574,TGS1,3.237731962,3.28183339,3.41136116,3.628553034,3.530094471,3.520237421,3.554707455,3.500851756,3.508156569,3.656928771,3.736316957
ENSG00000137575,SDCBP,6.154449765,6.257314669,6.20537158,5.981776231,5.994828102,6.006605585,6.465239188,6.3915308,6.43306001,6.337612822,6.379352078
ENSG00000137601,NEK1,1.641232486,1.591879868,1.565569881,1.708211873,1.592388547,1.448571313,1.791609517,1.810861353,1.913980095,1.812541352,1.810887258
ENSG00000137628,DDX60,2.031131902,2.001319823,2.108902435,1.648753493,2.578071628,1.584320359,0.870308689,0.908953059,0.728943589,1.124464457,0.778946812
ENSG00000137642,SORL1,1.259983308,1.544343489,1.174214132,1.265384744,1.29520697,1.438313826,1.787212951,1.848148822,1.776573956,1.703331087,1.905440131
ENSG00000137648,TMPRSS4,2.635332226,2.442392765,2.302466837,2.260478633,2.014712851,1.970954897,2.460143872,2.694153641,2.804021088,2.674398391,2.828635826
ENSG00000137656,BUD13,3.139868915,3.011143152,3.001501425,3.037415609,3.133884052,3.177223856,3.349499745,3.331292468,3.153485963,3.341197314,3.378997064
ENSG00000137672,TRPC6,0.682161644,1.230498963,0.652884498,1.837094381,1.640568596,1.930495512,1.450567912,1.124474382,1.298351564,1.627603336,1.671298808
ENSG00000137692,DCUN1D5,5.188398392,5.279551303,5.239177702,5.466772328,5.534119264,5.550389753,5.071932143,5.137453356,5.080426191,5.232282383,5.302037065
ENSG00000137693,YAP1,5.251486183,5.174718972,5.261884977,5.22083111,5.147520839,5.125791967,5.238785561,5.334459371,5.184877109,5.227609668,5.237192596
ENSG00000137699,TRIM29,1.724290972,2.055056203,1.73306586,1.969730307,2.071189424,1.954517577,2.922791705,2.877579086,2.87711227,2.818920118,2.697758699
ENSG00000137700,SLC37A4,3.892204386,4.049213092,3.904752188,4.246671062,4.110680512,4.316446225,4.310565073,4.222982985,4.203153473,4.288639026,4.242262118
ENSG00000137709,POU2F3,0.87999067,0.799720709,1.083510967,1.180891746,0.999800606,0.819025816,1.147405372,1.061890365,1.130614628,1.130921252,1.0466077
ENSG00000137710,RDX,6.766701651,6.640084213,6.582702102,6.601384946,6.603507832,6.5220614,7.077733705,6.995732874,6.990775703,6.916941074,7.010073108
ENSG00000137713,PPP2R1B,3.042477823,3.210552203,3.275789423,3.003471453,3.233108905,3.034899141,3.499210005,3.566689656,3.526234988,3.591730872,3.745884302
ENSG00000137714,FDX1,3.261654169,3.421489929,3.27046615,3.175053473,3.357188822,3.285585688,3.573483597,3.553679975,3.53683622,3.461214213,3.597650351
ENSG00000137720,C11orf1,2.600121218,2.524855285,2.498164048,2.765412112,2.958713894,2.70971103,3.483340109,3.515752941,3.509800842,3.258463145,3.62512972
ENSG00000137745,MMP13,4.137247915,4.199379458,4.108601315,3.899980878,3.783596307,3.799201929,1.592546497,1.595039078,1.735129174,1.259611763,1.341952738
ENSG00000137747,TMPRSS13,3.539586034,3.49598609,3.431312058,3.332866399,3.078715076,3.320559815,3.997036096,3.867509552,3.99417048,3.76936648,3.723088653
ENSG00000137760,ALKBH8,1.708347502,1.937232513,1.998628175,1.910090596,1.948711101,2.053175996,1.838522907,1.767380808,1.982113411,1.871051604,1.789643709
ENSG00000137764,MAP2K5,3.454886272,3.464611421,3.545972569,3.543783911,3.637907889,3.422711218,3.738505426,3.722273029,3.75437937,3.646711514,3.719431317
ENSG00000137767,SQRDL,4.149321482,4.17157338,4.101996591,3.739587833,3.905920682,3.768905122,4.204765108,4.18098826,4.257271744,4.023946811,4.032080561
ENSG00000137770,CTDSPL2,4.066877453,4.152519606,4.029260278,4.015144096,4.22847625,4.065350255,4.339933712,4.292688486,4.445205406,4.520799249,4.307389251
ENSG00000137776,SLTM,5.740409127,5.724237566,5.729156016,5.641914621,5.722460232,5.717023382,5.669489923,5.775801728,5.714900127,5.752654695,5.774468902
ENSG00000137801,THBS1,9.082031358,9.161549662,9.21410066,8.581880334,8.700324888,8.645113852,8.274714977,8.214749961,8.292949609,7.916490361,7.974933224
ENSG00000137802,MAPKBP1,2.425034249,2.07771508,2.198629616,2.286479591,2.233903334,2.501787006,2.308923752,2.209867305,2.33751695,1.771568531,2.44640094
ENSG00000137804,NUSAP1,4.225008102,4.044953782,4.262437367,4.311649986,4.252666038,4.24187378,5.988616685,6.00799697,5.952542942,5.908176955,5.889860327
ENSG00000137806,NDUFAF1,3.276849777,3.153240143,3.337134041,3.304697938,3.276195887,3.482427801,3.54471473,3.594935923,3.725785538,3.566736138,3.49078562
ENSG00000137807,KIF23,3.880798135,4.000386708,3.799011324,3.988152769,4.206328929,3.991988875,5.288908317,5.220067955,5.310848232,5.234683711,5.354650186
ENSG00000137812,CASC5,1.770019218,1.811925552,1.688032164,1.744390186,1.80559995,1.781914861,3.152958436,3.068952444,3.133432007,3.176363468,3.21420098
ENSG00000137814,HAUS2,3.556905616,3.401094134,3.48204761,3.639549093,3.608082509,3.447754399,3.639105723,3.74766141,3.756944174,3.708950989,3.828180263
ENSG00000137815,RTF1,4.675017035,4.730925478,4.647180596,4.905286533,4.966689782,4.831958846,4.739923205,4.680969937,4.660563757,4.829647751,4.868367235
ENSG00000137817,PARP6,6.068338944,5.953575585,5.991233233,5.941208451,6.045492641,6.038200254,5.729352639,5.666507421,5.725244302,5.744730525,5.60293841
ENSG00000137818,RPLP1,10.61369427,10.64687233,10.6183636,10.66650971,10.63386795,10.66814218,10.85383953,10.8252163,10.75701343,10.82086888,10.86495972
ENSG00000137819,PAQR5,0.814719312,0.813832486,0.851206536,1.008897738,0.68644934,0.680963412,0.705826661,0.546708203,0.896167204,0.697857782,0.635835171
ENSG00000137821,LRRC49,1.290939584,1.58681892,1.497371195,1.405608988,1.814217181,1.586884381,1.187609473,1.347651201,1.299615748,1.529050454,1.816919337
ENSG00000137822,TUBGCP4,3.379112713,3.205565379,3.175469511,3.546865402,3.614417978,3.468767194,3.212547239,3.279680271,3.364496248,3.156496773,3.357990222
ENSG00000137824,RMDN3,5.344053302,5.43607573,5.471889189,5.34622375,5.37487192,5.412029164,5.3255417,5.357038595,5.285036098,5.431958027,5.395983322
ENSG00000137825,ITPKA,1.517401687,1.539460101,1.847265355,1.304532186,1.321360716,1.37455377,1.462225641,1.733457604,1.704648462,1.148921743,1.587993783
ENSG00000137831,UACA,5.148015559,5.14379737,5.151450095,4.858585402,4.981704952,4.762211131,4.286741089,4.377360936,4.510143844,4.241207226,4.502000375
ENSG00000137834,SMAD6,4.558301129,4.649506074,4.595518698,4.235113171,4.330188458,4.261622632,3.812961559,3.832124231,3.915468316,3.832943975,3.5903565
ENSG00000137842,TMEM62,2.477467254,2.501416011,2.261118873,2.442335513,2.726440634,2.362381571,2.719797414,2.665496467,2.590104301,2.686755988,2.217993188
ENSG00000137845,ADAM10,6.616705146,6.549625711,6.524819872,6.301015803,6.225040988,6.228280042,6.469980933,6.569285646,6.3377008,6.16105333,6.181810942
ENSG00000137857,DUOX1,0.982857004,1.064120477,1.06486319,1.765424715,1.320915487,0.953607794,1.42790219,1.658091034,0.946779061,0.73251842,1.216910558
ENSG00000137868,STRA6,1.171442559,1.060393451,1.386464437,0.641112601,0.70148323,0.577304978,0.40489495,0.372729382,0.179444296,0.189572836,0.474876042
ENSG00000137871,ZNF280D,3.73195504,3.941223938,3.937523578,3.717154135,3.771204922,3.78002737,3.999069757,3.796827336,3.942009582,3.955199984,3.987655276
ENSG00000137876,RSL24D1,5.797325848,5.915607183,5.794279415,5.931505404,5.98631784,5.963191777,6.104697959,6.089337339,6.017049816,6.141557288,6.219678176
ENSG00000137878,GCOM1,0.685884547,0.79481719,0.626192771,0.962275375,0.783946061,0.954903523,0.897034444,1.36419308,1.439265145,1.275761582,1.318957126
ENSG00000137880,GCHFR,3.527869553,3.482360936,3.458123944,3.663576206,3.533711223,3.575356761,3.982147371,4.049834874,4.089139297,4.072267902,4.044019057
ENSG00000137936,BCAR3,4.75750322,4.785858517,4.74882331,4.362122815,4.346768724,4.351422114,4.284930417,4.576868017,4.371853156,4.213306995,4.185701577
ENSG00000137941,TTLL7,1.740346049,2.033005084,1.999915528,1.524614413,1.904048921,1.598987412,2.106852371,2.294165307,2.107913461,1.929298769,2.244331636
ENSG00000137942,FNBP1L,4.658097948,4.631577534,4.634873185,4.382055949,4.474487312,4.491922088,4.870837057,4.85643783,4.810846498,4.732038122,4.756218229
ENSG00000137944,CCBL2,3.187052239,3.222340896,3.053588042,3.039987614,3.247464258,3.263861464,3.490048278,3.403063167,3.349946089,3.213948033,3.181237747
ENSG00000137947,GTF2B,4.179710084,4.222804561,4.095386304,4.091572905,4.221536856,4.121579103,4.23541628,4.195890869,4.208242475,4.268258987,4.193694876
ENSG00000137955,RABGGTB,5.695210415,5.640009487,5.731331089,5.502129467,5.673486622,5.528292754,5.591337999,5.524238045,5.561806955,5.536957783,5.600199836
ENSG00000137962,ARHGAP29,2.496988685,2.585618706,2.672601713,2.236351633,2.385010648,2.396453945,2.517282069,2.494261885,2.531947422,2.433944805,2.448732178
ENSG00000137965,IFI44,0.768949888,1.14614817,0.932210121,1.141955886,1.164234062,0.738132782,0.424583539,0.345639586,0.165216063,0.416793164,0.208505523
ENSG00000137970,RPL7P9,1.697159965,1.062335889,1.625092772,1.305030786,1.294735425,1.534335569,1.507231404,1.467853314,1.156390144,1.602893908,1.523998462
ENSG00000137992,DBT,2.386711637,2.294488419,2.314067112,2.357988266,2.128292411,2.311590302,2.655768547,2.707023339,2.594732458,2.582840179,2.515853718
ENSG00000137996,RTCA,4.22226685,4.24340274,4.091468561,4.11189667,4.006262921,4.100508443,4.137313748,4.255781314,4.10990903,4.034690254,4.249155787
ENSG00000138002,IFT172,2.879195028,2.523775083,2.487148875,2.657550354,2.864864134,2.538362621,2.633503704,3.191364393,3.074758297,3.133042148,3.038361552
ENSG00000138018,EPT1,4.819601105,4.611645783,4.781161028,4.927339648,4.92917919,4.815913521,4.673444091,4.800427654,4.816530642,5.000696608,4.946881858
ENSG00000138028,CGREF1,4.584514059,4.669542221,4.478419982,4.97922982,4.939524547,4.933137876,5.051389374,5.08659862,5.063337325,5.219370677,5.226583938
ENSG00000138029,HADHB,6.352380343,6.375860109,6.335521808,6.294545451,6.35350434,6.28078541,6.393109863,6.392988687,6.333587316,6.285360177,6.385080796
ENSG00000138030,KHK,2.012018306,1.78398963,2.047467893,2.540801989,2.429719594,2.588376875,3.331505879,3.144070852,3.02232486,3.53057536,3.462171356
ENSG00000138031,ADCY3,5.346371859,5.228075992,5.369709181,5.729689448,5.649956464,5.726418998,5.361055748,5.228192925,5.432542903,5.444027597,5.488272151
ENSG00000138032,PPM1B,5.1936892,5.374934497,5.27892186,5.139796279,5.145891309,5.133123178,5.125820138,5.115640824,5.111004679,5.036059599,5.06147968
ENSG00000138035,PNPT1,4.583038828,4.705828815,4.833426395,5.213613825,5.148997089,4.887525271,4.55708838,4.886336019,4.86451472,4.79928202,5.086633478
ENSG00000138036,DYNC2LI1,3.096442179,3.25291259,3.2297531,3.310422724,3.310404837,3.194522853,3.543292333,3.577757755,3.626852027,3.579467705,3.523932995
ENSG00000138050,THUMPD2,3.255236492,2.886232505,2.684312629,3.033357451,3.140232062,2.957479682,2.917574395,2.919224891,2.841712122,3.211762013,3.098817369
ENSG00000138061,CYP1B1,5.81191718,5.902256896,5.859934275,5.675471867,5.707257905,5.685046735,7.429445885,7.510775164,7.365683781,7.389151375,7.465387149
ENSG00000138069,RAB1A,8.079867444,8.155186506,8.069252849,7.956288355,7.950224379,7.950408089,8.0633817,8.116894435,8.029791566,8.009991302,7.984934678
ENSG00000138071,ACTR2,7.999549335,8.02160085,8.054809669,7.924594343,7.972800048,7.96008801,7.699733707,7.693329869,7.720827335,7.646467232,7.690794873
ENSG00000138073,PREB,6.050869116,6.121747093,6.132665261,6.14903781,6.158555968,6.117944418,5.91220911,5.883226416,5.863212883,5.920926532,5.961309151
ENSG00000138074,SLC5A6,7.64841641,7.634781252,7.722755313,7.551757995,7.589481683,7.534549748,7.299888803,7.196093569,7.318116007,7.223483601,7.184803464
ENSG00000138078,PREPL,4.749916772,4.643382877,4.613101927,4.769916202,4.748228919,4.613337041,4.901358988,4.794715761,4.799750255,4.873432315,4.901635453
ENSG00000138079,SLC3A1,2.169244466,1.902908306,2.128850012,2.337758011,2.265821523,2.167583018,2.25384266,2.484086069,2.432568705,2.300912495,2.447381464
ENSG00000138081,FBXO11,5.192049336,5.015038035,5.118038805,4.94488477,5.087725388,4.978359205,5.072664475,5.051360355,5.216738293,5.014959964,5.122863727
ENSG00000138085,ATRAID,6.391389678,6.356747918,6.320751494,6.449764147,6.441623373,6.430013002,6.818649406,6.722218245,6.73801394,6.693809834,6.687767595
ENSG00000138092,CENPO,3.443314503,3.561936205,3.842235376,3.897544037,3.630858701,3.91886028,4.448875189,4.299760662,4.14381281,4.27094958,4.305230239
ENSG00000138095,LRPPRC,6.264752586,6.308295266,6.245716389,6.55743757,6.523364356,6.502645154,6.117828253,5.977784595,6.090655046,6.127250971,6.148431839
ENSG00000138101,DTNB,4.142774067,3.98987237,4.123729516,4.016969076,4.062572656,4.166715686,4.220478381,4.240030786,4.244746081,4.212595835,4.332956714
ENSG00000138107,ACTR1A,5.886455915,5.85906112,5.89487741,5.838837562,5.82941212,5.83047193,5.963122077,5.98541996,5.920342946,5.923198347,5.904966682
ENSG00000138111,TMEM180,1.593337037,1.728136897,1.852988802,2.00428205,2.153081213,2.217496272,2.315626221,2.45096575,2.424235503,2.257754712,2.650933859
ENSG00000138119,MYOF,7.115364114,7.076712168,7.121133597,7.120748514,7.144778313,7.084814977,6.939370734,6.912810926,6.93977395,7.020347481,7.078303723
ENSG00000138134,STAMBPL1,2.891763293,2.857584946,2.982515191,2.192017401,2.372563242,2.592641666,2.238629438,1.860649005,2.181966001,2.07982895,2.142372264
ENSG00000138138,ATAD1,4.846126202,4.899274256,4.768254737,4.943851487,4.967574885,4.770548407,4.919635647,5.005118788,4.892002369,4.901664838,4.990842798
ENSG00000138160,KIF11,2.730263882,2.818611319,2.749587898,3.106892662,3.064582834,2.899678359,4.305328532,4.205290845,4.252370241,4.291434114,4.292266409
ENSG00000138162,TACC2,4.932541182,4.626613866,4.990500056,4.656889541,4.797965597,4.843823863,4.546746449,4.429489209,4.56297539,4.27372335,4.413572996
ENSG00000138166,DUSP5,4.054588126,4.045023522,4.188556011,3.343018313,3.407689386,3.38359371,3.839143307,3.861059504,3.747065094,3.81000087,3.894768687
ENSG00000138172,CALHM2,4.903244052,4.97675881,5.043516388,4.894430245,4.910072155,4.83678822,5.532892613,5.533261509,5.533724521,5.615770659,5.562774123
ENSG00000138175,ARL3,3.093778186,3.206194656,3.069868833,3.640805996,3.654939571,3.653747943,3.733701413,3.88372833,3.816998978,4.042574302,4.043956873
ENSG00000138180,CEP55,3.391352556,3.393828438,3.385726449,3.665062987,3.755348642,3.668542383,5.038526786,5.01163889,4.973174406,4.97985597,5.167132248
ENSG00000138182,KIF20B,1.943686577,2.08673554,2.022428538,2.450831707,2.365049983,2.403138992,3.455274214,3.354562178,3.608901005,3.559731753,3.635608838
ENSG00000138185,ENTPD1,1.559805967,1.509566944,1.527251451,1.815841939,1.853519234,1.766616758,1.744356742,1.781975788,1.871701989,1.829403616,1.962016456
ENSG00000138190,EXOC6,3.972611576,4.183343191,3.557992443,3.349397834,3.899774592,3.774187301,3.712768651,4.635844397,3.932709407,3.903082052,3.858160515
ENSG00000138231,DBR1,4.154974985,4.046922477,3.987346972,4.086053404,4.210425726,4.154645502,4.309828251,4.239345872,4.393354554,4.366310113,4.343688872
ENSG00000138246,DNAJC13,4.7251148,4.720583446,4.583729738,4.659374894,4.723401527,4.612866056,4.923469595,4.85490727,4.931838379,4.854729639,4.915237999
ENSG00000138271,GPR87,5.696209839,5.875280733,5.743208225,5.142350533,5.303776365,5.321404302,6.194577023,6.231196984,6.218855354,6.126295195,6.081899449
ENSG00000138279,ANXA7,6.78796037,6.820597794,6.740038348,6.817969731,6.791806428,6.828692251,6.947718235,6.827990538,6.817365391,6.832120612,6.896848957
ENSG00000138286,FAM149B1,3.752692937,3.653342909,3.675375153,3.822587299,3.75650658,3.656186633,3.997526454,4.016422686,3.93991428,4.047646482,3.835924377
ENSG00000138303,ASCC1,4.877256792,4.882742078,4.94954301,4.868873115,4.897689286,4.937295705,5.143965379,5.165248428,5.13508252,5.048525803,5.145955005
ENSG00000138311,ZNF365,3.63255455,3.555591624,3.489208824,3.085335386,3.296506671,3.298538775,3.663146933,3.616366543,3.59087803,3.600140824,3.703343381
ENSG00000138326,RPS24,11.61004711,11.60267684,11.56328925,11.66213386,11.68191748,11.65003554,11.83280232,11.8322298,11.83048324,11.86261989,11.90992474
ENSG00000138346,DNA2,2.343246629,2.244293423,2.216657123,2.55643898,2.260544812,2.293637102,3.258822477,2.840907908,3.212350817,3.229656211,3.566484453
ENSG00000138347,MYPN,0.763206735,0.766781715,0.752495134,1.025981297,1.009501969,0.955337654,0.563801463,0.413154492,0.637247614,0.605519177,0.504429207
ENSG00000138356,AOX1,1.539592609,1.597347671,1.511528256,1.430209898,1.608830528,1.614131708,2.115610938,1.889452905,2.110277374,1.911105566,1.775681438
ENSG00000138363,ATIC,6.844575368,6.817276662,6.805273075,7.242749112,7.203064164,7.164637454,7.126733182,7.028125071,7.000196824,7.148181288,7.23515272
ENSG00000138375,SMARCAL1,2.772431504,2.719174524,2.918151109,2.764007015,3.045965189,3.020583628,3.308036806,3.20599596,3.20021019,3.263022684,3.133272689
ENSG00000138376,BARD1,2.009921126,1.604658723,2.073352395,2.220055321,2.210387618,2.255689857,2.786770938,2.635670357,2.828243643,2.882143714,2.91365291
ENSG00000138378,STAT4,1.342557021,1.284541376,1.146027915,1.130707868,1.042604418,1.147072853,1.735374131,1.786503525,1.471045916,1.292369492,1.65329493
ENSG00000138380,CARF,1.682574511,1.972161233,1.492298675,1.480557691,1.397969943,1.072625557,1.490154516,1.851753078,1.875805143,1.399882721,1.552758231
ENSG00000138381,ASNSD1,4.822564764,4.873037517,4.661708277,4.888218329,5.016668802,4.796967814,5.035725423,5.10942283,4.953247636,5.171162744,5.20020145
ENSG00000138382,METTL5,5.029769573,4.954874218,4.944279425,5.360148875,5.473581076,5.400281268,5.288718785,5.324389029,5.274916131,5.699656649,5.505144942
ENSG00000138385,SSB,6.761384564,6.679976189,6.643612706,6.987080877,7.073509492,6.958910042,6.891261348,6.858889202,6.949895783,7.089171041,7.123079983
ENSG00000138386,NAB1,3.943013896,3.964402329,3.884411638,3.594672272,3.669344759,3.901351665,2.889328682,3.066785512,2.996953962,2.979700703,3.020482644
ENSG00000138398,PPIG,5.120693287,4.963564243,5.008025889,5.18384681,5.159495461,5.111381758,5.186166836,5.163793682,5.220200695,5.23302722,5.269899252
ENSG00000138399,FASTKD1,3.270412924,2.976118705,3.348813687,3.353083857,3.396484771,3.191566756,2.92498158,2.786861668,2.732122209,3.036784109,2.992770787
ENSG00000138400,MDH1B,1.22427494,1.209327963,1.233980679,1.236844639,1.438354657,1.230156276,1.966823205,1.825048627,1.705087468,1.48724883,1.845330628
ENSG00000138411,HECW2,2.631357168,2.767809016,3.089474083,2.631765977,2.58446252,2.643464647,2.644295395,2.602180344,2.594954549,2.423018463,2.548430706
ENSG00000138413,IDH1,5.175618609,5.216948937,5.249461459,5.179871082,5.151340803,5.110332881,6.184189865,6.216587623,6.193813191,5.978153039,6.012448556
ENSG00000138430,OLA1,6.885117044,6.795303578,6.843365631,7.037047617,7.12166742,7.01798045,6.844835458,6.822510796,6.815369717,6.918149165,7.014205871
ENSG00000138433,CIR1,3.7897812,3.821128224,3.858243044,3.769613711,3.876484237,3.850818222,4.056877413,4.082834558,4.051703588,3.830817829,3.79419032
ENSG00000138434,SSFA2,4.706225184,4.725226034,4.868708344,4.697880272,4.70478124,4.896675873,5.81506294,6.124025191,5.735647758,6.382728424,6.172075138
ENSG00000138439,FAM117B,2.25286976,2.452579621,2.383366991,2.721624207,2.718758347,2.631430278,2.652367174,2.579781146,2.698047301,2.706948216,2.720770955
ENSG00000138442,WDR12,4.493036264,4.546798483,4.780911149,5.24467589,5.296931253,5.472761013,5.164245649,5.016354985,4.932447171,5.550249151,5.807210182
ENSG00000138443,ABI2,6.027864827,6.066199369,6.055350186,5.95296158,6.019930997,6.030135222,6.122877211,6.042257502,6.097984589,6.009864912,6.074822982
ENSG00000138448,ITGAV,8.190682845,8.15934003,8.233853183,7.70603907,7.775804532,7.6439553,7.071243743,7.080249076,7.101134709,6.829089675,6.872054149
ENSG00000138459,SLC35A5,3.858098694,3.845828631,3.874485184,3.918694778,4.091725811,3.90157683,4.372728296,4.222097929,4.181242121,4.316270162,4.280484912
ENSG00000138463,DIRC2,3.616741141,3.816523935,3.676584486,3.705386331,3.666015743,3.853103415,3.748769276,3.845659652,3.644833429,3.645398472,3.72360989
ENSG00000138468,SENP7,3.042835202,3.190784402,3.112511653,2.921276991,2.949347791,2.963246049,3.265971746,3.135247386,3.318175241,3.070932984,3.323056418
ENSG00000138495,COX17,6.594225952,6.707327876,6.646571857,6.488371716,6.56914973,6.529872673,6.791362755,6.860820048,6.817306009,6.843632483,6.891218894
ENSG00000138496,PARP9,3.654102441,3.700640694,3.868673038,3.603375957,4.072206837,3.482773957,3.124852997,3.102989661,2.936458351,3.235942702,3.290089864
ENSG00000138587,MNS1,1.069038058,1.47380665,0.877101862,1.007813359,1.896889837,1.285538344,1.537118111,1.650069233,1.698569662,1.815530344,1.746811496
ENSG00000138592,USP8,6.242084691,6.165794625,6.182499186,6.228709973,6.246096635,6.25273381,6.306419361,6.34421466,6.352090775,6.338131335,6.371052925
ENSG00000138593,SECISBP2L,3.247407746,2.97713299,3.21505335,2.986936763,2.921397387,2.848431052,3.326515404,3.164688545,3.350451137,2.892657196,3.087478286
ENSG00000138594,TMOD3,6.101051798,6.157114832,6.168452481,5.999855408,6.089160933,6.041203015,6.63034546,6.527830607,6.594546728,6.601476614,6.645701255
ENSG00000138600,SPPL2A,7.177500785,7.150770359,7.208607894,7.097522395,7.104480073,7.047459102,7.348412223,7.285210374,7.214050609,7.126306141,7.247860635
