,hugo,MCF7_WT_veh_1-quant.sf,MCF7_WT_veh_2-quant.sf,MCF7_WT_veh_3-quant.sf,MCF7_WT_E2_1-quant.sf,MCF7_WT_E2_2-quant.sf,MCF7_WT_E2_3-quant.sf,MCF7_S_veh_1-quant.sf,MCF7_S_veh_2-quant.sf,MCF7_S_veh_3-quant.sf,MCF7_S_E2_1-quant.sf,MCF7_S_E2_2-quant.sf
ENSG00000169926,KLF13,3.566723111,3.530919724,3.570438643,3.226466913,3.238980938,3.355256223,3.218292955,3.428719943,3.278316975,3.279930329,3.213445273
ENSG00000169946,ZFPM2,0.646507388,1.033909321,0.92162949,0.891316608,0.950895448,1.028121706,1.044347952,1.09181978,0.862728299,1.245295461,0.748910717
ENSG00000169951,ZNF764,2.709691843,2.780091683,2.838321925,2.829080323,2.805434035,2.849543968,2.884961821,2.825671672,2.782268483,2.938820234,2.896818206
ENSG00000169957,ZNF768,5.828146642,5.911363224,5.889726625,5.88120208,5.875436055,5.829933258,5.835097925,5.81243148,5.822416595,5.831418728,5.830283216
ENSG00000169964,TMEM42,2.354356805,2.385096901,2.19565091,2.48327535,2.479379066,2.311421155,2.718573809,2.646100661,2.288154769,2.461403615,2.63055621
ENSG00000169967,MAP3K2,4.955268625,5.024503196,5.097745622,4.8746042,4.844998698,4.927117074,4.680813237,4.675740295,4.740215209,4.536216438,4.491023148
ENSG00000169972,PUSL1,4.537643713,4.528301257,4.611363389,4.48354675,4.603880474,4.486015571,4.389533084,4.170178413,4.356490917,4.337552687,4.55912577
ENSG00000169976,SF3B5,6.997981069,7.053219969,6.990988886,7.318470504,7.270052326,7.276813011,7.050839041,7.072898979,7.067369821,7.191592259,7.119760789
ENSG00000169981,ZNF35,2.468263986,2.339025329,2.350697513,2.429999382,2.774220938,2.136345952,2.257681104,2.130249876,2.214866483,2.160115061,2.167199261
ENSG00000169991,IFFO2,3.331987484,3.15005432,3.251904003,2.902265604,2.923601794,3.078276788,2.531290622,2.144289192,2.210144134,2.410307181,2.094898476
ENSG00000169992,NLGN2,3.900469415,3.932752958,4.104623493,4.148184587,3.968351059,4.117112362,3.705087689,3.767312939,3.603810167,3.662343609,3.672562476
ENSG00000170004,CHD3,5.73070565,5.70559797,5.786356442,5.638925147,5.662466066,5.677386772,5.632643379,5.685146697,5.622024459,5.588145533,5.592662628
ENSG00000170006,TMEM154,1.869735972,1.35669655,1.667936166,1.837950909,1.945055164,1.817709203,2.078032846,2.639174269,2.362922895,2.147401138,2.159554918
ENSG00000170017,ALCAM,5.487547254,5.486787796,5.465422845,5.592126552,5.587965925,5.585879883,6.182611175,6.233842937,6.113948358,6.20088217,6.302409988
ENSG00000170027,YWHAG,7.268602818,7.265802549,7.299327093,7.290875913,7.374057021,7.346327567,7.4260131,7.454151212,7.411477092,7.515234632,7.532581907
ENSG00000170035,UBE2E3,6.751027488,6.704981684,6.725919819,6.528177931,6.565594876,6.595208166,6.789762515,6.841741291,6.788582933,6.727501672,6.701946755
ENSG00000170037,CNTROB,3.648841013,3.480780703,3.517498572,3.709269061,3.685337241,3.973305228,4.086402495,3.967438765,4.142278393,4.127297682,4.10180385
ENSG00000170043,TRAPPC1,6.638520583,6.634188397,6.60121743,6.639443949,6.668988089,6.738259305,6.782415092,7.026521761,7.015905457,6.785139359,6.937392889
ENSG00000170049,KCNAB3,0.956870727,0.558013952,1.196873276,0.950574046,0.763477525,1.141153512,0.87558908,0.787425861,1.046833411,0.444546855,0.85091301
ENSG00000170085,SIMC1,3.769548147,3.706468887,3.792324289,3.763965599,3.82004678,3.775992496,3.467046152,3.391204195,3.346590178,3.536058248,3.399977137
ENSG00000170088,TMEM192,4.261039553,4.200201432,4.251367653,4.379593239,4.441280287,4.409274837,4.349524514,4.325191384,4.378010755,4.337317187,4.480053098
ENSG00000170089,0,6.025417957,5.825775937,5.738383896,5.939064454,5.884125941,5.870565198,5.938289015,5.613456189,5.749779612,5.732118707,5.965508034
ENSG00000170100,ZNF778,4.794705884,5.052518493,4.815146501,4.992030537,5.207253334,5.069040894,4.808486993,4.723402598,4.821451598,4.733765396,4.947895446
ENSG00000170113,NIPA1,4.724070491,4.767486267,4.796099224,4.703793462,4.618905824,4.681742497,4.38307205,4.470358264,4.395034274,4.250995216,4.342960269
ENSG00000170142,UBE2E1,6.286616512,6.304654939,6.157488661,6.344464866,6.341234593,6.301913789,6.230175955,6.192204129,6.188784179,6.269062311,6.341693213
ENSG00000170144,HNRNPA3,8.450197572,8.474054308,8.440772016,8.489241861,8.508060167,8.536632272,8.289736272,8.241588052,8.373242331,8.448452929,8.368324422
ENSG00000170145,SIK2,2.734681443,2.718467502,2.769746354,2.69405556,2.869681534,2.787811686,2.61089137,2.594849486,2.579370853,2.530178141,2.511435147
ENSG00000170153,RNF150,2.475046999,2.317807245,2.543908341,2.59604445,2.562083154,2.611187019,1.600034678,1.449573524,1.642165977,1.42262183,1.589872284
ENSG00000170160,CCDC144A,1.665394545,1.471216808,1.53987039,1.695835108,1.555755649,1.362651726,1.568897511,1.358970694,1.67835113,1.625572372,1.508213424
ENSG00000170161,0,1.440548293,1.160787268,2.066742949,2.567444932,1.877013885,1.830084106,1.884686219,1.788321964,2.45468338,2.152446618,1.893602187
ENSG00000170175,CHRNB1,1.81317877,2.155022004,1.918339327,1.915543961,1.885094427,1.971768151,2.198951626,2.261117324,2.204114605,1.774693038,2.00600317
ENSG00000170185,USP38,3.983311959,3.998862076,4.00876349,3.95374016,3.965024188,3.881565761,3.720744146,3.831636603,3.76518676,3.830973349,3.830149836
ENSG00000170191,NANP,2.983626625,2.929883766,2.949553609,3.020795529,3.19511133,3.075262207,3.146806717,3.15909308,3.182573127,3.306371619,3.356645285
ENSG00000170222,ADPRM,2.125318159,2.068966541,2.142822824,2.03152365,2.076632972,1.82891262,1.827954753,2.017258472,2.165394244,1.775457684,2.090078366
ENSG00000170231,FABP6,1.356185513,0.996366328,1.346903009,1.499992285,1.54214907,1.544976466,1.223593686,1.776283419,1.527707444,1.543428078,1.713776304
ENSG00000170234,PWWP2A,4.452525591,4.44606324,4.620043304,4.44955015,4.462684505,4.378182332,3.76049136,3.904032191,4.009861842,3.882623781,3.866453542
ENSG00000170242,USP47,4.163633971,4.203268199,4.11856829,4.073821433,4.083292182,4.03290389,3.907245166,4.150188639,3.919851181,4.004627679,4.118200645
